Texas Tech,2550,Seton Hall,2641
9:15,2550,Myles Powell made Three Point Jumper. Assisted by Michael Nzei.,62,68
9:14,2550,Seton Hall  Timeout,62,68
8:43,2641,Zhaire Smith Turnover.,62,68
8:41,2550,Angel Delgado Steal.,62,68
8:24,2550,Angel Delgado missed Layup.,62,68
8:24,2641,Zhaire Smith Block.,62,68
8:22,2641,Niem Stevenson Defensive Rebound.,62,68
8:18,2550,Foul on Angel Delgado.,62,68
8:18,2641,Niem Stevenson made Free Throw.,63,68
8:18,2641,Niem Stevenson made Free Throw.,64,68
8:01,2550,Desi Rodriguez missed Jumper.,64,68
8:01,2641,Norense Odiase Defensive Rebound.,64,68
8:01,2550,Foul on Desi Rodriguez.,64,68
8:01,2641,Zach Smith Turnover.,64,68
7:43,2550,Myles Powell Turnover.,64,68
7:42,2641,Zach Smith Steal.,64,68
7:38,2641,Jarrett Culver missed Three Point Jumper.,64,68
7:38,2550,Khadeen Carrington Defensive Rebound.,64,68
7:30,2550,Angel Delgado made Layup. Assisted by Khadeen Carrington.,64,70
7:19,2550,Foul on Angel Delgado.,64,70
7:19,2550,Official TV Timeout,64,70
7:19,2641,Norense Odiase missed Free Throw.,64,70
7:19,2550,Myles Powell Defensive Rebound.,64,70
7:09,2550,Myles Powell made Three Point Jumper. Assisted by Desi Rodriguez.,64,73
6:59,2641,Foul on Niem Stevenson.,64,73
6:58,2641,Niem Stevenson Turnover.,64,73
6:55,2550,Khadeen Carrington missed Three Point Jumper.,64,73
6:55,2641,Norense Odiase Defensive Rebound.,64,73
6:55,2641,Keenan Evans missed Three Point Jumper.,64,73
6:55,2641,Niem Stevenson Offensive Rebound.,64,73
6:20,2550,Foul on Sandro Mamukelashvili.,64,73
6:20,2641,Niem Stevenson made Free Throw.,65,73
6:20,2641,Niem Stevenson missed Free Throw.,65,73
6:20,2550,Sandro Mamukelashvili Defensive Rebound.,65,73
6:05,2550,Khadeen Carrington missed Layup.,65,73
6:05,2550,Khadeen Carrington Offensive Rebound.,65,73
6:03,2550,Khadeen Carrington missed Two Point Tip Shot.,65,73
6:03,2550,Ismael Sanogo Offensive Rebound.,65,73
5:59,2641,Foul on Zach Smith.,65,73
5:57,2550,Ismael Sanogo missed Free Throw.,65,73
5:57,2550,Myles Powell Offensive Rebound.,65,73
5:57,2550,Myles Powell missed Three Point Jumper.,65,73
5:57,2550,Michael Nzei Offensive Rebound.,65,73
5:37,2550,Khadeen Carrington made Jumper.,65,75
5:06,2641,Niem Stevenson missed Three Point Jumper.,65,75
5:06,2550,Seton Hall Defensive Rebound.,65,75
5:05,2641,Texas Tech  Timeout,65,75
4:55,2550,Khadeen Carrington Turnover.,65,75
4:54,2641,Niem Stevenson Steal.,65,75
4:52,2641,Justin Gray made Layup. Assisted by Niem Stevenson.,67,75
4:40,2550,Foul on Myles Powell.,67,75
4:40,2550,Myles Powell Turnover.,67,75
4:17,2641,Zhaire Smith missed Layup.,67,75
4:17,2550,Ismael Sanogo Defensive Rebound.,67,75
4:04,2641,Foul on Keenan Evans.,67,75
4:04,2550,Desi Rodriguez made Free Throw.,67,76
4:04,2550,Desi Rodriguez made Free Throw.,67,77
3:54,2641,Zhaire Smith missed Three Point Jumper.,67,77
3:54,2641,Brandone Francis Offensive Rebound.,67,77
3:50,2550,Foul on Desi Rodriguez.,67,77
3:50,2550,Official TV Timeout,67,77
3:50,2641,Zhaire Smith made Free Throw.,68,77
3:50,2641,Zhaire Smith made Free Throw.,69,77
3:48,2550,Official TV Timeout,67,77
3:39,2550,Desi Rodriguez missed Layup.,69,77
3:39,2641,Brandone Francis Defensive Rebound.,69,77
3:31,2641,Keenan Evans missed Jumper.,69,77
3:31,2641,Texas Tech Offensive Rebound.,69,77
3:23,2641,Zach Smith missed Layup.,69,77
3:23,2550,Ismael Sanogo Defensive Rebound.,69,77
3:12,2550,Seton Hall  Turnover.,69,77
3:05,2550,Foul on Khadeen Carrington.,69,77
