South Dakota,140,UMKC,233
17:26,140,Aleer Leek missed Free Throw.,38,31
17:26,233,Trey Burch-Manning Defensive Rebound.,38,31
17:08,140,Foul on Xavier Bishop.,38,31
17:02,233,Matt Mooney made Layup. Assisted by Triston Simpson.,40,31
17:02,140,Foul on Broderick Robinson.,40,31
17:02,233,Matt Mooney made Free Throw.,41,31
16:47,140,Jordan Giles made Layup.,41,33
16:25,140,Foul on Isaiah Ross.,41,33
16:25,233,Tyler Hagedorn made Free Throw.,42,33
16:25,233,Tyler Hagedorn made Free Throw.,43,33
16:08,140,Jordan Giles made Layup.,43,35
16:06,140,UMKC  Timeout,43,35
16:01,233,Carlton Hurst made Dunk. Assisted by Trey Burch-Manning.,45,35
15:46,140,Broderick Robinson Turnover.,45,35
15:45,233,Matt Mooney Steal.,45,35
15:42,233,Matt Mooney made Layup.,47,35
15:19,140,Jordan Giles missed Jumper.,47,35
15:19,233,South Dakota Defensive Rebound.,47,35
15:16,140,Official TV Timeout,47,35
14:55,233,Matt Mooney made Jumper.,49,35
14:28,140,Aleer Leek missed Jumper.,49,35
14:28,233,Nick Fuller Defensive Rebound.,49,35
14:09,233,Nick Fuller made Three Point Jumper. Assisted by Triston Simpson.,52,35
14:03,140,Aleer Leek made Free Throw.,52,36
14:01,140,Aleer Leek made Layup. Assisted by Xavier Bishop.,52,38
14:01,233,Foul on Nick Fuller.,52,38
13:56,140,Foul on Aleer Leek.,52,38
13:56,233,Carlton Hurst missed Free Throw.,52,38
13:56,233,South Dakota Deadball Team Rebound.,52,38
13:56,233,Carlton Hurst made Free Throw.,53,38
13:34,140,Broderick Robinson missed Three Point Jumper.,53,38
13:34,233,Matt Mooney Defensive Rebound.,53,38
13:18,233,Trey Burch-Manning made Layup. Assisted by Nick Fuller.,55,38
13:01,233,Foul on Matt Mooney.,55,38
12:51,140,Jordan Giles missed Layup.,55,38
12:51,233,Trey Burch-Manning Defensive Rebound.,55,38
12:37,233,Carlton Hurst Turnover.,55,38
12:30,140,Jordan Giles missed Three Point Jumper.,55,38
12:30,233,Triston Simpson Defensive Rebound.,55,38
12:20,233,Trey Burch-Manning made Dunk. Assisted by Triston Simpson.,57,38
12:00,140,Xavier Bishop Turnover.,57,38
11:58,233,Carlton Hurst Steal.,57,38
11:55,233,Carlton Hurst missed Layup.,57,38
11:55,233,Triston Simpson Offensive Rebound.,57,38
11:51,233,Triston Simpson made Layup.,59,38
11:39,233,Foul on Triston Simpson.,59,38
11:39,140,Official TV Timeout,59,38
11:34,140,Marco Smith made Jumper.,59,40
11:34,233,Foul on Nick Fuller.,59,40
11:34,140,Marco Smith made Free Throw.,59,41
11:22,233,Trey Burch-Manning missed Jumper.,59,41
11:22,140,Robert Knar Defensive Rebound.,59,41
11:15,140,Tony Jackson made Layup. Assisted by Marco Smith.,59,43
10:54,233,Nick Fuller made Jumper. Assisted by Matt Mooney.,61,43
10:42,140,Broderick Robinson made Jumper.,61,45
10:24,140,Foul on Robert Knar.,61,45
10:10,233,Tyler Peterson missed Jumper.,61,45
10:10,140,Broderick Robinson Defensive Rebound.,61,45
10:04,233,Foul on Tyler Peterson.,61,45
10:04,140,Xavier Bishop made Free Throw.,61,46
10:04,140,Xavier Bishop made Free Throw.,61,47
9:58,140,Foul on Marco Smith.,61,47
9:44,233,Triston Simpson made Jumper.,63,47
9:22,140,Marco Smith made Jumper.,63,49
9:04,233,Carlton Hurst made Layup.,65,49
9:04,140,Foul on Marco Smith.,65,49
9:04,233,Carlton Hurst made Free Throw.,66,49
8:51,140,Isaiah Ross missed Three Point Jumper.,66,49
8:51,233,Trey Burch-Manning Defensive Rebound.,66,49
8:24,233,Trey Burch-Manning missed Layup.,66,49
8:24,233,South Dakota Offensive Rebound.,66,49
8:07,233,Matt Mooney made Three Point Jumper.,69,49
7:51,140,Isaiah Ross made Jumper.,69,51
7:40,233,Carlton Hurst Turnover.,69,51
7:39,140,Brandon McKissic Steal.,69,51
7:32,140,Xavier Bishop made Layup.,69,53
7:27,140,Foul on Brandon McKissic.,69,53
7:27,140,Official TV Timeout,69,53
7:27,233,Tyler Hagedorn made Free Throw.,70,53
7:27,233,Tyler Hagedorn made Free Throw.,71,53
7:12,140,Jordan Giles made Three Point Jumper. Assisted by Isaiah Ross.,71,56
6:46,233,Matt Mooney made Jumper.,73,56
6:33,140,Brandon McKissic made Layup.,73,58
6:31,140,UMKC  Timeout,73,58
6:11,233,Nick Fuller made Dunk. Assisted by Triston Simpson.,75,58
6:03,233,Foul on Triston Simpson.,75,58
6:03,140,Xavier Bishop made Free Throw.,75,59
6:03,140,Xavier Bishop missed Free Throw.,75,59
6:03,233,Trey Burch-Manning Defensive Rebound.,75,59
5:38,140,Foul on Aleer Leek.,75,59
5:38,233,Matt Mooney made Free Throw.,76,59
5:38,233,Matt Mooney made Free Throw.,77,59
5:29,140,Aleer Leek made Three Point Jumper. Assisted by Xavier Bishop.,77,62
4:58,233,Brandon Armstrong missed Three Point Jumper.,77,62
4:58,140,Xavier Bishop Defensive Rebound.,77,62
4:51,140,Xavier Bishop missed Layup.,77,62
4:51,233,Matt Mooney Defensive Rebound.,77,62
4:40,233,Foul on Nick Fuller.,77,62
4:40,233,Nick Fuller Turnover.,77,62
4:22,140,Foul on Isaiah Ross.,77,62
4:22,140,Isaiah Ross Turnover.,77,62
4:01,233,Brandon Armstrong Turnover.,77,62
3:48,140,Broderick Robinson missed Three Point Jumper.,77,62
3:48,233,Nick Fuller Defensive Rebound.,77,62
3:38,140,Foul on Brandon McKissic.,77,62
3:38,140,Official TV Timeout,77,62
3:38,233,Matt Mooney made Free Throw.,78,62
3:38,233,Matt Mooney made Free Throw.,79,62
3:26,140,Isaiah Ross missed Three Point Jumper.,79,62
3:26,233,Carlton Hurst Defensive Rebound.,79,62
