Troy,5,UAB,2653
11:01,5,Denzell Watts missed Jumper.,31,45
11:01,2653,DeVon Walker Defensive Rebound.,31,45
10:49,5,Foul on Tosin Mehinti.,31,45
10:49,2653,Wesley Person made Free Throw.,32,45
10:49,2653,Wesley Person made Free Throw.,33,45
10:39,2653,Foul on Daniel Peace.,33,45
10:28,5,Deion Lavender missed Layup.,33,45
10:28,2653,Alex Hicks Defensive Rebound.,33,45
10:20,2653,Alex Hicks made Dunk.,35,45
9:55,5,Denzell Watts made Three Point Jumper. Assisted by Deion Lavender.,35,48
9:40,2653,Alex Hicks missed Three Point Jumper.,35,48
9:40,5,Tyler Madison Defensive Rebound.,35,48
9:35,5,Chris Cokley made Dunk. Assisted by Deion Lavender.,35,50
9:28,2653,Troy  Timeout,35,50
9:14,2653,Jordon Varnado missed Layup.,35,50
9:14,5,Chris Cokley Defensive Rebound.,35,50
8:47,2653,Foul on Daniel Peace.,35,50
8:47,5,Deion Lavender made Free Throw.,35,51
8:47,5,Deion Lavender made Free Throw.,35,52
8:27,2653,Jordon Varnado made Jumper. Assisted by B.J. Miller.,37,52
8:04,5,William Lee missed Layup.,37,52
8:04,5,Chris Cokley Offensive Rebound.,37,52
8:02,5,Chris Cokley missed Two Point Tip Shot.,37,52
8:02,2653,Alex Hicks Defensive Rebound.,37,52
7:49,2653,Jeremy Hollimon made Jumper.,39,52
7:24,2653,Foul on Jordon Varnado.,39,52
7:24,5,Official TV Timeout,39,52
7:24,5,Deion Lavender made Free Throw.,39,53
7:24,5,Deion Lavender made Free Throw.,39,54
7:02,2653,Alex Hicks missed Layup.,39,54
7:02,2653,Jordon Varnado Offensive Rebound.,39,54
6:59,2653,Jordon Varnado made Two Point Tip Shot.,41,54
6:40,5,Chris Cokley made Layup. Assisted by Deion Lavender.,41,56
6:23,2653,Alex Hicks missed Layup.,41,56
6:23,5,Deion Lavender Defensive Rebound.,41,56
6:07,5,Foul on Hakeem Baxter.,41,56
6:07,5,Hakeem Baxter Turnover.,41,56
5:53,2653,Jeremy Hollimon missed Layup.,41,56
5:53,5,Hakeem Baxter Defensive Rebound.,41,56
5:47,5,Deion Lavender made Layup. Assisted by Hakeem Baxter.,41,58
5:24,2653,B.J. Miller missed Layup.,41,58
5:24,5,William Lee Block.,41,58
5:24,2653,Troy Offensive Rebound.,41,58
5:21,2653,Wesley Person made Jumper. Assisted by Jeremy Hollimon.,43,58
5:01,5,Chris Cokley made Jumper. Assisted by Hakeem Baxter.,43,60
4:40,2653,Foul on Alex Hicks.,43,60
4:40,2653,Alex Hicks Turnover.,43,60
4:22,5,Chris Cokley missed Layup.,43,60
4:22,2653,Jordon Varnado Block.,43,60
4:20,2653,DeVon Walker Defensive Rebound.,43,60
4:03,2653,Jordon Varnado missed Three Point Jumper.,43,60
4:03,5,Hakeem Baxter Defensive Rebound.,43,60
3:44,5,Dirk Williams missed Three Point Jumper.,43,60
3:44,2653,Jordon Varnado Defensive Rebound.,43,60
3:25,2653,Wesley Person missed Three Point Jumper.,43,60
3:25,2653,DeVon Walker Offensive Rebound.,43,60
