Jacksonville,2065,Bethune-Cookman,294
6:34,2065,Ulmer Manzie made Free Throw.,63,59
6:08,294,J.R. Holder missed Three Point Jumper.,63,59
6:08,294,Cody Helgeland Offensive Rebound.,63,59
5:56,294,Devin Harris Turnover.,63,59
5:33,2065,Jeffrey Altidort Turnover.,63,59
5:32,294,Antwon Clayton Steal.,63,59
5:30,2065,Foul on Brandon Tabb.,63,59
5:30,294,J.R. Holder made Free Throw.,64,59
5:30,294,J.R. Holder made Free Throw.,65,59
5:00,2065,Brandon Tabb missed Three Point Jumper.,65,59
5:00,294,Darius Dawkins Defensive Rebound.,65,59
4:36,294,J.R. Holder missed Jumper.,65,59
4:36,2065,Ulmer Manzie Defensive Rebound.,65,59
4:15,2065,Houston Smith made Layup.,65,61
3:47,294,Cody Helgeland missed Three Point Jumper.,65,61
3:47,2065,Reggie Baker Defensive Rebound.,65,61
3:39,2065,Reggie Baker missed Layup.,65,61
3:39,294,Antwon Clayton Block.,65,61
3:37,294,Devin Harris Defensive Rebound.,65,61
3:31,294,Darius Dawkins made Three Point Jumper. Assisted by Cody Helgeland.,68,61
3:16,2065,Bethune-Cookman  Timeout,68,61
3:16,2065,Official TV Timeout,68,61
3:05,294,Foul on J.R. Holder.,68,61
3:05,2065,Ulmer Manzie missed Free Throw.,68,61
3:05,294,Darius Dawkins Defensive Rebound.,68,61
2:48,2065,Foul on Jeffrey Altidort.,68,61
2:48,294,Darien Fernandez made Free Throw.,69,61
2:48,294,Darien Fernandez made Free Throw.,70,61
2:30,294,Foul on Antwon Clayton.,70,61
2:30,2065,Ulmer Manzie made Free Throw.,70,62
2:30,2065,Ulmer Manzie missed Free Throw.,70,62
2:30,294,Darius Dawkins Defensive Rebound.,70,62
2:04,294,Darien Fernandez made Layup.,72,62
1:49,2065,Brandon Tabb missed Three Point Jumper.,72,62
1:49,294,Jacksonville Defensive Rebound.,72,62
1:45,2065,Bethune-Cookman  Timeout,72,62
1:14,294,Darius Dawkins missed Three Point Jumper.,72,62
1:14,2065,Jeffrey Altidort Defensive Rebound.,72,62
1:06,294,Foul on Darien Fernandez.,72,62
1:06,2065,Jeffrey Altidort made Free Throw.,72,63
1:06,2065,Jeffrey Altidort made Free Throw.,72,64
0:55,2065,Foul on Houston Smith.,72,64
0:55,294,Darius Dawkins made Free Throw.,73,64
0:55,294,Darius Dawkins made Free Throw.,74,64
0:49,2065,Brandon Tabb made Layup.,74,66
0:37,2065,Foul on Josue Salaam.,74,66
0:37,294,J.R. Holder made Free Throw.,75,66
0:37,294,J.R. Holder made Free Throw.,76,66
0:28,2065,Reggie Baker missed Layup.,76,66
0:28,294,Antwon Clayton Block.,76,66
0:24,294,Devin Harris Defensive Rebound.,76,66
0:00,2065,End of Game,76,66
