Memphis,333,Alabama,235
16:36,333,Foul on Daniel Giddens.,42,41
16:36,235,Kyvon Davenport missed Free Throw.,42,41
16:36,235,Memphis Deadball Team Rebound.,42,41
16:36,235,Kyvon Davenport made Free Throw.,43,41
16:23,333,Donta Hall made Dunk. Assisted by John Petty.,43,43
15:54,235,Mike Parks Jr. Turnover.,43,43
15:54,333,Official TV Timeout,43,43
15:32,333,John Petty made Three Point Jumper.,43,46
15:05,235,Jamal Johnson made Jumper.,45,46
14:44,333,John Petty made Three Point Jumper. Assisted by Herb Jones.,45,49
14:20,235,Kyvon Davenport missed Three Point Jumper.,45,49
14:20,333,Dazon Ingram Defensive Rebound.,45,49
14:10,333,John Petty missed Three Point Jumper.,45,49
14:10,235,Raynere Thornton Defensive Rebound.,45,49
13:57,235,Jeremiah Martin made Layup.,47,49
13:35,333,Herb Jones made Three Point Jumper. Assisted by Donta Hall.,47,52
13:20,235,Jamal Johnson missed Jumper.,47,52
13:20,333,Herb Jones Defensive Rebound.,47,52
13:11,333,Herb Jones Turnover.,47,52
12:49,235,Jeremiah Martin missed Three Point Jumper.,47,52
12:49,333,Donta Hall Defensive Rebound.,47,52
12:42,333,Herb Jones made Three Point Jumper. Assisted by John Petty.,47,55
12:32,235,Memphis  Timeout,47,55
12:14,235,Jimario Rivers Turnover.,47,55
12:14,235,Foul on Jimario Rivers.,47,55
11:58,333,Alabama  Timeout,47,55
11:48,333,Dazon Ingram missed Layup.,47,55
11:48,333,Galin Smith Offensive Rebound.,47,55
11:44,333,Galin Smith made Dunk.,47,57
11:34,333,Foul on Dazon Ingram.,47,57
11:34,235,Kyvon Davenport made Free Throw.,48,57
11:34,235,Kyvon Davenport missed Free Throw.,48,57
11:34,235,Jimario Rivers Offensive Rebound.,48,57
11:30,235,Jeremiah Martin missed Three Point Jumper.,48,57
11:30,333,Galin Smith Defensive Rebound.,48,57
11:28,235,Foul on Kyvon Davenport.,48,57
11:02,235,Foul on Jimario Rivers.,48,57
11:02,333,Dazon Ingram made Free Throw.,48,58
11:02,333,Dazon Ingram missed Free Throw.,48,58
11:02,235,Mike Parks Jr. Defensive Rebound.,48,58
10:43,235,Kyvon Davenport made Three Point Jumper. Assisted by Kareem Brewton Jr..,51,58
10:16,333,Galin Smith Turnover.,51,58
10:16,333,Foul on Galin Smith.,51,58
10:04,235,Jimario Rivers Turnover.,51,58
10:04,235,Foul on Mike Parks Jr..,51,58
9:34,333,Donta Hall made Jumper. Assisted by Lawson Schaffer.,51,60
9:34,235,Foul on Mike Parks Jr..,51,60
9:34,333,Donta Hall missed Free Throw.,51,60
9:34,235,Kyvon Davenport Defensive Rebound.,51,60
9:07,235,Kareem Brewton Jr. Turnover.,51,60
9:02,333,John Petty made Layup.,51,62
8:50,235,Jimario Rivers missed Jumper.,51,62
8:50,235,Jeremiah Martin Offensive Rebound.,51,62
8:44,235,Kyvon Davenport missed Three Point Jumper.,51,62
8:44,333,Alabama Defensive Rebound.,51,62
8:24,333,John Petty missed Three Point Jumper.,51,62
8:24,235,Kyvon Davenport Defensive Rebound.,51,62
8:13,235,Kyvon Davenport Turnover.,51,62
8:11,333,Alex Reese Steal.,51,62
8:10,333,Avery Johnson made Layup. Assisted by Alex Reese.,51,64
8:10,235,Foul on Kyvon Davenport.,51,64
8:10,333,Avery Johnson made Free Throw.,51,65
7:53,235,Raynere Thornton Turnover.,51,65
7:53,333,Official TV Timeout,51,65
7:37,333,Avery Johnson made Three Point Jumper. Assisted by Alex Reese.,51,68
7:24,235,Raynere Thornton made Layup. Assisted by Kareem Brewton Jr..,53,68
7:24,333,Foul on Donta Hall.,53,68
7:24,235,Raynere Thornton missed Free Throw.,53,68
7:24,333,Donta Hall Defensive Rebound.,53,68
7:06,333,Herb Jones missed Layup.,53,68
7:06,235,Victor Enoh Defensive Rebound.,53,68
7:03,235,Jamal Johnson missed Three Point Jumper.,53,68
7:03,333,Herb Jones Block.,53,68
7:02,235,Memphis Offensive Rebound.,53,68
6:52,235,Kareem Brewton Jr. missed Jumper.,53,68
6:52,235,Jamal Johnson Offensive Rebound.,53,68
6:51,333,Foul on Dazon Ingram.,53,68
6:51,235,Jamal Johnson made Free Throw.,54,68
6:51,235,Jamal Johnson made Free Throw.,55,68
6:34,235,Foul on Kareem Brewton Jr..,55,68
6:34,333,Avery Johnson made Free Throw.,55,69
6:34,333,Avery Johnson made Free Throw.,55,70
6:22,235,Jimario Rivers made Layup.,57,70
6:14,235,Foul on Raynere Thornton.,57,70
6:14,333,Herb Jones made Free Throw.,57,71
6:14,333,Herb Jones made Free Throw.,57,72
5:54,333,Foul on Donta Hall.,57,72
5:54,235,Kyvon Davenport made Free Throw.,58,72
