Charleston Southern,2166,Davidson,2127
14:02,2166,KiShawn Pritchett Offensive Rebound.,35,73
13:52,2166,Peyton Aldridge made Three Point Jumper.,35,76
13:33,2127,Travis McConico made Three Point Jumper. Assisted by Sean Price.,38,76
13:09,2166,Peyton Aldridge made Jumper.,38,78
12:55,2127,Travis McConico missed Three Point Jumper.,38,78
12:55,2166,Jon Axel Gudmundsson Defensive Rebound.,38,78
12:44,2166,Peyton Aldridge missed Three Point Jumper.,38,78
12:44,2127,Sean Price Defensive Rebound.,38,78
12:44,2166,Foul on Dusan Kovacevic.,38,78
12:27,2127,Jamal Thomas missed Layup.,38,78
12:27,2166,Oskar Michelsen Defensive Rebound.,38,78
12:16,2166,Jon Axel Gudmundsson made Layup. Assisted by Rusty Reigel.,38,80
12:16,2127,Foul on Jamal Thomas.,38,80
12:16,2166,Jon Axel Gudmundsson made Free Throw.,38,81
12:02,2166,Foul on Jordan Watkins.,38,81
11:50,2127,Jamal Thomas missed Three Point Jumper.,38,81
11:50,2127,Jordan Jones Offensive Rebound.,38,81
11:43,2127,Phlandrous Fleming Jr made Layup.,40,81
11:25,2166,Jon Axel Gudmundsson made Three Point Jumper. Assisted by Rusty Reigel.,40,84
11:17,2127,Jordan Jones made Layup. Assisted by Phlandrous Fleming Jr.,42,84
11:03,2166,Oskar Michelsen missed Three Point Jumper.,42,84
11:03,2166,Rusty Reigel Offensive Rebound.,42,84
11:03,2127,Foul on JC Cavin.,42,84
11:03,2166,Davidson  Timeout,42,84
10:56,2127,Foul on Ty Jones.,42,84
10:56,2166,KiShawn Pritchett missed Free Throw.,42,84
10:56,2166,Davidson Deadball Team Rebound.,42,84
10:56,2166,KiShawn Pritchett made Free Throw.,42,85
10:37,2127,Sean Price made Three Point Jumper. Assisted by Phlandrous Fleming Jr.,45,85
10:25,2166,KiShawn Pritchett made Jumper.,45,87
10:09,2127,Ty Jones missed Layup.,45,87
10:09,2166,KiShawn Pritchett Defensive Rebound.,45,87
9:58,2166,Jon Axel Gudmundsson missed Three Point Jumper.,45,87
9:58,2127,Jordan Jones Defensive Rebound.,45,87
9:46,2127,Ty Jones missed Three Point Jumper.,45,87
9:46,2166,Jordan Watkins Defensive Rebound.,45,87
9:39,2166,Jordan Watkins missed Jumper.,45,87
9:39,2127,Sean Price Defensive Rebound.,45,87
9:29,2127,Phlandrous Fleming Jr missed Layup.,45,87
9:29,2166,Oskar Michelsen Block.,45,87
9:28,2166,Rusty Reigel Defensive Rebound.,45,87
9:03,2166,KiShawn Pritchett missed Jumper.,45,87
9:03,2127,Jordan Jones Defensive Rebound.,45,87
8:47,2127,Jordan Jones Turnover.,45,87
8:29,2166,Oskar Michelsen made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,45,90
8:11,2127,Jamaal David Turnover.,45,90
8:10,2166,Jon Axel Gudmundsson Steal.,45,90
8:07,2127,Foul on Jamaal David.,45,90
8:07,2166,Jon Axel Gudmundsson made Free Throw.,45,91
8:07,2166,Jon Axel Gudmundsson made Free Throw.,45,92
7:54,2127,Travis McConico missed Three Point Jumper.,45,92
7:54,2166,Jon Axel Gudmundsson Defensive Rebound.,45,92
7:38,2166,Jordan Watkins made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,45,95
7:23,2127,Travis McConico missed Layup.,45,95
7:23,2127,Travis McConico Offensive Rebound.,45,95
7:21,2127,Travis McConico made Layup.,47,95
6:57,2166,Jordan Watkins made Three Point Jumper. Assisted by Bates Jones.,47,98
6:33,2166,Foul on Oskar Michelsen.,47,98
6:33,2127,Charleston Southern  Timeout,47,98
6:19,2127,Travis McConico made Three Point Jumper. Assisted by Deontaye Buskey.,50,98
5:56,2166,Jordan Watkins missed Three Point Jumper.,50,98
5:56,2127,Jamaal David Defensive Rebound.,50,98
5:50,2127,Jamaal David made Layup.,52,98
5:31,2166,Jordan Watkins made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,52,101
5:01,2127,Sean Price missed Jumper.,52,101
5:01,2166,Dusan Kovacevic Defensive Rebound.,52,101
4:52,2166,Jordan Watkins missed Three Point Jumper.,52,101
4:52,2166,Bates Jones Offensive Rebound.,52,101
4:48,2166,Carter Collins missed Three Point Jumper.,52,101
4:48,2127,Deontaye Buskey Defensive Rebound.,52,101
4:40,2127,Deontaye Buskey missed Layup.,52,101
4:40,2166,Jon Axel Gudmundsson Defensive Rebound.,52,101
4:29,2166,Jon Axel Gudmundsson missed Three Point Jumper.,52,101
4:29,2166,Carter Collins Offensive Rebound.,52,101
4:11,2166,Dusan Kovacevic missed Three Point Jumper.,52,101
4:11,2127,Javis Howard Defensive Rebound.,52,101
4:02,2127,Javis Howard missed Layup.,52,101
4:02,2127,Travis McConico Offensive Rebound.,52,101
3:58,2127,Travis McConico made Layup.,54,101
3:38,2166,Jon Axel Gudmundsson made Three Point Jumper. Assisted by Carter Collins.,54,104
3:19,2127,Deontaye Buskey missed Three Point Jumper.,54,104
3:19,2166,Dusan Kovacevic Defensive Rebound.,54,104
3:12,2166,Davidson  Timeout,54,104
3:04,2166,Cal Freundlich missed Three Point Jumper.,54,104
3:04,2166,Davidson Offensive Rebound.,54,104
2:37,2127,Jamal Thomas made Three Point Jumper. Assisted by Deontaye Buskey.,57,104
2:13,2127,Foul on Deontaye Buskey.,57,104
2:13,2166,Malcolm Wynter missed Free Throw.,57,104
2:13,2166,Davidson Deadball Team Rebound.,57,104
2:13,2166,Malcolm Wynter made Free Throw.,57,105
1:53,2127,Travis McConico made Jumper.,59,105
1:25,2166,Carter Collins made Jumper.,59,107
1:13,2127,Jamar Martin Turnover.,59,107
1:12,2166,Rusty Reigel Steal.,59,107
1:02,2127,Foul on Jamar Martin.,59,107
1:02,2166,Rusty Reigel made Free Throw.,59,108
1:02,2166,Rusty Reigel missed Free Throw.,59,108
1:02,2127,Jamar Martin Defensive Rebound.,59,108
0:46,2127,Jamal Thomas missed Three Point Jumper.,59,108
