Nicholls,292,UT Rio Grande Valley,2447
14:26,292,Jordan Jackson made Free Throw.,68,72
14:19,2447,Kimani Jackson missed Layup.,68,72
14:19,292,Mike Hoffman Block.,68,72
14:17,292,Greg Bowie Defensive Rebound.,68,72
14:13,292,Lesley Varner Jr. made Three Point Jumper. Assisted by Greg Bowie.,68,75
14:04,2447,Zaquavian Smith missed Layup.,68,75
14:04,292,Mike Hoffman Defensive Rebound.,68,75
13:59,292,Mike Hoffman made Layup. Assisted by Jordan Jackson.,68,77
13:58,292,Official TV Timeout,68,77
13:47,2447,Maurice O'Field made Dunk. Assisted by Jahvaughn Powell.,70,77
13:31,292,Mike Hoffman missed Jumper.,70,77
13:31,292,Greg Bowie Offensive Rebound.,70,77
13:25,292,Greg Bowie made Layup.,70,79
13:10,2447,Jahvaughn Powell Turnover.,70,79
13:08,292,Mike Hoffman Steal.,70,79
13:01,292,Mike Hoffman missed Layup.,70,79
13:01,292,UT Rio Grande Valley Offensive Rebound.,70,79
12:57,292,Foul on Lesley Varner Jr..,70,79
12:57,292,Lesley Varner Jr. Turnover.,70,79
12:39,2447,Zaquavian Smith made Jumper. Assisted by Jahvaughn Powell.,72,79
12:25,292,Jordan Jackson made Jumper.,72,81
12:10,2447,Jahvaughn Powell missed Three Point Jumper.,72,81
12:10,292,Jordan Jackson Defensive Rebound.,72,81
12:02,292,Greg Bowie missed Three Point Jumper.,72,81
12:02,2447,Nicholls Defensive Rebound.,72,81
12:01,292,Foul on Mike Hoffman.,72,81
11:50,2447,Legend Robertin missed Layup.,72,81
11:50,2447,Maurice O'Field Offensive Rebound.,72,81
11:45,2447,Maurice O'Field made Layup.,74,81
11:28,292,Lesley Varner Jr. missed Layup.,74,81
11:28,292,Mike Hoffman Offensive Rebound.,74,81
11:08,292,Lew Stallworth made Dunk.,74,83
10:53,2447,Zaquavian Smith missed Three Point Jumper.,74,83
10:53,2447,Maurice O'Field Offensive Rebound.,74,83
10:51,292,Foul on Greg Bowie.,74,83
10:51,292,Official TV Timeout,74,83
10:51,2447,Maurice O'Field made Free Throw.,75,83
10:51,2447,Maurice O'Field made Free Throw.,76,83
10:39,292,Xavier McDaniel Jr. made Jumper. Assisted by Javon Levi.,76,85
10:20,2447,Legend Robertin made Layup.,78,85
10:05,292,Dan Kimasa made Layup. Assisted by Xavier McDaniel Jr..,78,87
9:52,2447,Maurice O'Field made Three Point Jumper. Assisted by Tevon Saddler.,81,87
9:31,292,Xavier McDaniel Jr. made Layup.,81,89
9:12,2447,Jahvaughn Powell missed Three Point Jumper.,81,89
9:12,292,Xavier McDaniel Jr. Defensive Rebound.,81,89
9:01,292,Javon Levi made Layup. Assisted by Xavier McDaniel Jr..,81,91
8:46,2447,Tevon Saddler missed Three Point Jumper.,81,91
8:46,292,Javon Levi Defensive Rebound.,81,91
8:36,292,Nick Dixon Turnover.,81,91
