Johnson Univ (FL),Error,The Citadel,2643
0:54,2643,Tyler Burgess made Three Point Jumper. Assisted by Brian White.,82,144
0:28,-1,Josh Grover made Jumper.,84,144
0:18,2643,Aaron Washington missed Jumper.,84,144
0:18,2643,Griffin Peevey Offensive Rebound.,84,144
0:15,2643,Griffin Peevey missed Layup.,84,144
0:15,2643,Griffin Peevey Offensive Rebound.,84,144
0:11,2643,Griffin Peevey made Layup.,84,146
0:06,-1,Douet Broughton Turnover.,84,146
0:06,2643,Brian White Steal.,84,146
0:01,2643,Aaron Washington Turnover.,84,146
0:00,2643,End of Game,84,146
