Lipscomb,2132,Cincinnati,288
3:29,2132,Jarron Cumberland made Layup. Assisted by Tre Scott.,21,32
3:29,288,Foul on Kenny Cooper.,21,32
3:29,2132,Jarron Cumberland missed Free Throw.,21,32
3:29,288,Eli Pepper Defensive Rebound.,21,32
3:10,288,Rob Marberry Turnover.,21,32
3:10,288,Foul on Rob Marberry.,21,32
2:50,288,Foul on Josh Williams.,21,32
2:50,2132,Jarron Cumberland made Free Throw.,21,33
2:50,2132,Jarron Cumberland made Free Throw.,21,34
2:35,288,Garrison Mathews missed Three Point Jumper.,21,34
2:35,288,Lipscomb Offensive Rebound.,21,34
2:23,288,Rob Marberry missed Layup.,21,34
2:23,2132,Tre Scott Block.,21,34
2:22,288,Lipscomb Offensive Rebound.,21,34
2:15,288,Josh Williams made Three Point Jumper. Assisted by Nathan Moran.,24,34
2:01,2132,Troy Caupain made Three Point Jumper. Assisted by Tre Scott.,24,37
1:44,2132,Foul on Quadri Moore.,24,37
1:44,288,Nathan Moran made Free Throw.,25,37
1:44,288,Nathan Moran made Free Throw.,26,37
1:38,2132,Quadri Moore made Three Point Jumper. Assisted by Tre Scott.,26,40
1:16,288,Nathan Moran Turnover.,26,40
1:16,2132,Jarron Cumberland Steal.,26,40
1:05,2132,Quadri Moore missed Jumper.,26,40
1:05,2132,Troy Caupain Offensive Rebound.,26,40
1:01,2132,Jarron Cumberland missed Three Point Jumper.,26,40
1:01,288,Nathan Moran Defensive Rebound.,26,40
0:47,288,George Brammeier made Layup. Assisted by Aaron Korn.,28,40
0:46,288,Lipscomb  Timeout,28,40
0:25,2132,Quadri Moore missed Three Point Jumper.,28,40
0:25,2132,Tre Scott Offensive Rebound.,28,40
0:21,2132,Kevin Johnson missed Three Point Jumper.,28,40
0:21,288,Aaron Korn Defensive Rebound.,28,40
0:02,288,Michael Buckland missed Layup.,28,40
0:02,288,Lipscomb Offensive Rebound.,28,40
0:00,2132,End of 1st half,28,40
19:51,2132,Kyle Washington made Jumper.,28,42
19:38,288,Josh Williams Turnover.,28,42
19:16,2132,Kevin Johnson made Jumper.,28,44
18:52,288,Josh Williams made Three Point Jumper. Assisted by Garrison Mathews.,31,44
18:32,2132,Kevin Johnson made Three Point Jumper. Assisted by Tre Scott.,31,47
18:22,288,Garrison Mathews made Layup.,33,47
18:01,2132,Troy Caupain missed Three Point Jumper.,33,47
18:01,2132,Tre Scott Offensive Rebound.,33,47
17:57,2132,Tre Scott made Jumper.,33,49
17:57,288,Foul on Eli Pepper.,33,49
17:56,2132,Tre Scott missed Free Throw.,33,49
17:56,288,Eli Pepper Defensive Rebound.,33,49
17:39,288,Garrison Mathews made Layup.,35,49
17:16,2132,Troy Caupain Turnover.,35,49
