Houston Baptist,269,Marquette,2277
11:50,2277,Reveal Chukwujekwu Turnover.,52,74
11:48,269,Jajuan Johnson Steal.,52,74
11:45,269,Jajuan Johnson made Dunk.,52,76
11:45,269,Technical Foul on Jajuan Johnson.,52,76
11:45,269,Official TV Timeout,52,76
11:45,2277,Jalen Weber made Free Throw.,53,76
11:30,2277,Jalen Weber Turnover.,53,76
11:29,269,Jajuan Johnson Steal.,53,76
11:27,2277,Foul on Reveal Chukwujekwu.,53,76
11:27,269,Katin Reinhardt made Free Throw.,53,77
11:27,269,Katin Reinhardt made Free Throw.,53,78
11:10,2277,Josh Ibarra missed Jumper.,53,78
11:10,269,Jajuan Johnson Defensive Rebound.,53,78
11:00,269,Luke Fischer Turnover.,53,78
10:59,2277,William Gates Jr. Steal.,53,78
10:44,2277,Alex Fountain made Jumper. Assisted by Jalen Weber.,55,78
10:16,269,Jajuan Johnson missed Three Point Jumper.,55,78
10:16,2277,Josh Ibarra Defensive Rebound.,55,78
10:10,269,Foul on Sam Hauser.,55,78
10:10,2277,Jalen Weber made Free Throw.,56,78
10:10,2277,Jalen Weber missed Free Throw.,56,78
10:10,2277,Houston Baptist Offensive Rebound.,56,78
10:00,2277,Jalon Gates made Three Point Jumper. Assisted by Josh Ibarra.,59,78
9:53,269,Marquette  Timeout,59,78
9:28,269,Haanif Cheatham missed Jumper.,59,78
9:28,2277,Alex Fountain Block.,59,78
9:26,2277,Josh Ibarra Defensive Rebound.,59,78
9:11,269,Foul on Katin Reinhardt.,59,78
9:11,2277,Josh Ibarra missed Free Throw.,59,78
9:11,2277,Houston Baptist Deadball Team Rebound.,59,78
9:11,2277,Josh Ibarra missed Free Throw.,59,78
9:11,269,Haanif Cheatham Defensive Rebound.,59,78
8:50,269,Sam Hauser missed Three Point Jumper.,59,78
8:50,2277,Josh Ibarra Defensive Rebound.,59,78
8:39,269,Foul on Luke Fischer.,59,78
8:38,2277,Josh Ibarra made Jumper. Assisted by William Gates Jr..,61,78
8:24,269,Sam Hauser missed Three Point Jumper.,61,78
8:24,269,Luke Fischer Offensive Rebound.,61,78
8:13,269,Luke Fischer made Layup. Assisted by Haanif Cheatham.,61,80
7:55,269,Foul on Markus Howard.,61,80
7:55,269,Official TV Timeout,61,80
7:55,2277,Jalen Weber missed Free Throw.,61,80
7:55,269,Jajuan Johnson Defensive Rebound.,61,80
7:32,269,Haanif Cheatham made Layup. Assisted by Jajuan Johnson.,61,82
7:32,2277,Foul on Cody Stetler.,61,82
7:32,269,Haanif Cheatham missed Free Throw.,61,82
7:32,2277,Jalen Weber Defensive Rebound.,61,82
7:13,2277,Cody Stetler missed Jumper.,61,82
7:13,269,Luke Fischer Defensive Rebound.,61,82
7:04,269,Traci Carter made Layup.,61,84
6:49,2277,William Gates Jr. made Layup. Assisted by Cody Stetler.,63,84
6:40,2277,Foul on William Gates Jr..,63,84
6:40,269,Traci Carter made Free Throw.,63,85
6:40,269,Traci Carter made Free Throw.,63,86
6:21,2277,Colter Lasher made Jumper. Assisted by Josh Ibarra.,65,86
5:54,269,Jajuan Johnson made Jumper.,65,88
5:34,2277,Josh Ibarra made Layup. Assisted by Reveal Chukwujekwu.,67,88
5:12,269,Jajuan Johnson made Jumper.,67,90
5:00,269,Foul on Matt Heldt.,67,90
5:00,2277,Colter Lasher missed Free Throw.,67,90
5:00,2277,Houston Baptist Deadball Team Rebound.,67,90
5:00,2277,Colter Lasher made Free Throw.,68,90
4:51,269,Foul on Matt Heldt.,68,90
4:51,269,Matt Heldt Turnover.,68,90
4:35,2277,Colter Lasher made Three Point Jumper. Assisted by Asa Cantwell.,71,90
4:13,269,Katin Reinhardt Turnover.,71,90
3:58,2277,Reveal Chukwujekwu missed Jumper.,71,90
3:58,269,Jajuan Johnson Block.,71,90
3:56,269,Haanif Cheatham Defensive Rebound.,71,90
3:53,269,Jajuan Johnson made Layup. Assisted by Haanif Cheatham.,71,92
3:33,2277,Colter Lasher missed Three Point Jumper.,71,92
3:33,269,Jajuan Johnson Defensive Rebound.,71,92
3:28,269,Haanif Cheatham missed Layup.,71,92
3:28,2277,Colter Lasher Block.,71,92
3:26,269,Sam Hauser Offensive Rebound.,71,92
3:23,269,Katin Reinhardt missed Three Point Jumper.,71,92
3:23,269,Haanif Cheatham Offensive Rebound.,71,92
3:18,269,Katin Reinhardt missed Three Point Jumper.,71,92
3:18,2277,Asa Cantwell Defensive Rebound.,71,92
3:00,2277,Reveal Chukwujekwu Turnover.,71,92
2:57,269,Sam Hauser Steal.,71,92
2:46,269,Jajuan Johnson missed Three Point Jumper.,71,92
2:46,2277,Reveal Chukwujekwu Defensive Rebound.,71,92
2:39,2277,Reveal Chukwujekwu made Layup.,73,92
2:11,2277,Foul on Asa Cantwell.,73,92
2:11,269,Official TV Timeout,73,92
2:11,269,Jajuan Johnson made Free Throw.,73,93
2:11,269,Jajuan Johnson made Free Throw.,73,94
1:58,2277,Jalon Gates missed Three Point Jumper.,73,94
1:58,269,Markus Howard Defensive Rebound.,73,94
1:36,269,Katin Reinhardt missed Three Point Jumper.,73,94
1:36,2277,Houston Baptist Deadball Team Rebound.,73,94
1:36,269,Foul on Sam Hauser.,73,94
1:36,2277,Alex Fountain made Free Throw.,74,94
1:36,2277,Alex Fountain missed Free Throw.,74,94
1:36,269,Cam Marotta Defensive Rebound.,74,94
1:22,2277,Foul on Braxton Bonds.,74,94
1:22,269,Markus Howard made Free Throw.,74,95
1:22,269,Markus Howard made Free Throw.,74,96
1:11,2277,William Gates Jr. made Jumper. Assisted by Braxton Bonds.,76,96
0:59,269,Markus Howard made Layup.,76,98
0:52,2277,Jalon Gates missed Three Point Jumper.,76,98
0:52,269,Deon Franklin Defensive Rebound.,76,98
0:49,269,Deon Franklin Turnover.,76,98
0:47,2277,Colter Lasher Steal.,76,98
0:45,2277,Colter Lasher missed Layup.,76,98
0:45,2277,Braxton Bonds Offensive Rebound.,76,98
0:40,2277,Braxton Bonds missed Two Point Tip Shot.,76,98
0:40,2277,Colter Lasher Offensive Rebound.,76,98
0:40,2277,Alex Fountain made Three Point Jumper.,79,98
0:12,269,Markus Howard made Three Point Jumper. Assisted by Cam Marotta.,79,101
0:00,2277,Colter Lasher missed Layup.,79,101
0:00,269,Deon Franklin Defensive Rebound.,79,101
0:00,269,End of Game,79,101
