Fairleigh Dickinson,194,Ohio State,161
10:11,161,Malik Miller Defensive Rebound.,42,57
9:42,161,Mike Holloway Turnover.,42,57
9:41,194,Andre Wesson Steal.,42,57
9:37,161,Foul on Malik Miller.,42,57
9:37,194,Marc Loving missed Free Throw.,42,57
9:37,194,Ohio State Deadball Team Rebound.,42,57
9:37,194,Marc Loving missed Free Throw.,42,57
9:37,161,Darian Anderson Defensive Rebound.,42,57
9:27,194,Foul on Marc Loving.,42,57
9:27,161,Darian Anderson made Free Throw.,43,57
9:27,161,Darian Anderson made Free Throw.,44,57
9:10,194,Jae'Sean Tate missed Layup.,44,57
9:10,161,Malik Miller Block.,44,57
9:08,161,Nadi Beciri Defensive Rebound.,44,57
8:51,161,Darian Anderson made Layup.,46,57
8:33,194,JaQuan Lyle Turnover.,46,57
8:32,161,Nadi Beciri Steal.,46,57
8:26,161,Nadi Beciri missed Jumper.,46,57
8:26,161,Kaleb Bishop Offensive Rebound.,46,57
8:23,161,Kaleb Bishop made Dunk.,48,57
8:16,194,Ohio State  Timeout,48,57
8:03,194,Trevor Thompson made Layup. Assisted by Kam Williams.,48,59
8:03,161,Foul on Nadi Beciri.,48,59
8:03,194,Trevor Thompson missed Free Throw.,48,59
8:03,161,Malik Miller Defensive Rebound.,48,59
7:40,161,Malik Miller missed Jumper.,48,59
7:40,194,Jae'Sean Tate Defensive Rebound.,48,59
7:27,194,Marc Loving missed Jumper.,48,59
7:27,161,Malik Miller Defensive Rebound.,48,59
7:18,161,Darian Anderson made Three Point Jumper. Assisted by Stephan Jiggetts.,51,59
6:56,194,Marc Loving missed Jumper.,51,59
6:56,194,Jae'Sean Tate Offensive Rebound.,51,59
6:43,194,JaQuan Lyle missed Jumper.,51,59
6:43,161,Stephan Jiggetts Defensive Rebound.,51,59
6:13,161,Stephan Jiggetts Turnover.,51,59
6:12,194,Kam Williams Steal.,51,59
5:48,194,Trevor Thompson made Layup.,51,61
5:36,161,Fairleigh Dickinson  Timeout,51,61
