Chicago State,2710,Western Illinois,2130
0:47,2710,Jabari Sandifer made Free Throw.,70,69
0:47,2710,Jabari Sandifer made Free Throw.,70,70
0:24,2130,Glen Burns Turnover.,70,70
0:24,2710,Garret Covington Steal.,70,70
0:05,2710,Garret Covington missed Jumper.,70,70
0:05,2710,Western Illinois Offensive Rebound.,70,70
0:02,2710,Garret Covington Turnover.,70,70
0:02,2130,Chicago St  Timeout,70,70
0:02,2130,Trayvon Palmer missed Jumper.,70,70
0:02,2710,Western Illinois Deadball Team Rebound.,70,70
0:00,2710,End of 2nd half,70,70
4:46,2710,Brandon Gilbeck Turnover.,70,70
4:46,2710,Foul on Brandon Gilbeck.,70,70
4:23,2130,Trayvon Palmer missed Jumper.,70,70
4:23,2710,Dalan Ancrum Defensive Rebound.,70,70
3:58,2710,Garret Covington Turnover.,70,70
3:57,2130,Glen Burns Steal.,70,70
3:38,2130,Fred Sims Jr. made Three Point Jumper.,73,70
3:19,2130,Foul on Clemmye Owens V.,73,70
3:17,2710,Official TV Timeout,73,70
3:17,2710,Garret Covington made Free Throw.,73,71
3:17,2710,Garret Covington made Free Throw.,73,72
2:56,2130,Fred Sims Jr. missed Three Point Jumper.,73,72
2:56,2710,C.J. Duff Defensive Rebound.,73,72
2:40,2710,Garret Covington missed Three Point Jumper.,73,72
2:40,2130,Trayvon Palmer Defensive Rebound.,73,72
2:11,2130,Delundre Dixon missed Jumper.,73,72
2:11,2710,Garret Covington Defensive Rebound.,73,72
1:58,2710,Jabari Sandifer missed Layup.,73,72
1:58,2130,Delundre Dixon Defensive Rebound.,73,72
1:33,2130,Clemmye Owens V made Jumper.,75,72
1:15,2710,C.J. Duff missed Layup.,75,72
1:15,2710,James Claar Offensive Rebound.,75,72
1:12,2130,Foul on Glen Burns.,75,72
1:12,2710,James Claar missed Free Throw.,75,72
1:12,2710,Western Illinois Deadball Team Rebound.,75,72
1:12,2710,James Claar made Free Throw.,75,73
0:43,2710,Foul on James Claar.,75,73
0:43,2130,Fred Sims Jr. made Free Throw.,76,73
0:43,2130,Fred Sims Jr. missed Free Throw.,76,73
0:43,2710,James Claar Defensive Rebound.,76,73
0:29,2710,Jabari Sandifer Turnover.,76,73
0:29,2130,Chicago St  Timeout,76,73
0:26,2710,Foul on Garret Covington.,76,73
0:26,2130,Fred Sims Jr. made Free Throw.,77,73
0:26,2130,Fred Sims Jr. made Free Throw.,78,73
0:26,2710,Garret Covington made Three Point Jumper. Assisted by James Claar.,78,76
0:20,2710,Western Illinois  Timeout,78,76
0:15,2130,Clemmye Owens V made Layup. Assisted by Trayvon Palmer.,80,76
0:15,2710,Foul on C.J. Duff.,80,76
0:15,2130,Clemmye Owens V made Free Throw.,81,76
0:08,2710,Official TV Timeout,81,76
