UMKC,2571,South Dakota State,140
1:44,2571,Andre Wallace missed Free Throw.,65,74
1:44,2571,South Dakota St Deadball Team Rebound.,65,74
1:44,2571,Andre Wallace missed Free Throw.,65,74
1:44,2571,Mike Daum Offensive Rebound.,65,74
1:21,2571,Mike Daum made Layup. Assisted by Reed Tellinghuisen.,65,76
1:21,140,Foul on LaVell Boyd.,65,76
1:21,2571,Mike Daum made Free Throw.,65,77
1:10,140,Broderick Newbill missed Three Point Jumper.,65,77
1:10,2571,Reed Tellinghuisen Defensive Rebound.,65,77
0:39,2571,Reed Tellinghuisen missed Three Point Jumper.,65,77
0:39,2571,Tevin King Offensive Rebound.,65,77
0:10,2571,Reed Tellinghuisen Turnover.,65,77
0:09,140,Broderick Robinson Steal.,65,77
0:06,140,LaVell Boyd made Three Point Jumper. Assisted by Broderick Robinson.,68,77
0:00,2571,End of Game,68,77
