Cornell,2344,Longwood,172
1:00,2344,Foul on JaShaun Smith.,65,60
0:45,172,Matt Morgan missed Layup.,65,60
0:45,2344,B.K. Ashe Defensive Rebound.,65,60
0:39,172,Foul on Terrance McBride.,65,60
0:39,2344,Longwood  Timeout,65,60
0:35,2344,Damarion Geter made Layup.,65,62
0:31,2344,Foul on Chris Shields.,65,62
0:31,172,Matt Morgan made Free Throw.,66,62
0:31,172,Matt Morgan made Free Throw.,67,62
0:20,2344,JaShaun Smith missed Three Point Jumper.,67,62
0:20,172,Steven Julian Defensive Rebound.,67,62
0:17,2344,Foul on Damarion Geter.,67,62
0:17,172,Steven Julian missed Free Throw.,67,62
0:17,2344,JaShaun Smith Defensive Rebound.,67,62
0:11,172,Foul on Jack Gordon.,67,62
0:09,2344,B.K. Ashe missed Three Point Jumper.,67,62
0:09,172,Josh Warren Defensive Rebound.,67,62
0:09,172,Steven Julian Block.,67,62
0:05,2344,Damarion Geter Offensive Rebound.,67,62
0:05,172,Josh Warren made Free Throw.,68,62
0:05,172,Josh Warren made Free Throw.,69,62
0:03,172,Foul on Steven Julian.,69,62
0:02,2344,B.K. Ashe missed Three Point Jumper.,69,62
0:02,172,Josh Warren Defensive Rebound.,69,62
0:00,2344,End of Game,69,62
