Texas Southern,2751,Wyoming,2640
16:24,2751,Cody Kelley Defensive Rebound.,38,35
16:14,2751,Hunter Maldonado made Three Point Jumper. Assisted by Alexander Aka Gorski.,38,38
15:56,2751,Foul on Justin James.,38,38
15:56,2751,Official TV Timeout,38,38
15:56,2640,Demontrae Jefferson made Free Throw.,39,38
15:56,2640,Demontrae Jefferson made Free Throw.,40,38
15:42,2751,Cody Kelley missed Three Point Jumper.,40,38
15:42,2751,Hunter Maldonado Offensive Rebound.,40,38
15:29,2751,Justin James made Jumper. Assisted by Cody Kelley.,40,40
15:02,2751,Foul on Cody Kelley.,40,40
15:02,2640,Donte Clark made Free Throw.,41,40
15:02,2640,Donte Clark made Free Throw.,42,40
14:50,2751,Alan Herndon missed Jumper.,42,40
14:50,2751,Cody Kelley Offensive Rebound.,42,40
14:42,2751,Alexander Aka Gorski made Three Point Jumper. Assisted by Cody Kelley.,42,43
14:28,2640,Demontrae Jefferson missed Jumper.,42,43
14:28,2751,Hunter Maldonado Defensive Rebound.,42,43
14:19,2751,Justin James made Layup.,42,45
13:55,2640,Donte Clark missed Layup.,42,45
13:55,2751,Alan Herndon Block.,42,45
13:53,2640,Trayvon Reed Offensive Rebound.,42,45
13:51,2640,Trayvon Reed missed Layup.,42,45
13:51,2751,Alan Herndon Defensive Rebound.,42,45
13:31,2751,Justin James Turnover.,42,45
13:30,2640,Marquis Salmon Steal.,42,45
13:26,2640,Demontrae Jefferson made Three Point Jumper. Assisted by Donte Clark.,45,45
13:09,2751,Alexander Aka Gorski missed Three Point Jumper.,45,45
13:09,2640,Lamont Walker Defensive Rebound.,45,45
12:48,2640,Donte Clark missed Jumper.,45,45
12:48,2751,Justin James Defensive Rebound.,45,45
12:34,2640,Foul on Marquis Salmon.,45,45
12:34,2751,Justin James made Free Throw.,45,46
12:34,2751,Justin James made Free Throw.,45,47
12:12,2640,Demontrae Jefferson Turnover.,45,47
12:04,2640,Foul on Marquis Salmon.,45,47
11:51,2751,Official TV Timeout,45,47
11:42,2751,Wyoming  Turnover.,45,47
11:21,2640,Lamont Walker made Jumper.,47,47
11:04,2751,Alexander Aka Gorski missed Three Point Jumper.,47,47
11:04,2640,Robert Lewis Defensive Rebound.,47,47
10:48,2640,Demontrae Jefferson missed Jumper.,47,47
10:48,2751,Justin James Defensive Rebound.,47,47
10:40,2751,Justin James missed Three Point Jumper.,47,47
10:40,2751,Cody Kelley Offensive Rebound.,47,47
10:32,2751,Alexander Aka Gorski made Three Point Jumper. Assisted by Justin James.,47,50
10:28,2640,Texas Southern  Timeout,47,50
10:10,2640,Trayvon Reed Turnover.,47,50
10:10,2640,Foul on Trayvon Reed.,47,50
9:46,2751,Cody Kelley missed Layup.,47,50
9:46,2751,Alan Herndon Offensive Rebound.,47,50
9:43,2640,Foul on Lamont Walker.,47,50
9:43,2751,Alan Herndon made Free Throw.,47,51
9:43,2751,Alan Herndon missed Free Throw.,47,51
9:43,2751,Wyoming Offensive Rebound.,47,51
9:41,2640,Foul on Trayvon Reed.,47,51
9:41,2751,Hunter Maldonado made Free Throw.,47,52
9:41,2751,Hunter Maldonado missed Free Throw.,47,52
9:41,2640,Trayvon Reed Defensive Rebound.,47,52
9:25,2640,Robert Lewis missed Three Point Jumper.,47,52
9:25,2640,Lamont Walker Offensive Rebound.,47,52
9:16,2640,Demontrae Jefferson made Layup.,49,52
9:16,2751,Foul on Alan Herndon.,49,52
9:16,2640,Demontrae Jefferson made Free Throw.,50,52
8:48,2751,Hunter Maldonado missed Three Point Jumper.,50,52
8:48,2751,Cody Kelley Offensive Rebound.,50,52
8:40,2751,Justin James made Layup.,50,54
8:15,2751,Foul on Alexander Aka Gorski.,50,54
8:12,2640,Demontrae Jefferson made Three Point Jumper.,53,54
7:58,2751,Alexander Aka Gorski missed Three Point Jumper.,53,54
7:58,2640,Trayvon Reed Defensive Rebound.,53,54
7:39,2751,Foul on Hunter Maldonado.,53,54
7:39,2751,Official TV Timeout,53,54
7:32,2640,Robert Lewis missed Three Point Jumper.,53,54
7:32,2640,Trayvon Reed Offensive Rebound.,53,54
7:29,2640,Trayvon Reed missed Layup.,53,54
7:29,2751,Justin James Defensive Rebound.,53,54
7:27,2640,Foul on Robert Lewis.,53,54
7:27,2751,Justin James missed Free Throw.,53,54
7:27,2640,Lamont Walker Defensive Rebound.,53,54
7:06,2640,Donte Clark made Layup.,55,54
6:50,2751,Alan Herndon made Jumper. Assisted by Cody Kelley.,55,56
6:18,2640,Donte Clark missed Three Point Jumper.,55,56
6:18,2751,Justin James Defensive Rebound.,55,56
6:09,2751,Alexander Aka Gorski missed Three Point Jumper.,55,56
6:09,2640,Trayvon Reed Defensive Rebound.,55,56
5:54,2640,Texas Southern  Timeout,55,56
5:41,2640,Donte Clark missed Layup.,55,56
5:41,2751,Cody Kelley Defensive Rebound.,55,56
5:33,2751,Justin James made Jumper. Assisted by Hayden Dalton.,55,58
5:10,2640,Demontrae Jefferson missed Jumper.,55,58
5:10,2751,Justin James Defensive Rebound.,55,58
5:00,2751,Hunter Maldonado made Jumper.,55,60
4:37,2640,Donte Clark made Jumper.,57,60
4:19,2751,Justin James Turnover.,57,60
4:18,2640,Demontrae Jefferson Steal.,57,60
4:02,2640,Donte Clark made Jumper.,59,60
3:36,2751,Hayden Dalton missed Three Point Jumper.,59,60
3:36,2640,Donte Clark Defensive Rebound.,59,60
3:13,2640,Donte Clark made Three Point Jumper.,62,60
3:02,2751,Justin James Turnover.,62,60
3:02,2751,Official TV Timeout,62,60
2:40,2640,Derrick Bruce Turnover.,62,60
2:36,2751,Louis Adams missed Layup.,62,60
2:36,2751,Justin James Offensive Rebound.,62,60
2:33,2751,Justin James made Jumper.,62,62
2:02,2640,Donte Clark missed Jumper.,62,62
2:02,2751,Cody Kelley Defensive Rebound.,62,62
