Marist,93,Murray State,2368
6:31,93,Shaq Buchanan Steal.,50,83
6:31,2368,Foul on Austin Williams.,50,83
6:31,93,Shaq Buchanan made Free Throw.,50,84
6:31,93,Shaq Buchanan made Free Throw.,50,85
6:14,2368,Brian Parker Turnover.,50,85
6:13,93,Anthony Smith Steal.,50,85
6:12,2368,Foul on Aleksandar Dozic.,50,85
6:12,93,Anthony Smith made Free Throw.,50,86
6:12,93,Anthony Smith made Free Throw.,50,87
5:47,2368,Connor McClenaghan missed Jumper.,50,87
5:47,93,Jalen Dupree Defensive Rebound.,50,87
5:28,93,Shaq Buchanan made Jumper.,50,89
5:07,2368,David Knudsen made Jumper.,52,89
4:55,93,Murray State  Timeout,52,89
4:40,93,Anthony Smith Turnover.,52,89
4:40,93,Foul on Anthony Smith.,52,89
4:11,93,Foul on Brion Sanchious.,52,89
4:11,2368,Brian Parker made Free Throw.,53,89
4:11,2368,Brian Parker missed Free Throw.,53,89
4:11,2368,Marist Deadball Team Rebound.,53,89
4:11,2368,Brian Parker made Free Throw.,54,89
3:45,93,Jachai Taylor missed Three Point Jumper.,54,89
3:45,93,Murray State Offensive Rebound.,54,89
3:42,93,Foul on Anthony Smith.,54,89
3:42,2368,Marist  Timeout,54,89
3:42,2368,David Knudsen made Free Throw.,55,89
3:42,2368,David Knudsen made Free Throw.,56,89
3:27,93,Byron Hawkins Turnover.,56,89
3:26,2368,Austin Williams Steal.,56,89
3:13,2368,Isaiah Lamb made Layup.,58,89
3:13,93,Foul on Jachai Taylor.,58,89
3:13,2368,Isaiah Lamb missed Free Throw.,58,89
3:13,93,Brion Sanchious Defensive Rebound.,58,89
2:56,2368,Foul on Austin Williams.,58,89
2:56,93,Brion Whitley made Free Throw.,58,90
2:56,93,Brion Whitley made Free Throw.,58,91
2:50,2368,Lasse Gummerus Turnover.,58,91
2:49,93,Anthony Smith Steal.,58,91
2:43,93,Brion Whitley Turnover.,58,91
2:42,2368,Andrea Bernardi Steal.,58,91
2:39,2368,Andrea Bernardi missed Three Point Jumper.,58,91
2:39,93,Jachai Taylor Defensive Rebound.,58,91
2:28,93,Murray State  Timeout,58,91
2:08,93,Brion Whitley made Jumper.,58,93
1:48,93,Foul on Jachai Taylor.,58,93
1:48,2368,Andrea Bernardi made Free Throw.,59,93
1:48,2368,Andrea Bernardi made Free Throw.,60,93
1:33,93,Zach Hopewell made Three Point Jumper.,60,96
1:22,2368,Marist  Timeout,60,96
1:18,2368,Andrea Bernardi Turnover.,60,96
1:17,93,Devin Gilmore Steal.,60,96
1:14,93,Devin Gilmore made Dunk.,60,98
1:00,93,Foul on Jachai Taylor.,60,98
1:00,2368,Ryan Carmello missed Free Throw.,60,98
1:00,2368,Marist Deadball Team Rebound.,60,98
1:00,2368,Ryan Carmello missed Free Throw.,60,98
1:00,2368,Connor McClenaghan Offensive Rebound.,60,98
0:57,2368,Connor McClenaghan made Jumper.,62,98
0:42,93,Brion Whitley made Layup.,62,100
0:24,93,Foul on Zach Hopewell.,62,100
0:24,2368,Andrea Bernardi missed Free Throw.,62,100
0:24,2368,Marist Deadball Team Rebound.,62,100
0:24,2368,Andrea Bernardi missed Free Throw.,62,100
0:24,2368,Marist Deadball Team Rebound.,62,100
0:24,2368,Andrea Bernardi made Free Throw.,63,100
0:00,93,End of Game,63,100
