Lamar,292,UT Rio Grande Valley,2320
10:31,292,Mike Hoffman Defensive Rebound.,53,65
10:12,292,Nick Dixon made Jumper.,53,67
9:53,2320,Colton Weisbrod Turnover.,53,67
9:51,292,Nick Dixon Steal.,53,67
9:50,292,Moe McDonald made Layup.,53,69
9:31,292,Foul on Mike Hoffman.,53,69
9:31,2320,Christian Albright made Free Throw.,54,69
9:31,2320,Christian Albright made Free Throw.,55,69
9:20,292,Antonio Green missed Three Point Jumper.,55,69
9:20,292,Xavier McDaniel Jr. Offensive Rebound.,55,69
9:14,292,Xavier McDaniel Jr. made Layup.,55,71
9:08,292,Foul on Xavier McDaniel Jr..,55,71
9:08,2320,Joey Frenchwood missed Free Throw.,55,71
9:08,2320,Christian Albright Offensive Rebound.,55,71
8:54,2320,Joey Frenchwood missed Layup.,55,71
8:54,292,Adonis Rwabigwi Block.,55,71
8:52,292,Antonio Green Defensive Rebound.,55,71
8:50,292,Antonio Green Turnover.,55,71
8:45,2320,Joey Frenchwood made Jumper.,57,71
8:23,292,Antonio Green made Three Point Jumper. Assisted by Nick Dixon.,57,74
8:07,2320,Nick Garth made Layup.,59,74
7:49,292,Moe McDonald missed Three Point Jumper.,59,74
7:49,292,Adonis Rwabigwi Offensive Rebound.,59,74
7:44,292,Adonis Rwabigwi Turnover.,59,74
7:42,2320,Zjori Bosha Steal.,59,74
7:39,2320,Nick Garth missed Three Point Jumper.,59,74
7:39,292,Adonis Rwabigwi Defensive Rebound.,59,74
7:34,292,Adonis Rwabigwi Turnover.,59,74
7:34,2320,Zjori Bosha Steal.,59,74
7:33,292,Foul on Adonis Rwabigwi.,59,74
7:32,292,Official TV Timeout,59,74
7:32,2320,Christian Albright missed Free Throw.,59,74
7:32,2320,Lamar Deadball Team Rebound.,59,74
7:32,2320,Christian Albright made Free Throw.,60,74
7:20,292,Antonio Green made Three Point Jumper. Assisted by Lew Stallworth.,60,77
6:58,2320,Nick Garth made Jumper.,62,77
6:38,292,Antonio Green made Layup.,62,79
6:38,2320,Foul on Dorian Chatman.,62,79
6:38,292,Antonio Green made Free Throw.,62,80
6:22,2320,Dorian Chatman made Layup. Assisted by Nick Garth.,64,80
6:02,2320,Foul on Zjori Bosha.,64,80
6:02,292,Antonio Green made Free Throw.,64,81
6:02,292,Antonio Green made Free Throw.,64,82
5:43,2320,Dorian Chatman Turnover.,64,82
5:41,292,Antonio Green Steal.,64,82
5:38,292,Antonio Green Turnover.,64,82
5:21,2320,Nick Garth missed Three Point Jumper.,64,82
5:21,2320,Lamar Offensive Rebound.,64,82
5:18,292,Foul on Nick Dixon.,64,82
5:18,2320,Zjori Bosha made Free Throw.,65,82
5:18,2320,Zjori Bosha made Free Throw.,66,82
5:06,2320,Foul on Dorian Chatman.,66,82
5:06,292,Mike Hoffman missed Free Throw.,66,82
5:06,2320,Colton Weisbrod Defensive Rebound.,66,82
4:47,2320,Zjori Bosha made Three Point Jumper. Assisted by Nick Garth.,69,82
4:27,292,Nick Dixon made Jumper.,69,84
4:15,2320,Nick Garth missed Jumper.,69,84
4:15,292,Lesley Varner Jr. Block.,69,84
4:14,2320,Lamar Offensive Rebound.,69,84
4:03,2320,Zjori Bosha made Layup. Assisted by Nick Garth.,71,84
3:44,292,Antonio Green made Three Point Jumper.,71,87
3:34,2320,Joey Frenchwood made Layup.,73,87
3:18,292,Nick Dixon missed Jumper.,73,87
3:18,2320,Joey Frenchwood Defensive Rebound.,73,87
3:12,2320,Dorian Chatman made Layup. Assisted by Joey Frenchwood.,75,87
2:48,2320,Foul on Dorian Chatman.,75,87
2:48,292,Official TV Timeout,75,87
2:48,292,Lew Stallworth missed Free Throw.,75,87
2:48,292,UT Rio Grande Valley Deadball Team Rebound.,75,87
2:48,292,Lew Stallworth made Free Throw.,75,88
2:30,2320,Colton Weisbrod missed Layup.,75,88
2:30,2320,Lamar Offensive Rebound.,75,88
2:26,2320,Joey Frenchwood missed Three Point Jumper.,75,88
2:26,2320,Colton Weisbrod Offensive Rebound.,75,88
2:22,2320,Colton Weisbrod missed Layup.,75,88
2:22,2320,Zjori Bosha Offensive Rebound.,75,88
