Toledo,276,Marshall,2649
1:12,2649,Foul on Steve Taylor Jr..,93,89
1:12,2649,Steve Taylor Jr. Turnover.,93,89
0:59,276,Ryan Taylor made Layup. Assisted by Jon Elmore.,93,91
0:59,2649,Foul on Jonathan Williams.,93,91
0:59,276,Ryan Taylor missed Free Throw.,93,91
0:59,2649,Steve Taylor Jr. Defensive Rebound.,93,91
0:43,2649,Toledo  Timeout,93,91
0:34,2649,Jonathan Williams missed Layup.,93,91
0:34,276,Ryan Taylor Block.,93,91
0:32,276,Stevie Browning Defensive Rebound.,93,91
0:26,276,Stevie Browning made Layup.,93,93
0:09,2649,Toledo  Timeout,93,93
0:00,276,Ryan Taylor Block.,93,93
0:00,2649,Steve Taylor Jr. missed Jumper.,93,93
0:00,276,Marshall Defensive Rebound.,93,93
0:00,276,End of 2nd half,93,93
4:57,276,Ryan Taylor made Layup.,93,95
4:37,2649,Steve Taylor Jr. made Layup.,95,95
4:25,276,Foul on Aleksa Nikolic.,95,95
4:25,276,Aleksa Nikolic Turnover.,95,95
4:05,2649,Jonathan Williams missed Three Point Jumper.,95,95
4:05,2649,Luke Knapke Offensive Rebound.,95,95
3:59,2649,Luke Knapke made Layup.,97,95
3:48,2649,Foul on Jonathan Williams.,97,95
3:48,276,Stevie Browning made Free Throw.,97,96
3:48,276,Stevie Browning made Free Throw.,97,97
3:42,2649,Lucas Antunez Turnover.,97,97
3:40,276,Stevie Browning missed Layup.,97,97
3:40,2649,Steve Taylor Jr. Defensive Rebound.,97,97
3:33,2649,Nate Navigato missed Three Point Jumper.,97,97
3:33,276,Marshall Defensive Rebound.,97,97
3:21,276,Ryan Taylor made Layup.,97,99
3:12,276,Foul on Stevie Browning.,97,99
3:12,2649,Lucas Antunez missed Free Throw.,97,99
3:12,2649,Toledo Deadball Team Rebound.,97,99
3:12,2649,Lucas Antunez made Free Throw.,98,99
2:52,276,Jon Elmore made Layup.,98,101
2:52,2649,Foul on Nate Navigato.,98,101
2:52,276,Jon Elmore made Free Throw.,98,102
2:35,2649,Nate Navigato made Three Point Jumper. Assisted by Jaelan Sanford.,101,102
2:20,276,Jon Elmore missed Layup.,101,102
2:20,2649,Lucas Antunez Defensive Rebound.,101,102
2:06,276,Foul on Aleksa Nikolic.,101,102
2:06,2649,Steve Taylor Jr. made Free Throw.,102,102
2:06,2649,Steve Taylor Jr. missed Free Throw.,102,102
2:06,276,Ryan Taylor Defensive Rebound.,102,102
1:46,276,Austin Loop made Three Point Jumper. Assisted by Jon Elmore.,102,105
1:34,276,Foul on Ryan Taylor.,102,105
1:34,2649,Steve Taylor Jr. made Free Throw.,103,105
1:34,2649,Steve Taylor Jr. missed Free Throw.,103,105
1:34,276,Aleksa Nikolic Defensive Rebound.,103,105
1:10,276,Stevie Browning made Layup.,103,107
0:55,2649,Jaelan Sanford missed Layup.,103,107
0:55,276,Aleksa Nikolic Defensive Rebound.,103,107
0:28,276,Jon Elmore missed Jumper.,103,107
0:28,276,Aleksa Nikolic Offensive Rebound.,103,107
0:22,2649,Foul on Jaelan Sanford.,103,107
0:22,276,Jon Elmore made Free Throw.,103,108
0:22,276,Jon Elmore made Free Throw.,103,109
0:22,276,Marshall  Timeout,103,109
0:13,2649,Lucas Antunez missed Layup.,103,109
0:13,276,Stevie Browning Defensive Rebound.,103,109
0:09,2649,Foul on Lucas Antunez.,103,109
0:09,276,Stevie Browning made Free Throw.,103,110
0:09,276,Stevie Browning made Free Throw.,103,111
0:05,2649,Jaelan Sanford missed Three Point Jumper.,103,111
0:05,2649,Jordan Lauf Offensive Rebound.,103,111
0:01,2649,Jordan Lauf made Layup.,105,111
0:00,276,End of Game,105,111
