UNC Wilmington,2166,Davidson,350
7:45,350,Devontae Cacok made Layup. Assisted by Jordon Talley.,61,92
7:23,2166,Jon Axel Gudmundsson made Layup.,61,94
7:23,350,Foul on Devontae Cacok.,61,94
7:23,2166,Davidson  Timeout,61,94
7:23,2166,Jon Axel Gudmundsson made Free Throw.,61,95
7:13,2166,Foul on Dusan Kovacevic.,61,95
7:13,350,Devontae Cacok made Free Throw.,62,95
7:13,350,Devontae Cacok missed Free Throw.,62,95
7:13,2166,Peyton Aldridge Defensive Rebound.,62,95
6:43,2166,Carter Collins missed Three Point Jumper.,62,95
6:43,350,Devontae Cacok Defensive Rebound.,62,95
6:36,2166,Foul on Jon Axel Gudmundsson.,62,95
6:25,350,Jordon Talley made Three Point Jumper.,65,95
6:07,2166,Foul on Jordan Watkins.,65,95
6:07,2166,Jordan Watkins Turnover.,65,95
5:56,350,Jay Estime' made Three Point Jumper. Assisted by Jordon Talley.,68,95
5:46,2166,Peyton Aldridge missed Three Point Jumper.,68,95
5:46,2166,Jon Axel Gudmundsson Offensive Rebound.,68,95
5:42,350,Foul on Jaylen Fornes.,68,95
5:33,350,Foul on Nick Powell.,68,95
5:33,2166,Kellan Grady missed Free Throw.,68,95
5:33,2166,Davidson Deadball Team Rebound.,68,95
5:33,2166,Kellan Grady missed Free Throw.,68,95
5:33,350,Devontae Cacok Defensive Rebound.,68,95
5:26,350,Jay Estime' made Three Point Jumper. Assisted by Jordon Talley.,71,95
4:59,2166,Rusty Reigel missed Three Point Jumper.,71,95
4:59,350,Devontae Cacok Defensive Rebound.,71,95
4:45,350,Jaylen Fornes made Layup.,73,95
4:20,2166,Rusty Reigel Turnover.,73,95
4:09,2166,Foul on Jon Axel Gudmundsson.,73,95
4:09,350,Jaylen Fornes made Free Throw.,74,95
4:09,350,Jaylen Fornes made Free Throw.,75,95
3:52,350,Foul on Jordon Talley.,75,95
3:52,2166,Davidson  Timeout,75,95
3:52,2166,Carter Collins missed Free Throw.,75,95
3:52,2166,Davidson Deadball Team Rebound.,75,95
3:52,2166,Carter Collins missed Free Throw.,75,95
3:52,2166,Davidson Deadball Team Rebound.,75,95
3:52,2166,Carter Collins made Free Throw.,75,96
3:41,350,Nick Powell made Three Point Jumper. Assisted by Jordon Talley.,78,96
3:21,2166,Oskar Michelsen missed Three Point Jumper.,78,96
3:21,350,Jaylen Fornes Defensive Rebound.,78,96
3:16,2166,Foul on Oskar Michelsen.,78,96
3:16,350,Devontae Cacok missed Free Throw.,78,96
3:16,2166,Peyton Aldridge Defensive Rebound.,78,96
2:54,2166,Kellan Grady made Layup.,78,98
2:41,2166,Foul on Kellan Grady.,78,98
2:41,350,Jaylen Fornes missed Free Throw.,78,98
2:41,350,UNC Wilmington Deadball Team Rebound.,78,98
2:41,350,Jaylen Fornes missed Free Throw.,78,98
2:41,2166,Jon Axel Gudmundsson Defensive Rebound.,78,98
2:41,350,Foul on Jay Estime'.,78,98
