Eastern Washington,2547,Seattle,331
4:59,2547,Morgan Means missed Free Throw.,47,53
4:59,331,Bogdan Bliznyuk Defensive Rebound.,47,53
4:51,331,Eastern Washington  Timeout,47,53
4:51,331,Technical Foul on Eastern Washington.,47,53
4:51,2547,Brendan Westendorf made Free Throw.,47,54
4:31,331,Mario Soto missed Three Point Jumper.,47,54
4:31,2547,Aaron Menzies Defensive Rebound.,47,54
4:09,331,Foul on Bogdan Bliznyuk.,47,54
4:09,2547,William Powell missed Free Throw.,47,54
4:09,2547,Seattle Deadball Team Rebound.,47,54
4:09,2547,William Powell made Free Throw.,47,55
3:57,331,Jacob Wiley made Layup.,49,55
3:45,2547,Brendan Westendorf Turnover.,49,55
3:44,331,Mario Soto Steal.,49,55
3:41,331,Bogdan Bliznyuk made Layup.,51,55
3:21,2547,William Powell missed Layup.,51,55
3:21,2547,William Powell Offensive Rebound.,51,55
3:17,331,Foul on Jacob Wiley.,51,55
3:17,2547,Official TV Timeout,51,55
3:17,2547,William Powell made Free Throw.,51,56
3:17,2547,William Powell missed Free Throw.,51,56
3:17,331,Bogdan Bliznyuk Defensive Rebound.,51,56
3:03,331,Jacob Wiley made Jumper.,53,56
2:40,2547,Brendan Westendorf made Jumper.,53,58
2:23,331,Mario Soto missed Three Point Jumper.,53,58
2:23,331,Jacob Wiley Offensive Rebound.,53,58
2:19,331,Jacob Wiley made Jumper.,55,58
1:55,2547,William Powell Turnover.,55,58
1:45,331,Bogdan Bliznyuk missed Layup.,55,58
1:45,2547,Seattle Defensive Rebound.,55,58
1:43,2547,Seattle  Timeout,55,58
1:22,2547,Brendan Westendorf missed Jumper.,55,58
1:22,2547,Aaron Menzies Offensive Rebound.,55,58
1:20,331,Foul on Ty Gibson.,55,58
1:20,2547,Aaron Menzies made Free Throw.,55,59
1:20,2547,Aaron Menzies made Free Throw.,55,60
1:09,331,Ty Gibson missed Three Point Jumper.,55,60
1:09,331,Ty Gibson Offensive Rebound.,55,60
1:07,331,Ty Gibson made Three Point Jumper.,58,60
0:48,2547,Aaron Menzies made Layup. Assisted by William Powell.,58,62
0:36,2547,Foul on Morgan Means.,58,62
0:36,331,Mario Soto made Free Throw.,59,62
0:36,331,Mario Soto made Free Throw.,60,62
0:30,331,Foul on Sir Washington.,60,62
0:30,2547,Morgan Means missed Free Throw.,60,62
0:30,2547,Seattle Deadball Team Rebound.,60,62
0:30,2547,Morgan Means made Free Throw.,60,63
0:30,2547,Seattle  Timeout,60,63
0:24,331,Felix Von Hofe made Three Point Jumper. Assisted by Jacob Wiley.,63,63
0:11,2547,Seattle  Timeout,63,63
0:04,2547,Morgan Means Turnover.,63,63
0:03,331,Bogdan Bliznyuk Steal.,63,63
0:01,331,Bogdan Bliznyuk missed Jumper.,63,63
0:01,331,Felix Von Hofe Offensive Rebound.,63,63
0:00,2547,End of 2nd half,63,63
4:41,331,Bogdan Bliznyuk made Jumper.,65,63
4:14,2547,William Powell missed Layup.,65,63
4:14,331,Jacob Wiley Block.,65,63
4:12,331,Felix Von Hofe Defensive Rebound.,65,63
3:57,331,Bogdan Bliznyuk made Jumper.,67,63
3:30,2547,William Powell made Layup. Assisted by Brendan Westendorf.,67,65
3:09,331,Jacob Wiley made Jumper. Assisted by Mario Soto.,69,65
2:54,331,Foul on Sir Washington.,69,65
2:54,2547,Morgan Means made Free Throw.,69,66
2:54,2547,Morgan Means missed Free Throw.,69,66
2:54,331,Jacob Wiley Defensive Rebound.,69,66
2:43,331,Bogdan Bliznyuk Turnover.,69,66
2:42,2547,William Powell Steal.,69,66
2:40,2547,William Powell made Layup.,69,68
2:14,331,Bogdan Bliznyuk Turnover.,69,68
1:48,331,Foul on Jacob Wiley.,69,68
1:48,2547,Brendan Westendorf made Free Throw.,69,69
1:48,2547,Brendan Westendorf made Free Throw.,69,70
1:32,331,Cody Benzel made Jumper.,71,70
1:08,2547,Morgan Means made Layup.,71,72
0:41,331,Bogdan Bliznyuk missed Jumper.,71,72
0:41,331,Bogdan Bliznyuk Offensive Rebound.,71,72
0:40,331,Bogdan Bliznyuk made Two Point Tip Shot.,73,72
0:40,331,Eastern Washington  Timeout,73,72
0:18,2547,Morgan Means missed Layup.,73,72
0:18,331,Bogdan Bliznyuk Defensive Rebound.,73,72
0:18,2547,Foul on Morgan Means.,73,72
0:16,2547,Foul on Morgan Means.,73,72
0:12,2547,Foul on Malik Montoya.,73,72
0:12,2547,Foul on Malik Montoya.,73,72
0:12,331,Bogdan Bliznyuk made Free Throw.,74,72
0:12,331,Bogdan Bliznyuk made Free Throw.,75,72
0:04,2547,Morgan Means made Three Point Jumper. Assisted by William Powell.,75,75
0:02,331,Sir Washington Turnover.,75,75
0:00,2547,End of 1st overtime,75,75
4:43,2547,Emmanuel Chibuogwu missed Three Point Jumper.,75,75
4:43,2547,Aaron Menzies Offensive Rebound.,75,75
4:40,2547,Brendan Westendorf missed Three Point Jumper.,75,75
4:40,331,Felix Von Hofe Defensive Rebound.,75,75
4:19,331,Bogdan Bliznyuk missed Jumper.,75,75
4:19,2547,Brendan Westendorf Defensive Rebound.,75,75
4:02,2547,William Powell missed Layup.,75,75
4:02,2547,William Powell Offensive Rebound.,75,75
4:00,2547,William Powell made Jumper.,75,77
3:45,331,Mason Peatling made Layup. Assisted by Mario Soto.,77,77
3:26,2547,Aaron Menzies made Layup.,77,79
3:12,331,Bogdan Bliznyuk made Jumper.,79,79
2:46,331,Foul on Mason Peatling.,79,79
2:46,2547,Aaron Menzies missed Free Throw.,79,79
2:46,2547,Seattle Deadball Team Rebound.,79,79
2:46,2547,Aaron Menzies missed Free Throw.,79,79
2:46,331,Mason Peatling Defensive Rebound.,79,79
2:30,331,Felix Von Hofe made Three Point Jumper. Assisted by Felix Von Hofe.,82,79
2:00,2547,William Powell missed Jumper.,82,79
2:00,331,Felix Von Hofe Defensive Rebound.,82,79
1:54,2547,Foul on Morgan Means.,82,79
1:54,331,Sir Washington made Free Throw.,83,79
1:54,331,Sir Washington made Free Throw.,84,79
1:44,2547,Seattle  Timeout,84,79
1:32,2547,Brendan Westendorf missed Three Point Jumper.,84,79
1:32,331,Mario Soto Defensive Rebound.,84,79
1:07,2547,Foul on Brendan Westendorf.,84,79
1:07,331,Bogdan Bliznyuk made Free Throw.,85,79
1:07,331,Bogdan Bliznyuk made Free Throw.,86,79
1:02,2547,Brendan Westendorf made Layup.,86,81
0:53,2547,Foul on Zack Moore.,86,81
0:53,331,Sir Washington missed Free Throw.,86,81
0:53,331,Eastern Washington Deadball Team Rebound.,86,81
0:53,331,Sir Washington made Free Throw.,87,81
0:46,2547,Emmanuel Chibuogwu missed Three Point Jumper.,87,81
0:46,331,Bogdan Bliznyuk Defensive Rebound.,87,81
0:38,331,Bogdan Bliznyuk Turnover.,87,81
0:33,2547,Brendan Westendorf missed Three Point Jumper.,87,81
0:33,2547,Morgan Means Offensive Rebound.,87,81
0:30,331,Foul on Sir Washington.,87,81
0:30,2547,Morgan Means made Free Throw.,87,82
0:30,2547,Morgan Means made Free Throw.,87,83
0:28,2547,Foul on William Powell.,87,83
0:28,331,Felix Von Hofe made Free Throw.,88,83
0:28,331,Felix Von Hofe made Free Throw.,89,83
0:21,2547,Morgan Means missed Three Point Jumper.,89,83
0:21,2547,Brendan Westendorf Offensive Rebound.,89,83
0:15,2547,Emmanuel Chibuogwu missed Three Point Jumper.,89,83
0:15,331,Sir Washington Defensive Rebound.,89,83
0:11,2547,Foul on Malik Montoya.,89,83
0:11,331,Sir Washington made Free Throw.,90,83
0:11,331,Sir Washington made Free Throw.,91,83
0:06,2547,Emmanuel Chibuogwu made Layup. Assisted by Morgan Means.,91,85
0:02,2547,Foul on Emmanuel Chibuogwu.,91,85
0:02,331,Bogdan Bliznyuk made Free Throw.,92,85
0:02,331,Bogdan Bliznyuk made Free Throw.,93,85
0:00,2547,Brendan Westendorf made Three Point Jumper. Assisted by Emmanuel Chibuogwu.,93,88
0:00,2547,End of Game,93,88
