Rutgers,135,Minnesota,164
5:10,164,Deshawn Freeman missed Jumper.,59,73
5:09,135,Reggie Lynch Defensive Rebound.,59,73
5:08,135,Reggie Lynch Turnover.,59,73
5:08,164,Mike Williams Steal.,59,73
5:05,164,Mike Williams missed Three Point Jumper.,59,73
5:04,135,Jordan Murphy Defensive Rebound.,59,73
5:03,135,Jordan Murphy missed Free Throw.,59,74
5:03,164,Foul on Deshawn Freeman.,59,73
5:03,135,Jordan Murphy made Free Throw.,59,74
5:03,164,Mamadou Doucoure Defensive Rebound.,59,74
4:42,164,Geo Baker made Three Point Jumper. Assisted by Mike Williams.,62,74
4:42,164,Rutgers  Timeout,62,74
4:21,135,Dupree McBrayer made Jumper.,62,76
4:04,164,Mike Williams missed Three Point Jumper.,62,76
4:02,135,Jordan Murphy Defensive Rebound.,62,76
4:02,135,Jordan Murphy made Free Throw.,62,77
4:02,135,Jordan Murphy made Free Throw.,62,78
4:02,164,Foul on Mamadou Doucoure.,62,76
4:02,135,Jordan Murphy made Free Throw.,62,77
4:02,135,Jordan Murphy made Free Throw.,62,78
3:44,135,Official TV Timeout,62,78
3:44,164,Eugene Omoruyi made Free Throw.,63,78
3:44,164,Eugene Omoruyi made Free Throw.,64,78
3:44,135,Foul on Reggie Lynch.,62,78
3:44,164,Eugene Omoruyi made Free Throw.,63,78
3:44,164,Eugene Omoruyi made Free Throw.,64,78
3:33,135,Amir Coffey made Three Point Jumper. Assisted by Nate Mason.,64,81
3:15,164,Mike Williams missed Three Point Jumper.,64,81
3:12,135,Reggie Lynch Defensive Rebound.,64,81
2:56,135,Dupree McBrayer made Jumper. Assisted by Nate Mason.,64,83
2:31,135,Foul on Reggie Lynch.,64,83
2:31,164,Rutgers Deadball Team Rebound.,64,83
2:31,164,Eugene Omoruyi missed Free Throw.,64,83
2:31,164,Eugene Omoruyi made Free Throw.,65,83
2:17,135,Nate Mason made Layup. Assisted by Jordan Murphy.,65,85
1:59,164,Deshawn Freeman missed Jumper.,65,85
1:56,135,Jordan Murphy Defensive Rebound.,65,85
1:47,135,Amir Coffey made Free Throw.,65,86
1:47,135,Amir Coffey made Free Throw.,65,87
1:47,164,Foul on Mamadou Doucoure.,65,85
1:47,135,Amir Coffey made Free Throw.,65,86
1:47,135,Amir Coffey made Free Throw.,65,87
1:30,164,Geo Baker Turnover.,65,87
1:30,135,Nate Mason Steal.,65,87
1:27,135,Nate Mason made Layup. Assisted by Amir Coffey.,65,89
1:10,164,Deshawn Freeman Turnover.,65,89
0:53,135,Nate Mason missed Three Point Jumper.,65,89
0:50,164,Geo Baker Defensive Rebound.,65,89
0:45,164,Geo Baker made Jumper.,67,89
0:45,135,Minnesota  Timeout,67,89
0:29,135,Brady Rudrud Turnover.,67,89
0:29,164,Deshawn Freeman Steal.,67,89
0:26,164,Deshawn Freeman missed Layup.,67,89
0:24,135,Bakary Konate Defensive Rebound.,67,89
0:00,135,End of Game,67,89
