Denver,526,Florida Gulf Coast,2172
7:15,2172,Joe Rosga Defensive Rebound.,57,57
7:03,2172,Joe Rosga missed Layup.,57,57
7:03,526,Brandon Goodwin Defensive Rebound.,57,57
6:52,2172,Foul on Jake Pemberton.,57,57
6:52,526,Official TV Timeout,57,57
6:52,526,Zach Johnson missed Free Throw.,57,57
6:52,526,RaySean Scott Jr. Offensive Rebound.,57,57
6:39,526,Christian Terrell made Three Point Jumper. Assisted by Brandon Goodwin.,57,60
6:24,526,Foul on Zach Johnson.,57,60
6:14,2172,Jake Krafka missed Three Point Jumper.,57,60
6:14,526,Florida Gulf Coast Defensive Rebound.,57,60
5:42,526,Brandon Goodwin Turnover.,57,60
5:42,2172,Joe Rosga Steal.,57,60
5:32,2172,Jake Pemberton missed Layup.,57,60
5:32,2172,Denver Offensive Rebound.,57,60
5:27,2172,Jake Pemberton made Three Point Jumper. Assisted by Joe Rosga.,60,60
5:04,526,Zach Johnson made Three Point Jumper. Assisted by Christian Terrell.,60,63
4:35,2172,Ade Murkey made Jumper.,62,63
4:14,526,Brandon Goodwin missed Three Point Jumper.,62,63
4:14,2172,Jake Pemberton Defensive Rebound.,62,63
3:41,2172,Denver  Turnover.,62,63
3:41,526,Official TV Timeout,62,63
3:27,2172,Foul on Jake Krafka.,62,63
3:27,526,Brandon Goodwin made Free Throw.,62,64
3:27,526,Brandon Goodwin made Free Throw.,62,65
3:14,2172,Joe Rosga missed Three Point Jumper.,62,65
3:14,526,Zach Johnson Defensive Rebound.,62,65
3:03,526,Christian Terrell made Layup.,62,67
2:43,2172,Daniel Amigo made Jumper.,64,67
2:27,526,Brandon Goodwin made Layup.,64,69
2:20,526,Foul on RaySean Scott Jr..,64,69
2:20,2172,Daniel Amigo missed Free Throw.,64,69
2:20,2172,Denver Deadball Team Rebound.,64,69
2:20,2172,Daniel Amigo made Free Throw.,65,69
1:52,526,Brandon Goodwin missed Jumper.,65,69
1:52,2172,Jake Krafka Defensive Rebound.,65,69
1:33,2172,Daniel Amigo Turnover.,65,69
1:32,526,Ricky Doyle Steal.,65,69
1:28,526,Brandon Goodwin made Layup. Assisted by Ricky Doyle.,65,71
1:27,526,Florida Gulf Coast  Timeout,65,71
1:16,2172,Jake Krafka Turnover.,65,71
1:14,526,Joshua Ko Steal.,65,71
1:14,2172,Foul on Jake Pemberton.,65,71
1:14,526,Christian Terrell made Free Throw.,65,72
1:14,526,Christian Terrell missed Free Throw.,65,72
1:14,2172,Daniel Amigo Defensive Rebound.,65,72
1:05,2172,Joe Rosga missed Three Point Jumper.,65,72
1:05,2172,Daniel Amigo Offensive Rebound.,65,72
1:01,2172,Daniel Amigo missed Layup.,65,72
1:01,526,Ricky Doyle Block.,65,72
0:58,2172,Daniel Amigo Offensive Rebound.,65,72
0:55,2172,Jake Krafka missed Three Point Jumper.,65,72
0:55,526,Zach Johnson Defensive Rebound.,65,72
0:55,2172,Foul on Daniel Amigo.,65,72
0:55,526,Ricky Doyle missed Free Throw.,65,72
0:55,526,Florida Gulf Coast Deadball Team Rebound.,65,72
