Texas Southern,228,Clemson,2640
5:43,228,Foul on Marcquise Reed.,54,69
5:43,2640,Demontrae Jefferson missed Free Throw.,54,69
5:43,228,Elijah Thomas Defensive Rebound.,54,69
5:21,228,Marcquise Reed missed Three Point Jumper.,54,69
5:21,228,Elijah Thomas Offensive Rebound.,54,69
5:16,2640,Foul on Trayvon Reed.,54,69
5:16,228,Elijah Thomas made Free Throw.,54,70
5:16,228,Elijah Thomas made Free Throw.,54,71
5:01,2640,Kevin Scott missed Three Point Jumper.,54,71
5:01,228,Elijah Thomas Defensive Rebound.,54,71
4:46,228,Marcquise Reed Turnover.,54,71
4:37,2640,Kevin Scott made Layup.,56,71
4:27,2640,Foul on Kevin Scott.,56,71
4:27,228,Clyde Trapp made Free Throw.,56,72
4:27,228,Clyde Trapp made Free Throw.,56,73
4:21,2640,Demontrae Jefferson made Three Point Jumper.,59,73
4:05,228,Elijah Thomas Turnover.,59,73
4:04,2640,Kevin Scott Steal.,59,73
4:02,2640,Demontrae Jefferson made Three Point Jumper. Assisted by Kevin Scott.,62,73
3:58,228,Clemson  Timeout,62,73
3:51,228,Clemson  Timeout,62,73
3:45,228,Elijah Thomas Turnover.,62,73
3:45,228,Foul on Elijah Thomas.,62,73
3:28,2640,Demontrae Jefferson missed Jumper.,62,73
3:28,228,Elijah Thomas Defensive Rebound.,62,73
3:25,2640,Foul on Marquis Salmon.,62,73
3:25,228,Elijah Thomas made Free Throw.,62,74
3:25,228,Elijah Thomas missed Free Throw.,62,74
3:25,2640,Kevin Scott Defensive Rebound.,62,74
3:06,2640,Demontrae Jefferson Turnover.,62,74
2:58,2640,Foul on Marquis Salmon.,62,74
2:58,228,Elijah Thomas made Free Throw.,62,75
2:58,228,Elijah Thomas made Free Throw.,62,76
2:50,228,Foul on Elijah Thomas.,62,76
2:50,2640,Kevin Scott made Free Throw.,63,76
2:50,2640,Kevin Scott made Free Throw.,64,76
2:47,2640,Foul on Demontrae Jefferson.,64,76
2:47,228,Marcquise Reed made Free Throw.,64,77
2:47,228,Marcquise Reed made Free Throw.,64,78
2:38,2640,Kevin Scott made Layup.,66,78
2:24,2640,Foul on Kevin Scott.,66,78
2:24,228,Donte Grantham made Free Throw.,66,79
2:24,228,Donte Grantham missed Free Throw.,66,79
2:24,2640,Kevin Scott Defensive Rebound.,66,79
2:11,2640,Demontrae Jefferson missed Three Point Jumper.,66,79
2:11,2640,Marquis Salmon Offensive Rebound.,66,79
2:08,228,Foul on Elijah Thomas.,66,79
2:08,2640,Marquis Salmon made Free Throw.,67,79
2:08,2640,Marquis Salmon made Free Throw.,68,79
1:52,228,Marcquise Reed Turnover.,68,79
1:51,2640,Marquis Salmon Steal.,68,79
1:49,228,Foul on Marcquise Reed.,68,79
1:49,2640,Marquis Salmon made Free Throw.,69,79
1:49,2640,Marquis Salmon missed Free Throw.,69,79
1:49,228,Elijah Thomas Defensive Rebound.,69,79
1:37,228,Elijah Thomas made Dunk. Assisted by Gabe DeVoe.,69,81
1:30,2640,Demontrae Jefferson missed Three Point Jumper.,69,81
1:30,228,Gabe DeVoe Defensive Rebound.,69,81
1:14,228,Gabe DeVoe Turnover.,69,81
1:06,2640,Marquis Salmon made Layup. Assisted by Demontrae Jefferson.,71,81
0:57,228,Clyde Trapp Turnover.,71,81
0:56,2640,Divonte Lumpkin Steal.,71,81
0:55,2640,Donte Clark made Layup. Assisted by Kevin Scott.,73,81
0:54,228,Clemson  Timeout,73,81
0:45,2640,Foul on Kevin Scott.,73,81
0:45,228,Donte Grantham missed Free Throw.,73,81
0:45,228,Clemson Deadball Team Rebound.,73,81
0:45,228,Donte Grantham made Free Throw.,73,82
0:39,2640,Demontrae Jefferson made Layup.,75,82
0:38,2640,Texas Southern  Timeout,75,82
0:33,228,Clyde Trapp Turnover.,75,82
0:24,228,Foul on Marcquise Reed.,75,82
0:24,2640,Demontrae Jefferson made Free Throw.,76,82
0:24,2640,Demontrae Jefferson made Free Throw.,77,82
0:22,2640,Foul on Marquis Salmon.,77,82
0:22,228,Scott Spencer made Free Throw.,77,83
0:22,228,Scott Spencer missed Free Throw.,77,83
0:22,2640,Marquis Salmon Defensive Rebound.,77,83
0:16,2640,Demontrae Jefferson missed Three Point Jumper.,77,83
0:16,228,Clyde Trapp Defensive Rebound.,77,83
0:13,2640,Foul on Donte Clark.,77,83
0:13,228,Clyde Trapp missed Free Throw.,77,83
0:13,228,Clemson Deadball Team Rebound.,77,83
0:13,228,Clyde Trapp made Free Throw.,77,84
0:07,2640,Demontrae Jefferson missed Three Point Jumper.,77,84
0:07,228,Gabe DeVoe Defensive Rebound.,77,84
0:00,228,End of Game,77,84
