Oakland,2305,Kansas,2473
8:02,2473,Isaiah Brock Block.,52,83
8:01,2305,Udoka Azubuike Offensive Rebound.,52,83
7:56,2305,Devonte' Graham Turnover.,52,83
7:55,2473,Isaiah Brock Steal.,52,83
7:51,2473,Chris Palombizio missed Three Point Jumper.,52,83
7:51,2305,Marcus Garrett Defensive Rebound.,52,83
7:43,2305,Udoka Azubuike made Dunk. Assisted by Devonte' Graham.,52,85
7:34,2473,Chris Palombizio missed Layup.,52,85
7:34,2305,Lagerald Vick Block.,52,85
7:32,2305,Udoka Azubuike Defensive Rebound.,52,85
7:32,2305,Official TV Timeout,52,85
7:18,2305,Udoka Azubuike missed Layup.,52,85
7:18,2473,Tom Cotter Defensive Rebound.,52,85
7:03,2473,Jaevin Cumberland missed Three Point Jumper.,52,85
7:03,2473,Oakland Offensive Rebound.,52,85
6:42,2473,Tom Cotter missed Jumper.,52,85
6:42,2305,Udoka Azubuike Defensive Rebound.,52,85
6:34,2305,Devonte' Graham missed Three Point Jumper.,52,85
6:34,2305,Udoka Azubuike Offensive Rebound.,52,85
6:30,2305,Udoka Azubuike Turnover.,52,85
6:28,2473,Martez Walker Steal.,52,85
6:27,2473,Martez Walker Turnover.,52,85
6:27,2305,Udoka Azubuike Steal.,52,85
6:16,2305,Sviatoslav Mykhailiuk missed Jumper.,52,85
6:16,2473,Jalen Hayes Defensive Rebound.,52,85
6:06,2473,Nick Daniels missed Three Point Jumper.,52,85
6:06,2305,Kansas Deadball Team Rebound.,52,85
5:51,2305,Udoka Azubuike made Layup.,52,87
5:34,2305,Foul on Mitch Lightfoot.,52,87
5:34,2473,Jalen Hayes made Free Throw.,53,87
5:34,2473,Jalen Hayes made Free Throw.,54,87
5:24,2305,Sviatoslav Mykhailiuk missed Dunk.,54,87
5:24,2473,Martez Walker Block.,54,87
5:24,2305,Kansas Offensive Rebound.,54,87
5:12,2305,Marcus Garrett made Layup.,54,89
4:59,2305,Foul on Marcus Garrett.,54,89
4:58,2473,Martez Walker missed Three Point Jumper.,54,89
4:58,2305,Udoka Azubuike Defensive Rebound.,54,89
4:40,2305,Sviatoslav Mykhailiuk missed Jumper.,54,89
4:40,2473,James Beck Defensive Rebound.,54,89
4:21,2473,Jalen Hayes missed Jumper.,54,89
4:21,2305,Devonte' Graham Block.,54,89
4:18,2305,Marcus Garrett Defensive Rebound.,54,89
4:00,2305,Udoka Azubuike missed Jumper.,54,89
4:00,2305,Mitch Lightfoot Offensive Rebound.,54,89
3:58,2305,Official TV Timeout,54,89
3:56,2305,Lagerald Vick made Three Point Jumper.,54,92
3:43,2473,Tom Cotter missed Layup.,54,92
3:43,2305,Lagerald Vick Block.,54,92
3:41,2473,Oakland Offensive Rebound.,54,92
3:32,2473,Jalen Hayes missed Jumper.,54,92
3:32,2305,Mitch Lightfoot Defensive Rebound.,54,92
3:15,2305,Marcus Garrett made Jumper.,54,94
2:57,2473,Chris Palombizio missed Three Point Jumper.,54,94
2:57,2305,Malik Newman Defensive Rebound.,54,94
2:45,2305,Malik Newman made Jumper.,54,96
2:31,2473,Jalen Hayes made Jumper.,56,96
2:22,2305,Kansas  Timeout,56,96
2:12,2305,Marcus Garrett made Layup.,56,98
1:54,2473,Chris Palombizio missed Jumper.,56,98
1:54,2305,Mitch Lightfoot Defensive Rebound.,56,98
1:46,2305,Marcus Garrett missed Three Point Jumper.,56,98
1:46,2473,Stan Scott Defensive Rebound.,56,98
1:32,2473,Chris Palombizio Turnover.,56,98
1:29,2305,Marcus Garrett Steal.,56,98
1:28,2305,Marcus Garrett Turnover.,56,98
1:27,2473,Stan Scott Steal.,56,98
1:16,2473,Chris Palombizio missed Three Point Jumper.,56,98
1:16,2473,Tom Cotter Offensive Rebound.,56,98
1:11,2473,Tom Cotter Turnover.,56,98
1:09,2305,Clay Young Steal.,56,98
1:06,2305,Chris Teahan missed Three Point Jumper.,56,98
1:06,2305,Marcus Garrett Offensive Rebound.,56,98
0:53,2305,Marcus Garrett made Layup.,56,100
0:30,2473,James Beck missed Jumper.,56,100
0:30,2305,Marcus Garrett Defensive Rebound.,56,100
0:11,2305,Chris Teahan made Jumper.,56,102
0:06,2473,Chris Palombizio made Three Point Jumper. Assisted by Stan Scott.,59,102
0:00,2305,End of Game,59,102
