North Carolina Central,356,Illinois,2428
3:29,356,Michael Finke missed Three Point Jumper.,67,82
3:29,2428,Reginald Gardner Jr Defensive Rebound.,67,82
3:18,2428,Jordan Perkins missed Jumper.,67,82
3:18,2428,Zacarry Douglas Offensive Rebound.,67,82
3:18,356,Foul on Leron Black.,67,82
3:18,356,Official TV Timeout,67,82
3:18,2428,Zacarry Douglas made Free Throw.,68,82
3:18,2428,Zacarry Douglas made Free Throw.,69,82
2:47,356,Leron Black missed Jumper.,69,82
2:47,2428,Pablo Rivas Defensive Rebound.,69,82
2:29,356,Foul on Mark Alstork.,69,82
2:29,2428,Pablo Rivas made Free Throw.,70,82
2:29,2428,Pablo Rivas missed Free Throw.,70,82
2:29,356,Leron Black Defensive Rebound.,70,82
2:01,356,Mark Smith missed Jumper.,70,82
2:01,2428,Reginald Gardner Jr Defensive Rebound.,70,82
1:56,2428,Larry McKnight Jr. missed Jumper.,70,82
1:56,2428,Zacarry Douglas Offensive Rebound.,70,82
1:52,356,Foul on Michael Finke.,70,82
1:52,2428,Zacarry Douglas missed Free Throw.,70,82
1:52,2428,North Carolina Central Deadball Team Rebound.,70,82
1:52,2428,Zacarry Douglas missed Free Throw.,70,82
1:52,356,Kipper Nichols Defensive Rebound.,70,82
1:21,356,Mark Alstork missed Three Point Jumper.,70,82
1:21,356,Illinois Deadball Team Rebound.,70,82
1:21,356,Illinois  Turnover.,70,82
1:10,2428,Larry McKnight Jr. missed Jumper.,70,82
1:10,356,Kipper Nichols Defensive Rebound.,70,82
1:06,2428,Foul on Pablo Rivas.,70,82
1:06,356,Kipper Nichols made Free Throw.,70,83
1:06,356,Kipper Nichols made Free Throw.,70,84
0:50,2428,Reginald Gardner Jr made Three Point Jumper. Assisted by Jordan Perkins.,73,84
0:41,2428,Foul on Jordan Perkins.,73,84
0:41,356,Te'Jon Lucas made Free Throw.,73,85
0:41,356,Te'Jon Lucas made Free Throw.,73,86
0:33,2428,Larry McKnight Jr. Turnover.,73,86
0:31,356,Te'Jon Lucas Steal.,73,86
0:01,356,Illinois  Turnover.,73,86
0:00,356,End of Game,73,86
