Alabama A&amp;M,333,Alabama,2010
1:51,333,Landon Fuller made Three Point Jumper. Assisted by Lawson Schaffer.,65,101
1:35,2010,Marcus Merriweather missed Jumper.,65,101
1:35,333,Alex Reese Defensive Rebound.,65,101
1:22,333,Lawson Schaffer missed Three Point Jumper.,65,101
1:22,2010,Amari Goulbourne Defensive Rebound.,65,101
1:12,2010,Andre Kennedy Turnover.,65,101
1:11,333,Avery Johnson Jr. Steal.,65,101
1:09,333,Lawson Schaffer made Three Point Jumper. Assisted by Avery Johnson Jr..,65,104
0:32,2010,Andre Kennedy missed Layup.,65,104
0:32,2010,Amari Goulbourne Offensive Rebound.,65,104
0:31,333,Foul on Avery Johnson Jr..,65,104
0:31,2010,Amari Goulbourne made Free Throw.,66,104
0:31,2010,Amari Goulbourne made Free Throw.,67,104
0:31,2010,Evan Wiley Steal.,67,104
0:31,333,Lawson Schaffer Turnover.,67,104
0:31,2010,Andre Kennedy missed Layup.,67,104
0:31,2010,Amari Goulbourne Offensive Rebound.,67,104
0:00,333,End of Game,67,104
