Campbell,2142,Colgate,2097
0:26,2097,Campbell  Timeout,64,63
0:17,2142,Sean O'Brien Turnover.,64,63
0:09,2097,Kyre' Hamer made Layup. Assisted by Chris Clemons.,66,63
0:02,2142,Malcolm Regisford made Three Point Jumper. Assisted by Francisco Amiel.,66,66
0:00,2097,Chris Clemons missed Three Point Jumper.,66,66
0:00,2142,Colgate Defensive Rebound.,66,66
0:00,2142,End of 2nd half,66,66
4:56,2097,Foul on Andrew Eudy.,66,66
4:44,2142,Malcolm Regisford missed Free Throw.,66,66
4:44,2142,Colgate Deadball Team Rebound.,66,66
4:44,2142,Malcolm Regisford missed Free Throw.,66,66
4:44,2097,Kyre' Hamer Defensive Rebound.,66,66
4:32,2097,Chris Clemons missed Three Point Jumper.,66,66
4:32,2142,Andrew Bargmann Defensive Rebound.,66,66
4:28,2097,Foul on Kyre' Hamer.,66,66
4:26,2142,Andrew Bargmann made Free Throw.,66,67
4:26,2142,Andrew Bargmann made Free Throw.,66,68
4:11,2097,Cory Gensler missed Jumper.,66,68
4:11,2097,Kyre' Hamer Offensive Rebound.,66,68
3:48,2097,Kyre' Hamer Turnover.,66,68
3:46,2142,Jordan Swopshire Steal.,66,68
3:27,2142,Colgate  Timeout,66,68
3:18,2142,Andrew Bargmann missed Three Point Jumper.,66,68
3:18,2097,Chris Clemons Defensive Rebound.,66,68
2:53,2142,Foul on Francisco Amiel.,66,68
2:53,2097,Kyre' Hamer made Free Throw.,67,68
2:53,2097,Kyre' Hamer missed Free Throw.,67,68
2:53,2142,Malcolm Regisford Defensive Rebound.,67,68
2:44,2142,Malcolm Regisford missed Layup.,67,68
2:44,2097,Cory Gensler Defensive Rebound.,67,68
2:20,2097,Cory Gensler made Three Point Jumper. Assisted by Austin Burnette.,70,68
1:46,2142,Francisco Amiel Turnover.,70,68
1:44,2097,Cory Gensler Steal.,70,68
1:21,2097,Kyre' Hamer Turnover.,70,68
0:50,2142,Sean O'Brien made Three Point Jumper. Assisted by Francisco Amiel.,70,71
0:25,2097,Chris Clemons missed Layup.,70,71
0:25,2142,Malcolm Regisford Defensive Rebound.,70,71
0:24,2142,Malcolm Regisford Turnover.,70,71
0:24,2097,Campbell  Timeout,70,71
0:20,2142,Foul on Sean O'Brien.,70,71
0:20,2097,Chris Clemons made Free Throw.,71,71
0:20,2097,Chris Clemons made Free Throw.,72,71
0:15,2142,Colgate  Timeout,72,71
0:07,2142,Will Rayman missed Layup.,72,71
0:07,2097,Mogga Lado Block.,72,71
0:05,2097,Mogga Lado Defensive Rebound.,72,71
0:03,2142,Foul on Sean O'Brien.,72,71
0:03,2097,Mogga Lado made Free Throw.,73,71
0:03,2142,Colgate  Timeout,73,71
0:03,2097,Mogga Lado missed Free Throw.,73,71
0:03,2142,Malcolm Regisford Defensive Rebound.,73,71
0:00,2142,Francisco Amiel missed Three Point Jumper.,73,71
0:00,2097,Campbell Defensive Rebound.,73,71
0:00,2142,End of Game,73,71
