Drexel,2272,High Point,2182
3:17,2272,Tarique Thompson missed Three Point Jumper.,64,59
3:17,2182,Kari Jonsson Defensive Rebound.,64,59
2:51,2182,Kari Jonsson made Three Point Jumper. Assisted by Kurk Lee.,67,59
2:27,2272,Andre Fox missed Three Point Jumper.,67,59
2:27,2272,Tarique Thompson Offensive Rebound.,67,59
2:19,2272,Andre Fox made Dunk.,67,61
2:14,2272,High Point  Timeout,67,61
1:52,2182,Kurk Lee missed Jumper.,67,61
1:52,2182,Tyshawn Myles Offensive Rebound.,67,61
1:48,2182,Tyshawn Myles made Layup.,69,61
1:32,2182,Foul on Tyshawn Myles.,69,61
1:32,2272,Austin White made Free Throw.,69,62
1:32,2272,Austin White made Free Throw.,69,63
1:25,2182,Kurk Lee Turnover.,69,63
1:19,2272,Miles Bowman Jr. made Three Point Jumper. Assisted by Andre Fox.,69,66
0:48,2182,Kurk Lee made Three Point Jumper.,72,66
0:46,2182,Drexel  Timeout,72,66
0:34,2272,Miles Bowman Jr. made Layup.,72,68
0:34,2182,Foul on Sammy Mojica.,72,68
0:34,2272,Miles Bowman Jr. made Free Throw.,72,69
0:22,2272,Foul on Andre Fox.,72,69
0:22,2182,Miles Overton made Free Throw.,73,69
0:22,2182,Miles Overton made Free Throw.,74,69
0:12,2272,Miles Bowman Jr. made Three Point Jumper.,74,72
0:10,2272,Foul on Tarique Thompson.,74,72
0:09,2272,High Point  Timeout,74,72
0:09,2182,Miles Overton made Free Throw.,75,72
0:09,2182,Miles Overton made Free Throw.,76,72
0:02,2272,Jamal Wright missed Three Point Jumper.,76,72
0:02,2182,Miles Overton Block.,76,72
0:02,2182,Kari Jonsson Defensive Rebound.,76,72
0:02,2272,Foul on Austin White.,76,72
0:02,2182,Kari Jonsson made Free Throw.,77,72
0:02,2182,Kari Jonsson made Free Throw.,78,72
0:00,2272,End of Game,74,72
