Green Bay,2649,Toledo,2739
3:37,2649,Foul on Jordan Lauf.,58,63
3:37,2649,Official TV Timeout,58,63
3:37,2739,Charles Cooper made Free Throw.,59,63
3:37,2739,Charles Cooper made Free Throw.,60,63
3:21,2739,Foul on Kenneth Lowe.,60,63
3:21,2649,Steve Taylor Jr. made Free Throw.,60,64
3:21,2649,Steve Taylor Jr. missed Free Throw.,60,64
3:21,2739,Kenneth Lowe Defensive Rebound.,60,64
2:56,2739,Trevor Anderson missed Layup.,60,64
2:56,2649,Steve Taylor Jr. Block.,60,64
2:56,2739,Green Bay Offensive Rebound.,60,64
2:54,2739,Turner Botz missed Jumper.,60,64
2:54,2649,Jonathan Williams Defensive Rebound.,60,64
2:23,2649,Nate Navigato missed Three Point Jumper.,60,64
2:23,2739,Khalil Small Defensive Rebound.,60,64
2:12,2739,Kenneth Lowe missed Layup.,60,64
2:12,2649,Steve Taylor Jr. Defensive Rebound.,60,64
1:53,2649,Toledo  Timeout,60,64
1:45,2649,Jaelan Sanford Turnover.,60,64
1:43,2739,Khalil Small Steal.,60,64
1:42,2739,Green Bay  Turnover.,60,64
1:34,2649,Jaelan Sanford Turnover.,60,64
1:32,2739,Charles Cooper Steal.,60,64
1:29,2739,Charles Cooper made Layup.,62,64
1:26,2739,Green Bay  Timeout,62,64
1:16,2739,Foul on Khalil Small.,62,64
1:16,2649,Jaelan Sanford missed Free Throw.,62,64
1:16,2649,Toledo Deadball Team Rebound.,62,64
1:16,2649,Jaelan Sanford made Free Throw.,62,65
1:04,2739,Charles Cooper missed Jumper.,62,65
1:04,2649,Lucas Antunez Defensive Rebound.,62,65
0:38,2649,Lucas Antunez missed Three Point Jumper.,62,65
0:38,2739,Khalil Small Defensive Rebound.,62,65
0:27,2649,Foul on Lucas Antunez.,62,65
0:27,2739,Khalil Small made Free Throw.,63,65
0:27,2739,Khalil Small made Free Throw.,64,65
0:17,2739,Foul on Charles Cooper.,64,65
0:17,2649,Jordan Lauf missed Free Throw.,64,65
0:17,2649,Toledo Deadball Team Rebound.,64,65
0:17,2649,Jordan Lauf made Free Throw.,64,66
0:13,2739,Green Bay  Timeout,64,66
0:06,2739,Kerem Kanter made Jumper. Assisted by Trevor Anderson.,66,66
0:05,2649,Toledo  Timeout,66,66
0:00,2649,Jonathan Williams Turnover.,66,66
0:00,2739,Turner Botz Steal.,66,66
0:00,2649,End of 2nd half,66,66
4:45,2739,Trevor Anderson made Jumper.,68,66
4:17,2649,Jonathan Williams missed Three Point Jumper.,68,66
4:17,2649,Jordan Lauf Offensive Rebound.,68,66
3:45,2649,Steve Taylor Jr. made Three Point Jumper. Assisted by Jaelan Sanford.,68,69
3:28,2739,Kenneth Lowe missed Jumper.,68,69
3:28,2739,Kenneth Lowe Offensive Rebound.,68,69
3:22,2739,Kenneth Lowe made Layup.,70,69
3:22,2649,Foul on Jaelan Sanford.,70,69
3:22,2739,Kenneth Lowe missed Free Throw.,70,69
3:22,2649,Steve Taylor Jr. Defensive Rebound.,70,69
2:57,2739,Foul on Khalil Small.,70,69
2:57,2649,Steve Taylor Jr. made Free Throw.,70,70
2:57,2649,Steve Taylor Jr. made Free Throw.,70,71
2:39,2739,Kerem Kanter made Jumper.,72,71
2:05,2649,Jaelan Sanford made Three Point Jumper.,72,74
1:49,2649,Foul on Nate Navigato.,72,74
1:49,2739,Charles Cooper made Free Throw.,73,74
1:49,2739,Charles Cooper missed Free Throw.,73,74
1:49,2649,Steve Taylor Jr. Defensive Rebound.,73,74
1:31,2649,Nate Navigato made Layup. Assisted by Jaelan Sanford.,73,76
1:21,2649,Foul on Steve Taylor Jr..,73,76
1:21,2739,Trevor Anderson made Free Throw.,74,76
1:21,2739,Trevor Anderson made Free Throw.,75,76
1:00,2649,Steve Taylor Jr. Turnover.,75,76
0:59,2739,Turner Botz Steal.,75,76
0:44,2739,Khalil Small made Jumper.,77,76
0:36,2649,Toledo  Timeout,77,76
0:27,2739,Foul on Charles Cooper.,77,76
0:27,2649,Nate Navigato made Free Throw.,77,77
0:27,2649,Nate Navigato missed Free Throw.,77,77
0:27,2739,Turner Botz Defensive Rebound.,77,77
0:13,2739,Green Bay  Timeout,77,77
0:05,2649,Foul on Jonathan Williams.,77,77
0:05,2739,Khalil Small made Free Throw.,78,77
0:05,2739,Khalil Small missed Free Throw.,78,77
0:05,2649,Steve Taylor Jr. Defensive Rebound.,78,77
0:00,2649,End of Game,78,77
