Cal Poly,2065,Bethune-Cookman,13
1:04,13,Jakub Niziol missed Three Point Jumper.,53,62
1:04,2065,Malik Maitland Defensive Rebound.,53,62
0:58,2065,Isaiah Bailey made Dunk. Assisted by Malik Maitland.,53,64
0:55,13,Cal Poly  Timeout,53,64
0:48,13,Victor Joseph missed Jumper.,53,64
0:48,2065,Isaiah Bailey Defensive Rebound.,53,64
0:43,13,Foul on Josh Martin.,53,64
0:43,2065,Isaiah Bailey made Free Throw.,53,65
0:43,2065,Isaiah Bailey made Free Throw.,53,66
0:26,13,Iziah James missed Three Point Jumper.,53,66
0:26,2065,Soufiyane Diakite Defensive Rebound.,53,66
0:11,13,Foul on Iziah James.,53,66
0:11,2065,Malik Maitland made Free Throw.,53,67
0:11,2065,Malik Maitland missed Free Throw.,53,67
0:11,13,Mark Crowe Defensive Rebound.,53,67
0:04,13,Trevor John missed Three Point Jumper.,53,67
0:04,2065,Houston Smith Defensive Rebound.,53,67
0:00,2065,End of Game,53,67
