Towson,219,Pennsylvania,119
2:20,219,Ryan Betley made Free Throw.,70,63
2:15,219,Foul on Antonio Woods.,70,63
2:15,119,Brian Starr missed Free Throw.,70,63
2:15,119,Towson Deadball Team Rebound.,70,63
2:15,119,Brian Starr made Free Throw.,71,63
2:04,219,Antonio Woods missed Jumper.,71,63
2:04,119,Zane Martin Block.,71,63
2:04,219,Pennsylvania Offensive Rebound.,71,63
1:53,219,Antonio Woods missed Three Point Jumper.,71,63
1:53,119,Brian Starr Defensive Rebound.,71,63
1:38,119,Eddie Keith II made Layup. Assisted by Zane Martin.,73,63
1:20,219,Darnell Foreman missed Layup.,73,63
1:20,219,Darnell Foreman Offensive Rebound.,73,63
1:16,219,Darnell Foreman missed Jumper.,73,63
1:16,219,Pennsylvania Offensive Rebound.,73,63
1:11,219,AJ Brodeur made Layup. Assisted by Ryan Betley.,73,65
1:10,219,Pennsylvania  Timeout,73,65
0:56,219,Foul on Devon Goodman.,73,65
0:56,119,Brian Starr made Free Throw.,74,65
0:56,119,Brian Starr missed Free Throw.,74,65
0:56,219,Antonio Woods Defensive Rebound.,74,65
0:47,219,Ryan Betley made Layup. Assisted by AJ Brodeur.,74,67
0:46,219,Pennsylvania  Timeout,74,67
0:43,219,Foul on Darnell Foreman.,74,67
0:43,119,Mike Morsell missed Free Throw.,74,67
0:43,119,Towson Deadball Team Rebound.,74,67
0:43,119,Mike Morsell missed Free Throw.,74,67
0:43,219,Pennsylvania Defensive Rebound.,74,67
0:43,219,Darnell Foreman made Free Throw.,74,68
0:43,219,Darnell Foreman made Free Throw.,74,69
0:43,119,Foul on Zane Martin.,74,69
0:39,219,Foul on Antonio Woods.,74,69
0:39,119,Zane Martin made Free Throw.,75,69
0:39,119,Zane Martin made Free Throw.,76,69
0:36,219,Darnell Foreman made Layup.,76,71
0:26,219,Pennsylvania  Timeout,76,71
0:26,219,Foul on Eddie Scott.,76,71
0:26,119,Mike Morsell made Free Throw.,77,71
0:26,119,Mike Morsell made Free Throw.,78,71
0:20,219,Caleb Wood missed Three Point Jumper.,78,71
0:20,119,Towson Defensive Rebound.,78,71
0:20,219,Foul on Devon Goodman.,78,71
0:20,119,Zane Martin made Free Throw.,79,71
0:20,119,Zane Martin missed Free Throw.,79,71
0:20,219,Darnell Foreman Defensive Rebound.,79,71
0:15,219,Eddie Scott missed Three Point Jumper.,79,71
0:15,119,Eddie Keith II Defensive Rebound.,79,71
0:00,219,End of Game,79,71
