East-West University,2130,Chicago State,3107
13:58,2130,Jalen Stephens-Holmes Steal.,39,69
13:48,2130,Cameron Bowles made Jumper. Assisted by Jalen Stephens-Holmes.,39,71
13:37,-1,Sherman Brown Turnover.,39,71
13:35,2130,Travon Bell Steal.,39,71
13:32,2130,Cameron Bowles made Dunk. Assisted by Travon Bell.,39,73
13:18,-1,Brian Ashbury missed Jumper.,39,73
13:18,2130,Jalen Stephens-Holmes Defensive Rebound.,39,73
13:10,2130,Cameron Bowles Turnover.,39,73
13:09,-1,Carl Moore Steal.,39,73
13:01,-1,Carl Moore Offensive Rebound.,39,73
13:01,-1,Carl Moore missed Jumper.,39,73
13:01,-1,Sherman Carter Offensive Rebound.,39,73
13:01,-1,Foul on Carl Moore.,39,73
13:01,2130,Jalen Stephens-Holmes missed Free Throw.,39,73
13:01,2130,Anthony Harris Offensive Rebound.,39,73
12:56,2130,Jalen Stephens-Holmes missed Layup.,39,73
12:56,2130,Jalen Stephens-Holmes Offensive Rebound.,39,73
12:54,2130,Jalen Stephens-Holmes made Layup.,39,75
12:41,2130,Foul on Anthony Harris.,39,75
12:35,-1,Sherman Brown missed Jumper.,39,75
12:35,2130,Anthony Harris Defensive Rebound.,39,75
12:28,2130,Travon Bell made Dunk. Assisted by Anthony Harris.,39,77
12:22,2130,Foul on Anthony Harris.,39,77
12:15,-1,Sherman Carter missed Three Point Jumper.,39,77
12:15,2130,Travon Bell Defensive Rebound.,39,77
12:04,-1,Foul on Sherman Carter.,39,77
12:04,2130,Anthony Harris made Free Throw.,39,78
12:04,2130,Anthony Harris made Free Throw.,39,79
11:57,-1,Patrick Rucker made Free Throw.,40,79
11:57,2130,Foul on Cameron Bowles.,39,79
11:57,-1,Patrick Rucker made Free Throw.,41,79
11:49,2130,Cameron Bowles missed Jumper.,41,79
11:49,-1,Patrick Rucker Defensive Rebound.,41,79
11:42,-1,Roland Watkins made Jumper. Assisted by Sherman Carter.,43,79
11:31,2130,Cameron Bowles missed Layup.,43,79
11:31,-1,Brian Ashbury Block.,43,79
11:27,-1,Patrick Rucker Defensive Rebound.,43,79
11:26,2130,Foul on Simeon Henton.,43,79
11:26,2130,Official TV Timeout,43,79
