Quinnipiac,171,Columbia,2514
11:05,171,Jaron Faulds Steal.,65,68
10:59,171,Quinton Adlesh Turnover.,65,68
10:59,2514,Jacob Rigoni Steal.,65,68
10:49,2514,Rich Kelly made Three Point Jumper.,68,68
10:24,171,Lukas Meisner missed Three Point Jumper.,68,68
10:24,2514,Chaise Daniels Defensive Rebound.,68,68
10:02,2514,Chaise Daniels made Jumper. Assisted by Rich Kelly.,70,68
9:38,171,Jaron Faulds made Jumper. Assisted by Lukas Meisner.,70,70
9:19,2514,Rich Kelly Turnover.,70,70
9:18,171,Lukas Meisner Steal.,70,70
9:16,2514,Foul on Andrew Robinson.,70,70
9:14,171,Jaron Faulds missed Jumper.,70,70
9:14,2514,Jacob Rigoni Defensive Rebound.,70,70
8:59,2514,Chaise Daniels made Jumper.,72,70
8:35,171,Jaron Faulds made Jumper. Assisted by Mike Smith.,72,72
8:17,2514,Rich Kelly missed Three Point Jumper.,72,72
8:17,171,Lukas Meisner Defensive Rebound.,72,72
8:10,171,Mike Smith made Layup.,72,74
8:02,171,Foul on Nate Hickman.,72,74
7:55,2514,Cameron Young missed Three Point Jumper.,72,74
7:55,171,Lukas Meisner Defensive Rebound.,72,74
7:45,171,Lukas Meisner made Three Point Jumper. Assisted by Quinton Adlesh.,72,77
7:26,2514,Jacob Rigoni missed Jumper.,72,77
7:26,2514,Chaise Daniels Offensive Rebound.,72,77
7:25,2514,Chaise Daniels missed Two Point Tip Shot.,72,77
7:25,171,Nate Hickman Defensive Rebound.,72,77
7:25,171,Official TV Timeout,72,77
7:25,2514,Foul on Chaise Daniels.,72,77
7:16,171,Mike Smith Turnover.,72,77
7:15,2514,Cameron Young Steal.,72,77
7:14,2514,Cameron Young made Free Throw.,73,77
7:14,2514,Cameron Young made Free Throw.,74,77
7:13,171,Foul on Nate Hickman.,72,77
6:56,171,Patrick Tape made Dunk. Assisted by Mike Smith.,74,79
6:21,2514,Jacob Rigoni made Three Point Jumper. Assisted by Rich Kelly.,77,79
6:02,171,Patrick Tape Turnover.,77,79
5:38,2514,Isaiah Washington missed Three Point Jumper.,77,79
5:38,171,Quinton Adlesh Defensive Rebound.,77,79
5:29,171,Nate Hickman missed Free Throw.,77,79
5:29,171,Columbia Deadball Team Rebound.,77,79
5:29,171,Nate Hickman missed Free Throw.,77,79
5:29,2514,Cameron Young Defensive Rebound.,77,79
5:28,2514,Foul on Isaiah Washington.,77,79
5:08,2514,Cameron Young made Jumper.,79,79
4:47,2514,Foul on Cameron Young.,79,79
4:43,171,Quinton Adlesh made Three Point Jumper. Assisted by Lukas Meisner.,79,82
4:21,2514,Jacob Rigoni made Layup. Assisted by Rich Kelly.,81,82
4:08,171,Nate Hickman made Three Point Jumper. Assisted by Patrick Tape.,81,85
3:50,2514,Rich Kelly made Three Point Jumper.,84,85
3:30,171,Lukas Meisner missed Three Point Jumper.,84,85
3:30,171,Patrick Tape Offensive Rebound.,84,85
3:19,171,Nate Hickman made Jumper.,84,87
2:54,2514,Rich Kelly missed Three Point Jumper.,84,87
2:54,2514,Abdulai Bundu Offensive Rebound.,84,87
2:46,2514,Quinnipiac  Turnover.,84,87
2:46,171,Official TV Timeout,84,87
2:30,171,Patrick Tape Turnover.,84,87
2:09,2514,Rich Kelly missed Three Point Jumper.,84,87
2:09,171,Lukas Meisner Defensive Rebound.,84,87
1:48,171,Nate Hickman missed Three Point Jumper.,84,87
1:48,2514,Isaiah Washington Defensive Rebound.,84,87
1:38,2514,Quinnipiac  Timeout,84,87
1:27,2514,Rich Kelly made Three Point Jumper. Assisted by Chaise Daniels.,87,87
1:09,171,Mike Smith missed Layup.,87,87
1:09,2514,Isaiah Washington Defensive Rebound.,87,87
0:49,2514,Chaise Daniels missed Layup.,87,87
0:49,171,Lukas Meisner Block.,87,87
0:48,171,Mike Smith Defensive Rebound.,87,87
0:34,171,Lukas Meisner missed Three Point Jumper.,87,87
0:34,2514,Isaiah Washington Defensive Rebound.,87,87
0:24,2514,Quinnipiac  Timeout,87,87
0:04,2514,Rich Kelly made Layup.,89,87
0:00,171,Mike Smith missed Three Point Jumper.,89,87
0:00,2514,Quinnipiac Defensive Rebound.,89,87
0:00,171,End of Game,89,87
