Wright State,2350,Loyola-Chicago,2750
1:27,2750,Wright State  Timeout,70,79
1:27,2750,Everett Winchester made Free Throw.,71,79
1:27,2750,Everett Winchester made Free Throw.,72,79
1:18,2350,Loyola-Chicago  Timeout,72,79
1:11,2750,Foul on Grant Benzinger.,72,79
1:11,2350,Donte Ingram made Free Throw.,72,80
1:11,2350,Donte Ingram made Free Throw.,72,81
1:00,2750,Parker Ernsthausen made Layup.,74,81
0:59,2750,Wright State  Timeout,74,81
0:48,2350,Ben Richardson Turnover.,74,81
0:47,2750,Mark Hughes Steal.,74,81
0:42,2750,Mark Hughes made Three Point Jumper. Assisted by Tye Wilburn.,77,81
0:30,2750,Foul on Alan Vest.,77,81
0:30,2350,Clayton Custer missed Free Throw.,77,81
0:30,2350,Loyola-Chicago Deadball Team Rebound.,77,81
0:30,2350,Clayton Custer made Free Throw.,77,82
0:26,2750,Mark Hughes made Three Point Jumper. Assisted by Alan Vest.,80,82
0:21,2750,Foul on Justin Mitchell.,80,82
0:21,2350,Donte Ingram made Free Throw.,80,83
0:21,2350,Donte Ingram missed Free Throw.,80,83
0:21,2750,Alan Vest Defensive Rebound.,80,83
0:11,2750,Alan Vest Turnover.,80,83
0:10,2350,Bruno Skokna Steal.,80,83
0:10,2750,Foul on Tye Wilburn.,80,83
0:10,2350,Marques Townes made Free Throw.,80,84
0:10,2350,Marques Townes missed Free Throw.,80,84
0:10,2750,Justin Mitchell Defensive Rebound.,80,84
0:04,2750,Justin Mitchell missed Three Point Jumper.,80,84
0:04,2350,Donte Ingram Defensive Rebound.,80,84
0:00,2350,End of Game,80,84
