Quinnipiac,261,Vermont,2514
4:47,261,Trae Bell-Haynes made Layup.,57,67
4:16,2514,Cameron Young missed Three Point Jumper.,57,67
4:16,261,Ernie Duncan Defensive Rebound.,57,67
4:11,2514,Foul on Cameron Young.,57,67
4:03,261,Anthony Lamb made Layup.,57,69
4:03,261,Vermont  Timeout,57,69
4:03,261,Official TV Timeout,57,69
3:40,2514,Abdulai Bundu missed Layup.,57,69
3:40,261,Anthony Lamb Block.,57,69
3:39,2514,Abdulai Bundu Offensive Rebound.,57,69
3:29,2514,Isaiah Washington made Layup. Assisted by Rich Kelly.,59,69
3:03,261,Official TV Timeout,59,69
3:00,261,Ernie Duncan made Jumper.,59,71
2:30,2514,Jacob Rigoni made Jumper. Assisted by Rich Kelly.,61,71
2:13,2514,Foul on Abdulai Bundu.,61,71
2:13,261,Trae Bell-Haynes missed Free Throw.,61,71
2:13,2514,Quinnipiac Defensive Rebound.,61,71
1:57,2514,Cameron Young made Three Point Jumper. Assisted by Rich Kelly.,64,71
1:56,2514,Quinnipiac  Timeout,64,71
1:27,261,Anthony Lamb missed Jumper.,64,71
1:27,2514,Abdulai Bundu Defensive Rebound.,64,71
1:15,261,Foul on Trae Bell-Haynes.,64,71
1:15,2514,Rich Kelly made Free Throw.,65,71
1:15,2514,Rich Kelly made Free Throw.,66,71
1:11,2514,Foul on Rich Kelly.,66,71
1:11,261,Anthony Lamb made Free Throw.,66,72
1:11,261,Anthony Lamb made Free Throw.,66,73
0:58,2514,Isaiah Washington missed Three Point Jumper.,66,73
0:58,261,Trae Bell-Haynes Defensive Rebound.,66,73
0:55,2514,Foul on Isaiah Washington.,66,73
0:55,261,Trae Bell-Haynes made Free Throw.,66,74
0:55,261,Trae Bell-Haynes missed Free Throw.,66,74
0:55,2514,Abdulai Bundu Defensive Rebound.,66,74
0:41,2514,Cameron Young missed Three Point Jumper.,66,74
0:41,2514,Isaiah Washington Offensive Rebound.,66,74
0:36,2514,Abdulai Bundu made Layup. Assisted by Cameron Young.,68,74
0:36,261,Foul on Ben Shungu.,68,74
0:36,2514,Abdulai Bundu made Free Throw.,69,74
0:35,2514,Foul on Jacob Rigoni.,69,74
0:35,2514,Quinnipiac  Timeout,69,74
0:35,261,Everett Duncan made Free Throw.,69,75
0:35,261,Everett Duncan made Free Throw.,69,76
0:26,2514,Rich Kelly made Three Point Jumper.,72,76
0:25,2514,Foul on Alain Chigha.,72,76
0:25,261,Everett Duncan made Free Throw.,72,77
0:25,261,Everett Duncan made Free Throw.,72,78
0:19,261,Foul on Trae Bell-Haynes.,72,78
0:19,2514,Rich Kelly made Free Throw.,73,78
0:19,2514,Rich Kelly missed Free Throw.,73,78
0:19,261,Trae Bell-Haynes Defensive Rebound.,73,78
0:15,2514,Foul on Cameron Young.,73,78
0:15,261,Trae Bell-Haynes made Free Throw.,73,79
0:15,261,Trae Bell-Haynes made Free Throw.,73,80
0:10,2514,Isaiah Washington missed Three Point Jumper.,73,80
0:10,261,Trae Bell-Haynes Defensive Rebound.,73,80
0:00,261,End of Game,73,80
