Rider,2448,North Carolina A&amp;T,2520
0:27,2448,Sam Hunt made Jumper.,58,59
0:07,2520,Jimmie Taylor missed Jumper.,58,59
0:07,2520,Kahlil Thomas Offensive Rebound.,58,59
0:05,2520,Kahlil Thomas made Layup.,60,59
0:00,2448,Eliel Gonzalez missed Jumper.,60,59
0:00,2448,Aaron Scales Offensive Rebound.,60,59
0:00,2448,Aaron Scales missed Layup.,60,59
0:00,2520,Kahlil Thomas Block.,60,59
0:00,2520,Rider Defensive Rebound.,60,59
0:00,2448,End of Game,60,59
