The Citadel,259,Virginia Tech,2643
18:22,259,Ahmed Hill made Three Point Jumper.,51,72
18:14,2643,Zane Najdawi Turnover.,51,72
18:09,259,Nickeil Alexander-Walker missed Layup.,51,72
18:09,259,Virginia Tech Offensive Rebound.,51,72
17:54,259,made Layup. Assisted by Justin Robinson.,51,74
17:53,2643,Foul on Hayden Brown.,51,74
17:53,259,missed Free Throw.,51,74
17:53,2643,Hayden Brown Defensive Rebound.,51,74
17:41,2643,Preston Parks made Three Point Jumper. Assisted by Tariq Simmons.,54,74
17:31,2643,Foul on Frankie Johnson.,54,74
17:31,259,made Free Throw.,54,75
17:31,259,made Free Throw.,54,76
17:19,2643,Frankie Johnson missed Three Point Jumper.,54,76
17:19,2643,The Citadel Offensive Rebound.,54,76
17:13,2643,Hayden Brown Turnover.,54,76
17:12,259,Ahmed Hill Steal.,54,76
17:11,259,Ahmed Hill made Layup.,54,78
16:55,2643,Rob Johnson made Layup. Assisted by Preston Parks.,56,78
16:33,259,Devin Wilson Turnover.,56,78
16:33,2643,Hayden Brown Steal.,56,78
16:27,2643,Hayden Brown made Three Point Jumper. Assisted by Frankie Johnson.,59,78
16:11,259,Virginia Tech  Timeout,59,78
16:11,259,Official TV Timeout,59,78
15:47,2643,Foul on Rob Johnson.,59,78
15:47,259,Official TV Timeout,59,78
15:47,259,made Free Throw.,59,79
15:47,259,made Free Throw.,59,80
15:37,2643,Hayden Brown made Layup.,61,80
15:25,259,Turnover.,61,80
15:21,2643,Tariq Simmons missed Layup.,61,80
15:21,259,Nickeil Alexander-Walker Defensive Rebound.,61,80
15:02,259,Justin Robinson made Three Point Jumper. Assisted by Nickeil Alexander-Walker.,61,83
14:54,2643,Matt Frierson missed Three Point Jumper.,61,83
14:54,2643,Hayden Brown Offensive Rebound.,61,83
14:50,2643,Matt Frierson made Three Point Jumper. Assisted by Hayden Brown.,64,83
14:35,2643,Foul on Preston Parks.,64,83
14:35,259,Justin Robinson made Free Throw.,64,84
14:35,259,Justin Robinson made Free Throw.,64,85
14:17,2643,Kaelon Harris made Three Point Jumper. Assisted by Quayson Williams.,67,85
14:00,259,Ahmed Hill missed Three Point Jumper.,67,85
14:00,259,Offensive Rebound.,67,85
13:51,259,Nickeil Alexander-Walker missed Layup.,67,85
13:51,259,Offensive Rebound.,67,85
13:48,259,made Two Point Tip Shot.,67,87
13:39,2643,Quayson Williams missed Jumper.,67,87
