Fairleigh Dickinson,213,Penn State,161
11:38,213,Foul on Satchel Pierce.,37,56
11:18,161,Mike Holloway Jr. missed Layup.,37,56
11:18,213,Mike Watkins Defensive Rebound.,37,56
11:14,213,Mike Watkins Turnover.,37,56
10:53,161,Pat McNamara missed Jumper.,37,56
10:53,213,Lamar Stevens Block.,37,56
10:50,213,Josh Reaves Defensive Rebound.,37,56
10:48,213,Josh Reaves made Dunk. Assisted by Tony Carr.,37,58
10:36,161,Mike Schroback Turnover.,37,58
10:35,213,Josh Reaves Steal.,37,58
10:33,213,Lamar Stevens made Dunk. Assisted by Tony Carr.,37,60
10:33,161,Fairleigh Dickinson  Timeout,37,60
10:33,213,Official TV Timeout,37,60
10:18,161,Mike Holloway Jr. Turnover.,37,60
10:17,213,Tony Carr Steal.,37,60
10:10,213,Mike Watkins made Dunk. Assisted by Josh Reaves.,37,62
9:53,161,Jahlil Jenkins made Jumper.,39,62
9:34,213,Tony Carr missed Three Point Jumper.,39,62
9:34,213,Penn State Offensive Rebound.,39,62
9:28,213,Tony Carr made Layup. Assisted by Lamar Stevens.,39,64
9:15,161,Mike Holloway Jr. missed Three Point Jumper.,39,64
9:15,213,Mike Watkins Block.,39,64
9:14,161,Mike Holloway Jr. Offensive Rebound.,39,64
9:04,213,Foul on Mike Watkins.,39,64
9:04,161,Dondre Rhoden missed Free Throw.,39,64
9:04,161,Fairleigh Dickinson Deadball Team Rebound.,39,64
9:04,161,Dondre Rhoden made Free Throw.,40,64
8:44,213,Shep Garner missed Three Point Jumper.,40,64
8:44,161,Fairleigh Dickinson Defensive Rebound.,40,64
8:36,161,Mike Holloway Jr. missed Jumper.,40,64
8:36,213,Lamar Stevens Defensive Rebound.,40,64
8:36,213,Mike Watkins made Dunk. Assisted by Tony Carr.,40,66
8:10,161,Elyjah Williams made Jumper.,42,66
7:52,213,Lamar Stevens missed Jumper.,42,66
7:52,213,Mike Watkins Offensive Rebound.,42,66
7:52,213,Mike Watkins made Jumper.,42,68
7:40,161,Elyjah Williams missed Jumper.,42,68
7:40,213,Josh Reaves Defensive Rebound.,42,68
7:18,213,Nazeer Bostick made Jumper.,42,70
6:41,161,Pat McNamara made Three Point Jumper. Assisted by Darnell Edge.,45,70
6:41,161,Fairleigh Dickinson  Timeout,45,70
6:41,213,Official TV Timeout,45,70
6:23,213,Jamari Wheeler missed Three Point Jumper.,45,70
6:23,161,Jahlil Jenkins Defensive Rebound.,45,70
6:16,161,Jahlil Jenkins missed Layup.,45,70
6:16,213,Josh Reaves Block.,45,70
6:15,161,Jahlil Jenkins made Free Throw.,46,70
6:15,161,Fairleigh Dickinson Deadball Team Rebound.,45,70
6:15,213,Foul on Josh Reaves.,45,70
6:15,161,Jahlil Jenkins made Free Throw.,47,70
5:49,213,Nazeer Bostick Turnover.,47,70
5:36,213,Foul on John Harrar.,47,70
5:36,161,Mike Holloway Jr. made Free Throw.,48,70
5:36,161,Mike Holloway Jr. made Free Throw.,49,70
5:28,213,Lamar Stevens Turnover.,49,70
5:10,161,Mike Holloway Jr. made Layup.,51,70
5:04,161,Foul on Mike Holloway Jr..,51,70
5:04,213,Josh Reaves missed Free Throw.,51,70
5:04,213,Penn State Deadball Team Rebound.,51,70
5:04,213,Josh Reaves made Free Throw.,51,71
4:51,161,Noah Morgan missed Jumper.,51,71
4:51,213,Nazeer Bostick Defensive Rebound.,51,71
4:41,213,John Harrar Turnover.,51,71
4:31,161,Mike Holloway Jr. made Dunk. Assisted by Elyjah Williams.,53,71
4:07,213,Lamar Stevens missed Jumper.,53,71
4:07,213,John Harrar Offensive Rebound.,53,71
3:44,213,Nazeer Bostick made Layup.,53,73
3:33,213,Official TV Timeout,53,73
3:32,213,Foul on John Harrar.,53,73
3:32,161,Mike Holloway Jr. made Free Throw.,54,73
3:32,161,Mike Holloway Jr. made Free Throw.,55,73
3:14,213,Josh Reaves Turnover.,55,73
3:05,161,Pat McNamara Turnover.,55,73
3:04,213,Shep Garner Steal.,55,73
3:01,213,Josh Reaves Turnover.,55,73
3:00,161,Pat McNamara Steal.,55,73
2:57,161,Noah Morgan Turnover.,55,73
2:57,213,Jamari Wheeler Steal.,55,73
2:51,213,Jamari Wheeler Turnover.,55,73
2:50,161,Mike Schroback Steal.,55,73
2:47,161,Mike Schroback Turnover.,55,73
2:36,213,Shep Garner missed Three Point Jumper.,55,73
2:36,161,Elyjah Williams Defensive Rebound.,55,73
2:27,161,Noah Morgan made Layup.,57,73
2:20,213,Nazeer Bostick missed Layup.,57,73
2:20,161,Mike Schroback Defensive Rebound.,57,73
2:13,161,Foul on Elyjah Williams.,57,73
2:13,161,Elyjah Williams Turnover.,57,73
2:07,213,Jamari Wheeler Turnover.,57,73
2:06,161,Noah Morgan Steal.,57,73
2:01,161,Noah Morgan Turnover.,57,73
2:00,213,Nazeer Bostick Steal.,57,73
1:56,213,Nazeer Bostick missed Jumper.,57,73
1:56,213,John Harrar Offensive Rebound.,57,73
1:54,213,John Harrar made Layup.,57,75
1:23,161,Noah Morgan Turnover.,57,75
1:22,213,Jamari Wheeler Steal.,57,75
1:19,213,Nazeer Bostick made Dunk. Assisted by Lamar Stevens.,57,77
1:05,161,Jahlil Jenkins Turnover.,57,77
1:04,213,Lamar Stevens Steal.,57,77
1:02,213,Lamar Stevens made Dunk.,57,79
0:40,161,Mike Schroback Turnover.,57,79
0:38,213,John Harrar Steal.,57,79
0:36,213,Jamari Wheeler missed Layup.,57,79
0:36,213,Lamar Stevens Offensive Rebound.,57,79
0:34,213,Lamar Stevens missed Layup.,57,79
0:34,213,Nazeer Bostick Offensive Rebound.,57,79
0:32,161,Foul on Pat McNamara.,57,79
0:32,213,Nazeer Bostick made Free Throw.,57,80
0:32,213,Nazeer Bostick made Free Throw.,57,81
0:07,161,Mike Schroback missed Layup.,57,81
0:07,213,Trent Buttrick Defensive Rebound.,57,81
0:00,213,End of Game,57,81
