Coppin State,151,East Carolina,2154
14:15,151,Shawn Williams Defensive Rebound.,29,44
14:05,151,Shawn Williams missed Layup.,29,44
14:05,2154,Chad Andrews-Fulton Block.,29,44
14:03,151,Usman Haruna Offensive Rebound.,29,44
13:58,151,Usman Haruna made Layup.,29,46
13:41,2154,Lamar Morgan Turnover.,29,46
13:32,151,Foul on Justin Whatley.,29,46
13:32,151,Justin Whatley Turnover.,29,46
13:23,2154,Tre' Thomas missed Three Point Jumper.,29,46
13:23,151,Aaron Jackson Defensive Rebound.,29,46
13:11,151,Usman Haruna missed Layup.,29,46
13:11,2154,Cedric Council Jr. Defensive Rebound.,29,46
12:54,2154,Taqwain Drummond missed Layup.,29,46
12:54,151,Usman Haruna Block.,29,46
12:52,151,Shawn Williams Defensive Rebound.,29,46
12:48,151,Shawn Williams made Jumper.,29,48
12:34,2154,Foul on Lamar Morgan.,29,48
12:34,2154,Lamar Morgan Turnover.,29,48
12:18,151,B.J. Tyson missed Layup.,29,48
12:18,151,Usman Haruna Offensive Rebound.,29,48
12:14,151,Usman Haruna missed Layup.,29,48
12:14,2154,Cedric Council Jr. Block.,29,48
12:12,2154,Karonn Davis Defensive Rebound.,29,48
12:09,2154,Lamar Morgan made Three Point Jumper. Assisted by Karonn Davis.,32,48
11:53,2154,Foul on Tre' Thomas.,32,48
11:53,151,Official TV Timeout,32,48
11:48,2154,Foul on Dejuan Clayton.,32,48
11:48,151,Isaac Fleming made Free Throw.,32,49
11:48,151,Isaac Fleming made Free Throw.,32,50
11:34,2154,Lamar Morgan missed Three Point Jumper.,32,50
11:34,2154,Cedric Council Jr. Offensive Rebound.,32,50
11:28,2154,Lamar Morgan missed Three Point Jumper.,32,50
11:28,151,Usman Haruna Defensive Rebound.,32,50
11:16,151,Isaac Fleming Turnover.,32,50
11:16,2154,Cedric Council Jr. Steal.,32,50
11:13,2154,Karonn Davis missed Three Point Jumper.,32,50
11:13,151,Justin Whatley Defensive Rebound.,32,50
10:52,2154,Foul on Karonn Davis.,32,50
