Chicago State,2509,Purdue,2130
10:41,2130,Jelani Pruitt missed Three Point Jumper.,31,92
10:41,2509,Grady Eifert Defensive Rebound.,31,92
10:25,2509,Ryan Cline missed Three Point Jumper.,31,92
10:25,2130,Chicago State Defensive Rebound.,31,92
9:50,2130,Fred Sims Jr. missed Three Point Jumper.,31,92
9:50,2130,Cameron Bowles Offensive Rebound.,31,92
9:42,2130,Glen Burns made Layup.,33,92
9:42,2509,Foul on Matt Haarms.,33,92
9:42,2130,Glen Burns made Free Throw.,34,92
9:40,2130,Foul on Glen Burns.,34,92
9:35,2509,Nojel Eastern Turnover.,34,92
9:12,2130,Foul on Montana Byrd.,34,92
9:12,2130,Montana Byrd Turnover.,34,92
9:02,2130,Foul on Jalen Stephens-Holmes.,34,92
9:02,2509,Matt Haarms missed Free Throw.,34,92
9:02,2509,Grady Eifert Offensive Rebound.,34,92
8:51,2509,Foul on Matt Haarms.,34,92
8:51,2509,Matt Haarms Turnover.,34,92
8:25,2130,Alex Dubovitskiy missed Three Point Jumper.,34,92
8:25,2509,Jacquil Taylor Defensive Rebound.,34,92
8:19,2509,Nojel Eastern Turnover.,34,92
7:57,2509,Foul on Matt Haarms.,34,92
7:57,2509,Official TV Timeout,34,92
7:56,2130,Patrick Szpir missed Jumper.,34,92
7:56,2509,Matt Haarms Block.,34,92
7:54,2130,Glen Burns Offensive Rebound.,34,92
7:39,2130,Montana Byrd missed Three Point Jumper.,34,92
7:39,2130,Chicago State Offensive Rebound.,34,92
7:38,2130,Montana Byrd missed Jumper.,34,92
7:38,2509,Matt Haarms Defensive Rebound.,34,92
7:23,2130,Foul on Glen Burns.,34,92
7:23,2509,Matt Haarms made Free Throw.,34,93
7:23,2509,Matt Haarms made Free Throw.,34,94
7:18,2509,Foul on Eden Ewing.,34,94
7:16,2130,Deionte Simmons Turnover.,34,94
7:14,2509,Grady Eifert Steal.,34,94
7:08,2130,Foul on Travon Bell.,34,94
7:06,2509,Jacquil Taylor missed Free Throw.,34,94
7:06,2509,Purdue Deadball Team Rebound.,34,94
7:06,2509,Jacquil Taylor missed Free Throw.,34,94
7:06,2130,Alex Dubovitskiy Defensive Rebound.,34,94
6:47,2130,Montana Byrd missed Jumper.,34,94
6:47,2509,Matt Haarms Block.,34,94
6:47,2130,Glen Burns Offensive Rebound.,34,94
6:43,2130,Glen Burns missed Jumper.,34,94
6:43,2509,Jacquil Taylor Defensive Rebound.,34,94
6:26,2130,Foul on Alex Dubovitskiy.,34,94
6:26,2509,Grady Eifert missed Free Throw.,34,94
6:26,2509,Purdue Deadball Team Rebound.,34,94
6:26,2509,Grady Eifert made Free Throw.,34,95
6:14,2130,Montana Byrd missed Jumper.,34,95
6:14,2130,Deionte Simmons Offensive Rebound.,34,95
6:11,2509,Foul on Jacquil Taylor.,34,95
6:11,2130,Deionte Simmons made Free Throw.,35,95
6:11,2130,Deionte Simmons made Free Throw.,36,95
5:51,2509,Nojel Eastern Turnover.,36,95
5:44,2509,Foul on Eden Ewing.,36,95
5:42,2130,Travon Bell missed Three Point Jumper.,36,95
5:42,2509,Eden Ewing Defensive Rebound.,36,95
5:33,2509,Foul on Nojel Eastern.,36,95
5:33,2509,Nojel Eastern Turnover.,36,95
5:20,2130,Cameron Bowles missed Jumper.,36,95
5:20,2509,Matt Haarms Block.,36,95
5:19,2509,Matt Haarms Defensive Rebound.,36,95
