Lamar,304,Idaho State,2320
14:55,304,Gary Chivichyan made Three Point Jumper. Assisted by Brandon Boyd.,39,49
14:34,2320,Joey Frenchwood missed Three Point Jumper.,39,49
14:34,2320,Josh Nzeakor Offensive Rebound.,39,49
14:30,304,Foul on Stephen Lennox.,39,49
14:30,2320,Josh Nzeakor missed Free Throw.,39,49
14:30,2320,Lamar Deadball Team Rebound.,39,49
14:30,2320,Josh Nzeakor made Free Throw.,40,49
14:03,304,Ethan Telfair missed Jumper.,40,49
14:03,2320,Josh Nzeakor Defensive Rebound.,40,49
13:47,2320,Lincoln Davis Turnover.,40,49
13:43,304,Ethan Telfair Steal.,40,49
13:40,2320,Foul on Joey Frenchwood.,40,49
13:40,304,Robert Jones III made Free Throw.,40,50
13:40,304,Robert Jones III missed Free Throw.,40,50
13:40,2320,Colton Weisbrod Defensive Rebound.,40,50
13:18,2320,Colton Weisbrod made Layup. Assisted by Nick Garth.,42,50
12:54,304,Robert Jones III made Layup.,42,52
12:34,2320,Josh Nzeakor missed Layup.,42,52
12:34,2320,Josh Nzeakor Offensive Rebound.,42,52
12:31,2320,Josh Nzeakor Turnover.,42,52
12:29,304,Robert Jones III Steal.,42,52
12:26,2320,Foul on Nick Garth.,42,52
12:26,304,Brandon Boyd missed Free Throw.,42,52
12:26,304,Idaho State Deadball Team Rebound.,42,52
12:26,304,Brandon Boyd made Free Throw.,42,53
12:03,2320,Colton Weisbrod made Jumper.,44,53
11:51,304,Foul on Novak Topalovic.,44,53
11:51,304,Novak Topalovic Turnover.,44,53
11:51,304,Official TV Timeout,44,53
11:43,2320,Christian Albright made Three Point Jumper. Assisted by Nick Garth.,47,53
11:21,304,Robert Jones III missed Jumper.,47,53
11:21,2320,Colton Weisbrod Defensive Rebound.,47,53
10:51,2320,Nick Garth made Three Point Jumper. Assisted by Christian Albright.,50,53
10:29,304,Novak Topalovic made Dunk. Assisted by Robert Jones III.,50,55
10:28,2320,Foul on Christian Albright.,50,55
10:28,304,Novak Topalovic missed Free Throw.,50,55
10:28,2320,Christian Albright Defensive Rebound.,50,55
10:13,2320,Colton Weisbrod missed Layup.,50,55
10:13,304,Novak Topalovic Block.,50,55
10:12,2320,Lamar Deadball Team Rebound.,50,55
10:12,2320,Foul on Marcus Owens.,50,55
10:12,304,Hayes Garrity made Free Throw.,50,56
10:12,304,Hayes Garrity made Free Throw.,50,57
10:02,2320,Colton Weisbrod missed Jumper.,50,57
10:02,304,Novak Topalovic Defensive Rebound.,50,57
9:55,304,Hayes Garrity made Layup. Assisted by Ethan Telfair.,50,59
9:32,304,Geno Luzcando Steal.,50,59
9:32,2320,Colton Weisbrod Turnover.,50,59
9:25,304,Geno Luzcando made Layup.,50,61
9:20,2320,Lamar  Timeout,50,61
9:08,2320,Christian Albright made Three Point Jumper. Assisted by Torey Noel.,53,61
8:54,304,Geno Luzcando missed Dunk.,53,61
8:54,2320,Colton Weisbrod Defensive Rebound.,53,61
8:36,2320,Colton Weisbrod missed Jumper.,53,61
8:36,304,Stephen Lennox Block.,53,61
8:34,2320,Lamar Offensive Rebound.,53,61
8:33,2320,Christian Albright missed Three Point Jumper.,53,61
8:33,304,Ethan Telfair Defensive Rebound.,53,61
8:17,2320,Foul on Christian Albright.,53,61
8:17,304,Novak Topalovic missed Free Throw.,53,61
8:17,304,Idaho State Deadball Team Rebound.,53,61
8:17,304,Novak Topalovic missed Free Throw.,53,61
8:17,2320,Colton Weisbrod Defensive Rebound.,53,61
8:04,2320,Nick Garth missed Three Point Jumper.,53,61
8:04,304,Geno Luzcando Defensive Rebound.,53,61
7:45,304,Ethan Telfair Turnover.,53,61
7:45,304,Official TV Timeout,53,61
7:36,304,Foul on Robert Jones III.,53,61
7:36,2320,Joey Frenchwood made Layup.,55,61
7:32,304,Geno Luzcando missed Dunk.,55,61
7:32,304,Idaho State Offensive Rebound.,55,61
7:11,304,Foul on Stephen Lennox.,55,61
6:52,2320,Colton Weisbrod Turnover.,55,61
6:49,304,Ethan Telfair Steal.,55,61
6:29,304,Brandon Boyd made Layup. Assisted by Ethan Telfair.,55,63
6:28,304,Gary Chivichyan missed Layup.,55,63
6:28,304,Novak Topalovic Offensive Rebound.,55,63
6:22,304,Foul on Robert Jones III.,55,63
6:22,2320,Torey Noel missed Free Throw.,55,63
6:22,304,Novak Topalovic Defensive Rebound.,55,63
6:22,304,Ethan Telfair made Layup.,55,65
6:02,2320,Foul on Colton Weisbrod.,55,65
6:02,2320,Colton Weisbrod Turnover.,55,65
5:49,304,Brandon Boyd missed Jumper.,55,65
5:49,2320,Colton Weisbrod Defensive Rebound.,55,65
5:33,2320,Foul on Joey Frenchwood.,55,65
5:33,2320,Joey Frenchwood Turnover.,55,65
5:18,304,Ethan Telfair missed Three Point Jumper.,55,65
5:18,2320,Joey Frenchwood Defensive Rebound.,55,65
5:09,2320,Colton Weisbrod Turnover.,55,65
5:07,304,Brandon Boyd Steal.,55,65
5:02,304,Brandon Boyd Turnover.,55,65
4:59,2320,Joey Frenchwood missed Three Point Jumper.,55,65
4:59,304,Novak Topalovic Defensive Rebound.,55,65
4:54,2320,Foul on Marcus Owens.,55,65
4:54,304,Novak Topalovic made Free Throw.,55,66
4:54,304,Novak Topalovic missed Free Throw.,55,66
4:54,2320,Colton Weisbrod Defensive Rebound.,55,66
4:47,2320,Torey Noel missed Layup.,55,66
4:47,304,Idaho State Deadball Team Rebound.,55,66
4:45,2320,Foul on Colton Weisbrod.,55,66
4:45,304,Novak Topalovic missed Free Throw.,55,66
4:45,304,Idaho State Deadball Team Rebound.,55,66
4:45,304,Novak Topalovic missed Free Throw.,55,66
4:45,2320,Torey Noel Defensive Rebound.,55,66
4:38,2320,Dorian Chatman missed Three Point Jumper.,55,66
4:38,304,Ethan Telfair Defensive Rebound.,55,66
4:08,304,Robert Jones III missed Three Point Jumper.,55,66
4:08,2320,Torey Noel Defensive Rebound.,55,66
4:01,2320,Nick Garth missed Three Point Jumper.,55,66
4:01,304,Ethan Telfair Defensive Rebound.,55,66
3:32,304,Foul on Novak Topalovic.,55,66
3:32,304,Novak Topalovic Turnover.,55,66
3:32,304,Official TV Timeout,55,66
3:12,2320,Colton Weisbrod missed Jumper.,55,66
3:12,304,Stephen Lennox Block.,55,66
3:07,2320,Lamar Offensive Rebound.,55,66
3:05,2320,Torey Noel missed Three Point Jumper.,55,66
3:05,304,Idaho State Deadball Team Rebound.,55,66
2:49,2320,Foul on Colton Weisbrod.,55,66
2:35,2320,Nick Garth missed Three Point Jumper.,55,66
2:35,304,Robert Jones III Defensive Rebound.,55,66
2:33,304,Ethan Telfair made Free Throw.,55,67
2:30,304,Ethan Telfair made Free Throw.,55,68
2:21,304,Ethan Telfair made Layup.,55,70
2:14,2320,Torey Noel missed Layup.,55,70
2:14,304,Idaho State Deadball Team Rebound.,55,70
2:12,2320,Foul on Marcus Owens.,55,70
2:12,304,Robert Jones III made Free Throw.,55,71
2:12,304,Robert Jones III made Free Throw.,55,72
1:59,304,Foul on Stephen Lennox.,55,72
1:59,2320,Nick Garth missed Free Throw.,55,72
1:59,2320,Lamar Deadball Team Rebound.,55,72
1:59,2320,Nick Garth made Free Throw.,56,72
1:28,304,Novak Topalovic made Layup. Assisted by Ethan Telfair.,56,74
1:20,2320,Josh Nzeakor missed Jumper.,56,74
1:20,2320,Colton Weisbrod Offensive Rebound.,56,74
1:12,2320,Colton Weisbrod Turnover.,56,74
1:10,304,Brandon Boyd Steal.,56,74
0:46,304,Brandon Boyd missed Three Point Jumper.,56,74
0:46,2320,Marcus Owens Defensive Rebound.,56,74
0:38,2320,Marcus Owens made Three Point Jumper.,59,74
0:20,304,Novak Topalovic made Dunk. Assisted by Ethan Telfair.,59,76
0:11,304,Foul on Novak Topalovic.,59,76
0:11,2320,Josh Nzeakor made Free Throw.,60,76
0:11,2320,Josh Nzeakor missed Free Throw.,60,76
0:11,304,Geno Luzcando Defensive Rebound.,60,76
0:05,2320,Foul on Marcus Owens.,60,76
0:05,304,Geno Luzcando made Free Throw.,60,77
0:05,304,Geno Luzcando missed Free Throw.,60,77
0:05,2320,Nick Garth Defensive Rebound.,60,77
0:00,304,End of Game,60,77
