Jackson State,2649,Toledo,2296
3:22,2296,Jeremiah Bozeman missed Free Throw.,48,78
3:22,2296,Jackson State Deadball Team Rebound.,48,78
3:22,2296,Jeremiah Bozeman made Free Throw.,49,78
3:05,2649,Dwayne Rose Jr. missed Three Point Jumper.,49,78
3:05,2296,Maurice Rivers Defensive Rebound.,49,78
2:46,2296,Demetrice Clopton missed Layup.,49,78
2:46,2296,Lemmie Howard Offensive Rebound.,49,78
2:43,2296,Lemmie Howard made Layup.,51,78
2:36,2296,Foul on Lemmie Howard.,51,78
2:36,2649,Justin Roberts made Free Throw.,51,79
2:36,2649,Justin Roberts made Free Throw.,51,80
2:16,2296,Jeremiah Jefferson missed Jumper.,51,80
2:16,2649,Nate Navigato Defensive Rebound.,51,80
2:06,2649,Nate Navigato missed Three Point Jumper.,51,80
2:06,2296,Jeremiah Bozeman Defensive Rebound.,51,80
1:52,2296,Jeremiah Bozeman made Layup.,53,80
1:43,2649,Toledo  Timeout,53,80
1:25,2296,Foul on Lemmie Howard.,53,80
1:25,2649,Vicpatrick Harris missed Free Throw.,53,80
1:25,2649,Toledo Deadball Team Rebound.,53,80
1:25,2649,Vicpatrick Harris made Free Throw.,53,81
0:58,2649,Foul on Matt Schaffer.,53,81
0:58,2296,Jeremiah Bozeman made Free Throw.,54,81
0:58,2296,Jeremiah Bozeman made Free Throw.,55,81
0:49,2649,Matt Schaffer missed Jumper.,55,81
0:49,2649,Dwayne Rose Jr. Offensive Rebound.,55,81
0:43,2296,Foul on Jeremiah Bozeman.,55,81
0:43,2649,Dwayne Rose Jr. made Free Throw.,55,82
0:43,2649,Dwayne Rose Jr. made Free Throw.,55,83
0:33,2296,Jordan Berry made Jumper.,57,83
0:07,2649,Justin Roberts missed Three Point Jumper.,57,83
0:07,2296,Jordan Berry Defensive Rebound.,57,83
0:00,2296,Jeremiah Bozeman missed Layup.,57,83
0:00,2649,Dwayne Rose Jr. Defensive Rebound.,57,83
0:00,2649,End of Game,57,83
