Delaware,2550,Seton Hall,48
3:26,2550,Angel Delgado made Free Throw.,59,73
3:15,48,Ryan Daly made Layup.,61,73
2:48,2550,Desi Rodriguez missed Layup.,61,73
2:48,2550,Ismael Sanogo Offensive Rebound.,61,73
2:36,2550,Khadeen Carrington missed Layup.,61,73
2:36,2550,Khadeen Carrington Offensive Rebound.,61,73
2:08,2550,Desi Rodriguez missed Three Point Jumper.,61,73
2:08,2550,Desi Rodriguez Offensive Rebound.,61,73
1:44,2550,Ismael Sanogo made Dunk. Assisted by Khadeen Carrington.,61,75
1:44,48,Foul on Devonne Pinkard.,61,75
1:44,2550,Ismael Sanogo missed Free Throw.,61,75
1:44,48,Ryan Daly Defensive Rebound.,61,75
1:31,48,Cazmon Hayes missed Three Point Jumper.,61,75
1:31,2550,Seton Hall Defensive Rebound.,61,75
1:10,2550,Myles Powell made Three Point Jumper. Assisted by Eron Gordon.,61,78
1:01,48,Anthony Mosley made Layup.,63,78
0:45,2550,Myles Carter missed Layup.,63,78
0:45,2550,Michael Nzei Offensive Rebound.,63,78
0:42,2550,Michael Nzei made Two Point Tip Shot.,63,80
0:36,2550,Foul on Eron Gordon.,63,80
0:36,48,Anthony Mosley made Free Throw.,64,80
0:36,48,Anthony Mosley made Free Throw.,65,80
0:25,48,Foul on Devonne Pinkard.,65,80
0:25,2550,Michael Nzei made Free Throw.,65,81
0:25,2550,Michael Nzei missed Free Throw.,65,81
0:25,48,Ryan Daly Defensive Rebound.,65,81
0:13,48,Curtis Lochner made Three Point Jumper. Assisted by Curtis McRoy.,68,81
0:00,2550,End of Game,68,81
