Columbia,2142,Colgate,171
6:49,171,Mike Smith Defensive Rebound.,63,66
6:45,171,Nate Hickman missed Three Point Jumper.,63,66
6:45,2142,Will Rayman Defensive Rebound.,63,66
6:29,171,Foul on Peter Barba.,63,66
6:29,2142,Official TV Timeout,63,66
6:21,2142,Jordan Swopshire Turnover.,63,66
6:20,171,Quinton Adlesh Steal.,63,66
6:05,2142,Foul on Francisco Amiel.,63,66
5:52,171,Mike Smith missed Layup.,63,66
5:52,2142,Jordan Swopshire Defensive Rebound.,63,66
5:39,2142,Jordan Swopshire Turnover.,63,66
5:38,171,Nate Hickman Steal.,63,66
5:25,171,Tai Bibbs Turnover.,63,66
5:23,2142,Jordan Swopshire Steal.,63,66
5:11,2142,Dana Batt missed Jumper.,63,66
5:11,2142,Jordan Swopshire Offensive Rebound.,63,66
5:04,171,Foul on Lukas Meisner.,63,66
5:04,2142,Dana Batt made Free Throw.,63,67
5:04,2142,Dana Batt made Free Throw.,63,68
4:42,171,Quinton Adlesh missed Three Point Jumper.,63,68
4:42,2142,Colgate Defensive Rebound.,63,68
4:22,171,Foul on Nate Hickman.,63,68
4:22,2142,Jordan Burns missed Free Throw.,63,68
4:22,2142,Dana Batt Offensive Rebound.,63,68
4:19,2142,Colgate  Timeout,63,68
3:58,2142,Sean O'Brien missed Three Point Jumper.,63,68
3:58,171,Rodney Hunter Defensive Rebound.,63,68
3:52,171,Lukas Meisner made Dunk. Assisted by Rodney Hunter.,65,68
3:31,171,Foul on Nate Hickman.,65,68
3:31,2142,Dana Batt made Free Throw.,65,69
3:31,2142,Dana Batt made Free Throw.,65,70
3:17,171,Lukas Meisner missed Jumper.,65,70
3:17,2142,Sean O'Brien Defensive Rebound.,65,70
3:03,171,Foul on Lukas Meisner.,65,70
3:03,2142,Will Rayman missed Free Throw.,65,70
3:03,2142,Francisco Amiel Offensive Rebound.,65,70
2:59,2142,Sean O'Brien missed Three Point Jumper.,65,70
2:59,171,Nate Hickman Defensive Rebound.,65,70
2:41,171,Lukas Meisner missed Three Point Jumper.,65,70
2:41,2142,Dana Batt Defensive Rebound.,65,70
2:18,2142,Francisco Amiel missed Three Point Jumper.,65,70
2:18,171,Nate Hickman Defensive Rebound.,65,70
2:15,2142,Foul on Dana Batt.,65,70
2:05,171,Peter Barba Turnover.,65,70
2:04,2142,Will Rayman Steal.,65,70
1:38,2142,Dana Batt made Layup. Assisted by Sean O'Brien.,65,72
1:28,171,Mike Smith missed Three Point Jumper.,65,72
1:28,2142,Sean O'Brien Defensive Rebound.,65,72
1:03,2142,Francisco Amiel missed Three Point Jumper.,65,72
1:03,171,Mike Smith Defensive Rebound.,65,72
0:48,171,Mike Smith made Layup.,67,72
0:46,171,Columbia  Timeout,67,72
0:35,2142,Jordan Swopshire missed Three Point Jumper.,67,72
0:35,171,Lukas Meisner Defensive Rebound.,67,72
0:24,2142,Foul on Will Rayman.,67,72
0:24,171,Nate Hickman made Free Throw.,68,72
0:24,171,Nate Hickman made Free Throw.,69,72
0:22,171,Foul on Lukas Meisner.,69,72
0:22,2142,Sean O'Brien made Free Throw.,69,73
0:22,2142,Sean O'Brien made Free Throw.,69,74
0:14,171,Mike Smith missed Three Point Jumper.,69,74
0:14,2142,Jordan Swopshire Defensive Rebound.,69,74
0:11,171,Foul on Quinton Adlesh.,69,74
0:11,2142,Jordan Swopshire made Free Throw.,69,75
0:11,2142,Jordan Swopshire made Free Throw.,69,76
0:06,2142,Foul on Will Rayman.,69,76
0:06,171,Nate Hickman made Free Throw.,70,76
0:06,171,Nate Hickman made Free Throw.,71,76
0:04,171,Foul on Tai Bibbs.,71,76
0:04,2142,Will Rayman made Free Throw.,71,77
0:04,2142,Will Rayman missed Free Throw.,71,77
0:04,171,Lukas Meisner Defensive Rebound.,71,77
0:00,171,Lukas Meisner Turnover.,71,77
0:00,2142,Jordan Burns Steal.,71,77
0:00,2142,End of Game,71,77
