NJIT,322,Lafayette,2885
3:46,2885,NJIT Deadball Team Rebound.,79,79
3:46,2885,Abdul Lewis made Free Throw.,80,79
3:36,322,Paulius Zalys missed Three Point Jumper.,80,79
3:36,2885,Abdul Lewis Defensive Rebound.,80,79
3:15,2885,Abdul Lewis Turnover.,80,79
3:15,2885,Foul on Abdul Lewis.,80,79
3:03,2885,Foul on Mohamed Bendary.,80,79
3:03,322,Nick Lindner missed Free Throw.,80,79
3:03,322,Lafayette Deadball Team Rebound.,80,79
3:03,322,Nick Lindner made Free Throw.,80,80
2:35,2885,Anthony Tarke missed Three Point Jumper.,80,80
2:35,322,Paulius Zalys Defensive Rebound.,80,80
2:21,322,Eric Stafford missed Jumper.,80,80
2:21,2885,Anthony Tarke Defensive Rebound.,80,80
2:20,322,Foul on Eric Stafford.,80,80
2:20,2885,Anthony Tarke missed Free Throw.,80,80
2:20,2885,NJIT Deadball Team Rebound.,80,80
2:20,2885,Anthony Tarke made Free Throw.,81,80
2:08,2885,Foul on Shyquan Gibbs.,81,80
2:08,322,Nick Lindner made Free Throw.,81,81
2:08,322,Nick Lindner made Free Throw.,81,82
1:54,2885,Tim Coleman missed Layup.,81,82
1:54,322,Myles Cherry Block.,81,82
1:51,322,Nick Lindner Defensive Rebound.,81,82
1:43,322,Myles Cherry Turnover.,81,82
1:25,2885,Shyquan Gibbs Turnover.,81,82
1:23,322,Nick Lindner Steal.,81,82
1:22,322,Nick Lindner missed Layup.,81,82
1:22,2885,Mohamed Bendary Defensive Rebound.,81,82
1:14,2885,Rob Ukawuba missed Layup.,81,82
1:14,322,Myles Cherry Defensive Rebound.,81,82
1:14,2885,Foul on Mohamed Bendary.,81,82
1:14,322,Myles Cherry made Free Throw.,81,83
1:14,322,Myles Cherry made Free Throw.,81,84
1:01,322,Foul on Paulius Zalys.,81,84
1:01,2885,Tim Coleman made Free Throw.,82,84
1:01,2885,Tim Coleman made Free Throw.,83,84
0:36,322,Kyle Stout missed Three Point Jumper.,83,84
0:36,2885,Tim Coleman Defensive Rebound.,83,84
0:35,322,Foul on Matt Klinewski.,83,84
0:35,2885,Tim Coleman missed Free Throw.,83,84
0:35,2885,NJIT Deadball Team Rebound.,83,84
0:35,2885,Tim Coleman missed Free Throw.,83,84
0:35,322,Myles Cherry Defensive Rebound.,83,84
0:09,322,Kyle Stout Turnover.,83,84
0:00,2885,Tim Coleman missed Jumper.,83,84
0:00,322,Myles Cherry Defensive Rebound.,83,84
0:00,322,End of Game,83,84
