Florida Gulf Coast,127,Michigan State,526
10:18,526,Zach Johnson Steal.,52,54
10:10,526,Brandon Goodwin missed Jumper.,52,54
10:10,127,Nick Ward Defensive Rebound.,52,54
9:53,526,Foul on Rayjon Tucker.,52,54
9:53,127,Nick Ward made Free Throw.,52,55
9:53,127,Nick Ward missed Free Throw.,52,55
9:53,526,RaySean Scott Jr. Defensive Rebound.,52,55
9:40,526,Antravious Simmons missed Layup.,52,55
9:40,127,Lourawls Nairn Jr. Block.,52,55
9:39,127,Cassius Winston made Free Throw.,52,56
9:39,526,Florida Gulf Coast Offensive Rebound.,52,55
9:39,526,Technical Foul on Florida Gulf Coast.,52,55
9:39,127,Cassius Winston made Free Throw.,52,57
9:26,127,Foul on Cassius Winston.,52,57
9:26,526,Brandon Goodwin made Free Throw.,53,57
9:26,526,Brandon Goodwin missed Free Throw.,53,57
9:26,127,Miles Bridges Defensive Rebound.,53,57
9:06,127,Eron Harris missed Jumper.,53,57
9:06,526,RaySean Scott Jr. Defensive Rebound.,53,57
8:58,526,Brandon Goodwin made Layup.,55,57
8:29,127,Joshua Langford made Jumper. Assisted by Miles Bridges.,55,59
8:08,526,Antravious Simmons made Layup. Assisted by Brandon Goodwin.,57,59
7:55,127,Miles Bridges made Three Point Jumper. Assisted by Joshua Langford.,57,62
7:34,526,Rayjon Tucker made Three Point Jumper. Assisted by Antravious Simmons.,60,62
7:15,127,Miles Bridges missed Three Point Jumper.,60,62
7:15,526,Antravious Simmons Defensive Rebound.,60,62
7:03,526,Brandon Goodwin missed Layup.,60,62
7:03,127,Miles Bridges Block.,60,62
7:02,526,Florida Gulf Coast Offensive Rebound.,60,62
7:02,127,Official TV Timeout,60,62
6:46,526,Zach Johnson missed Jumper.,60,62
6:46,127,Kenny Goins Block.,60,62
6:44,526,Zach Johnson Offensive Rebound.,60,62
6:43,127,Foul on Matt McQuaid.,60,62
6:30,127,Foul on Kyle Ahrens.,60,62
6:30,526,Brandon Goodwin made Free Throw.,61,62
6:30,526,Brandon Goodwin made Free Throw.,62,62
6:14,127,Kyle Ahrens missed Three Point Jumper.,62,62
6:14,127,Eron Harris Offensive Rebound.,62,62
5:51,526,Foul on Zach Johnson.,62,62
5:51,127,Kenny Goins missed Free Throw.,62,62
5:51,127,Michigan St Deadball Team Rebound.,62,62
5:51,127,Kenny Goins missed Free Throw.,62,62
5:51,526,Rayjon Tucker Defensive Rebound.,62,62
5:40,526,Rayjon Tucker Turnover.,62,62
5:23,526,Foul on Rayjon Tucker.,62,62
5:23,127,Eron Harris missed Free Throw.,62,62
5:23,127,Michigan St Deadball Team Rebound.,62,62
5:23,127,Eron Harris made Free Throw.,62,63
5:03,526,Demetris Morant made Layup.,64,63
4:44,526,Foul on Rayjon Tucker.,64,63
4:44,127,Eron Harris missed Free Throw.,64,63
