Furman,2737,Winthrop,231
10:06,2737,Foul on Anders Broman.,36,34
10:06,231,John Davis III made Free Throw.,37,34
10:06,231,John Davis III made Free Throw.,38,34
9:54,2737,Anders Broman missed Three Point Jumper.,38,34
9:54,231,Devin Sibley Defensive Rebound.,38,34
9:48,231,John Davis III made Layup. Assisted by Devin Sibley.,40,34
9:38,2737,Roderick Perkins made Three Point Jumper. Assisted by Xavier Cooks.,40,37
9:11,231,Geoff Beans missed Three Point Jumper.,40,37
9:11,2737,Winthrop Defensive Rebound.,40,37
8:55,231,John Davis III Turnover.,40,37
8:21,2737,Xavier Cooks Turnover.,40,37
8:19,231,Daniel Fowler Steal.,40,37
8:16,231,Devin Sibley made Layup. Assisted by Daniel Fowler.,42,37
8:01,2737,Duby Okeke missed Dunk.,42,37
8:01,231,Daniel Fowler Block.,42,37
8:00,2737,Winthrop Offensive Rebound.,42,37
7:59,2737,Official TV Timeout,42,37
7:59,2737,Xavier Cooks made Layup. Assisted by Joshua Davenport.,42,39
7:23,231,Kris Acox missed Jumper.,42,39
7:23,2737,Duby Okeke Defensive Rebound.,42,39
7:12,2737,Xavier Cooks missed Three Point Jumper.,42,39
7:12,231,Geoff Beans Defensive Rebound.,42,39
7:09,2737,Foul on Duby Okeke.,42,39
6:53,231,Devin Sibley missed Layup.,42,39
6:53,2737,Joshua Davenport Block.,42,39
6:52,2737,Keon Johnson Defensive Rebound.,42,39
6:48,231,Foul on John Davis III.,42,39
6:43,2737,Tevin Prescott made Layup. Assisted by Anders Broman.,42,41
6:14,231,Kris Acox missed Jumper.,42,41
6:14,2737,Xavier Cooks Defensive Rebound.,42,41
6:08,2737,Anders Broman missed Three Point Jumper.,42,41
6:08,2737,Xavier Cooks Offensive Rebound.,42,41
5:53,2737,Xavier Cooks Turnover.,42,41
5:53,231,Geoff Beans Steal.,42,41
5:36,231,Devin Sibley missed Three Point Jumper.,42,41
5:36,2737,Anders Broman Defensive Rebound.,42,41
5:26,2737,Xavier Cooks missed Three Point Jumper.,42,41
5:26,231,John Davis III Defensive Rebound.,42,41
5:14,231,Matt Rafferty made Layup. Assisted by Daniel Fowler.,44,41
5:03,2737,Winthrop  Timeout,44,41
4:55,2737,Duby Okeke made Dunk. Assisted by Keon Johnson.,44,43
4:28,231,John Davis III made Jumper.,46,43
4:10,2737,Joshua Davenport made Dunk.,46,45
3:51,2737,Official TV Timeout,46,45
3:46,2737,Foul on Xavier Cooks.,46,45
3:22,231,Devin Sibley missed Jumper.,46,45
3:22,2737,Winthrop Defensive Rebound.,46,45
3:08,2737,Bjorn Broman made Three Point Jumper. Assisted by Xavier Cooks.,46,48
2:33,231,Furman  Timeout,46,48
2:32,231,Geoff Beans missed Three Point Jumper.,46,48
2:32,2737,Winthrop Deadball Team Rebound.,46,48
2:11,2737,Joshua Davenport Turnover.,46,48
2:10,231,Matt Rafferty Steal.,46,48
1:49,231,Devin Sibley Turnover.,46,48
1:48,2737,Xavier Cooks Steal.,46,48
1:37,2737,Keon Johnson missed Layup.,46,48
1:37,231,Matt Rafferty Block.,46,48
1:36,231,Devin Sibley Defensive Rebound.,46,48
1:16,231,Daniel Fowler missed Three Point Jumper.,46,48
1:16,2737,Joshua Davenport Defensive Rebound.,46,48
0:50,2737,Keon Johnson missed Three Point Jumper.,46,48
0:50,231,John Davis III Defensive Rebound.,46,48
0:36,231,Matt Rafferty made Jumper.,48,48
0:28,2737,Winthrop  Timeout,48,48
0:07,2737,Tevin Prescott missed Jumper.,48,48
0:07,231,Geoff Beans Defensive Rebound.,48,48
0:00,2737,End of 2nd half,48,48
4:31,231,John Davis III missed Three Point Jumper.,48,48
4:31,2737,Xavier Cooks Defensive Rebound.,48,48
4:09,2737,Xavier Cooks Turnover.,48,48
3:58,231,Devin Sibley made Layup.,50,48
3:40,2737,Keon Johnson made Jumper.,50,50
3:14,231,Devin Sibley made Three Point Jumper.,53,50
3:07,231,Foul on Devin Sibley.,53,50
3:07,2737,Official TV Timeout,53,50
3:07,2737,Keon Johnson made Free Throw.,53,51
3:07,2737,Keon Johnson made Free Throw.,53,52
2:57,231,Devin Sibley Turnover.,53,52
2:57,2737,Xavier Cooks Steal.,53,52
2:54,231,Foul on Daniel Fowler.,53,52
2:54,2737,Xavier Cooks made Free Throw.,53,53
2:54,2737,Xavier Cooks missed Free Throw.,53,53
2:54,231,Daniel Fowler Defensive Rebound.,53,53
2:28,231,Daniel Fowler missed Jumper.,53,53
2:28,2737,Xavier Cooks Defensive Rebound.,53,53
2:00,2737,Keon Johnson made Layup.,53,55
1:40,231,Geoff Beans missed Jumper.,53,55
1:40,231,Furman Offensive Rebound.,53,55
1:37,231,Furman  Timeout,53,55
1:14,231,Devin Sibley made Jumper.,55,55
0:45,2737,Xavier Cooks missed Jumper.,55,55
0:45,231,Geoff Beans Defensive Rebound.,55,55
0:26,231,Daniel Fowler made Jumper.,57,55
0:20,2737,Winthrop  Timeout,57,55
0:03,2737,Anders Broman made Three Point Jumper. Assisted by Keon Johnson.,57,58
0:01,231,Furman  Timeout,57,58
0:01,231,Matt Rafferty Turnover.,57,58
0:00,2737,Bjorn Broman Steal.,57,58
0:00,2737,End of Game,57,58
