Norfolk State,2350,Loyola-Chicago,2450
7:38,2450,Zaynah Robinson Turnover.,52,56
7:36,2350,Cameron Satterwhite Steal.,52,56
7:35,2350,Ben Richardson made Layup. Assisted by Cameron Satterwhite.,52,58
7:06,2450,Jonathan Wade missed Three Point Jumper.,52,58
7:06,2350,Clayton Custer Defensive Rebound.,52,58
7:00,2350,Cameron Satterwhite missed Layup.,52,58
7:00,2350,Ben Richardson Offensive Rebound.,52,58
6:44,2350,Clayton Custer made Layup.,52,60
6:26,2450,Jonathan Wade missed Jumper.,52,60
6:26,2350,Ben Richardson Block.,52,60
6:23,2350,Milton Doyle Defensive Rebound.,52,60
6:17,2350,Milton Doyle missed Layup.,52,60
6:17,2450,Zaynah Robinson Defensive Rebound.,52,60
5:48,2450,Alex Long Turnover.,52,60
5:47,2350,Milton Doyle Steal.,52,60
5:43,2350,Clayton Custer missed Three Point Jumper.,52,60
5:43,2450,Jordan Butler Defensive Rebound.,52,60
5:35,2450,Kyle Williams missed Three Point Jumper.,52,60
5:35,2350,Ben Richardson Defensive Rebound.,52,60
5:33,2350,Ben Richardson made Free Throw.,52,61
5:33,2350,Ben Richardson made Free Throw.,52,62
5:31,2450,Foul on Alex Long.,52,60
5:31,2450,Norfolk St  Timeout,52,60
5:16,2450,Jonathan Wade missed Layup.,52,62
5:16,2350,Ben Richardson Defensive Rebound.,52,62
4:54,2350,Milton Doyle missed Three Point Jumper.,52,62
4:54,2450,Kyle Williams Defensive Rebound.,52,62
4:38,2450,Jordan Butler Turnover.,52,62
4:21,2350,Clayton Custer made Three Point Jumper. Assisted by Milton Doyle.,52,65
3:50,2450,Jonathan Wade made Jumper. Assisted by Dan Robinson.,54,65
3:23,2450,Foul on Dan Robinson.,54,65
3:23,2350,Official TV Timeout,54,65
3:23,2350,Clayton Custer made Free Throw.,54,66
3:23,2350,Clayton Custer made Free Throw.,54,67
3:08,2450,Zaynah Robinson made Three Point Jumper. Assisted by Jonathan Wade.,57,67
2:33,2350,Aundre Jackson missed Jumper.,57,67
2:33,2450,Norfolk St Defensive Rebound.,57,67
2:06,2450,Zaynah Robinson missed Three Point Jumper.,57,67
2:06,2350,Cameron Satterwhite Defensive Rebound.,57,67
1:48,2450,Foul on Alex Long.,57,67
1:48,2350,Clayton Custer made Free Throw.,57,68
1:48,2350,Clayton Custer made Free Throw.,57,69
1:38,2450,Foul on Jonathan Wade.,57,69
1:38,2450,Jonathan Wade Turnover.,57,69
1:27,2350,Loyola (CHI)  Timeout,57,69
1:12,2350,Milton Doyle made Jumper. Assisted by Milton Doyle.,57,71
1:00,2350,Foul on Clayton Custer.,57,71
1:00,2450,Zaynah Robinson missed Free Throw.,57,71
1:00,2450,Norfolk St Deadball Team Rebound.,57,71
1:00,2450,Zaynah Robinson missed Free Throw.,57,71
1:00,2350,Milton Doyle Defensive Rebound.,57,71
0:54,2350,Aundre Jackson made Layup. Assisted by Ben Richardson.,57,73
0:43,2350,Foul on Cameron Satterwhite.,57,73
0:37,2450,Zaynah Robinson made Three Point Jumper.,60,73
0:35,2450,Foul on Jordan Butler.,60,73
0:35,2350,Vlatko Granic missed Free Throw.,60,73
0:35,2350,Loyola (CHI) Deadball Team Rebound.,60,73
0:35,2350,Vlatko Granic made Free Throw.,60,74
0:34,2450,Norfolk St  Timeout,60,73
0:29,2450,Zaynah Robinson made Layup.,62,74
0:25,2350,Bruno Skokna made Free Throw.,62,75
0:20,2450,Foul on Carrington Ward.,62,74
0:16,2450,Jordan Butler Turnover.,62,75
0:14,2350,Ben Richardson Steal.,62,75
0:00,2350,Bruno Skokna missed Free Throw.,62,74
0:00,2350,Loyola (CHI) Deadball Team Rebound.,62,74
0:00,2350,End of Game,62,74
