Sacred Heart,2217,Fairfield,2529
1:27,2529,Quincy McKnight Steal.,61,85
1:25,2529,Quincy McKnight made Dunk.,63,85
0:58,2217,Andrew Leone missed Jumper.,63,85
0:58,2217,Thomas Nolan Offensive Rebound.,63,85
0:41,2217,Thomas Nolan missed Three Point Jumper.,63,85
0:41,2217,Deniz Celen Offensive Rebound.,63,85
0:34,2217,Olivier Cadieux missed Three Point Jumper.,63,85
0:34,2217,Amadou Sidibe Offensive Rebound.,63,85
0:03,2217,Fairfield  Turnover.,63,85
0:00,2217,End of Game,63,85
