South Carolina State,2724,Wichita State,2569
16:52,2569,Tashombe Riley made Layup.,19,45
16:51,2724,Rashard Kelly Turnover.,19,45
16:51,2569,Damani Applewhite Steal.,19,45
16:51,2569,Greg Mortimer made Jumper.,21,45
16:05,2724,Zach Brown made Dunk. Assisted by Rauno Nurger.,21,47
15:45,2569,Ed Stephens missed Layup.,21,47
15:45,2724,Rashard Kelly Defensive Rebound.,21,47
15:20,2724,Rashard Kelly made Layup. Assisted by Zach Brown.,21,49
15:05,2569,"""Ej"" Eric Eaves made Layup.",23,49
14:48,2569,Foul on Tashombe Riley.,23,49
14:48,2724,Wichita St  Timeout,23,49
14:48,2724,Rauno Nurger made Free Throw.,23,50
14:48,2724,Rauno Nurger made Free Throw.,23,51
14:24,2569,Tashombe Riley missed Three Point Jumper.,23,51
14:24,2724,Daishon Smith Defensive Rebound.,23,51
13:59,2569,"Foul on ""Ej"" Eric Eaves.",23,51
13:59,2724,Darral Willis Jr. made Free Throw.,23,52
13:59,2724,Darral Willis Jr. made Free Throw.,23,53
13:28,2569,Foul on Raynor Janai Powell.,23,53
13:28,2569,Raynor Janai Powell Turnover.,23,53
13:15,2724,Daishon Smith missed Three Point Jumper.,23,53
13:15,2724,Austin Reaves Offensive Rebound.,23,53
12:54,2724,Rauno Nurger made Layup. Assisted by Markis McDuffie.,23,55
12:54,2569,Foul on Damani Applewhite.,23,55
12:54,2724,Rauno Nurger made Free Throw.,23,56
12:50,2569,Raynor Janai Powell Turnover.,23,56
12:46,2724,Daishon Smith Steal.,23,56
12:45,2724,Daishon Smith missed Three Point Jumper.,23,56
12:45,2724,Darral Willis Jr. Offensive Rebound.,23,56
12:42,2724,Darral Willis Jr. made Layup.,23,58
12:12,2569,"""Jj"" Jam Richardson Turnover.",23,58
12:11,2724,Markis McDuffie Steal.,23,58
12:07,2724,Markis McDuffie made Layup.,23,60
12:07,2569,Foul on Raynor Janai Powell.,23,60
12:07,2724,Markis McDuffie missed Free Throw.,23,60
12:07,2569,"""Jj"" Jam Richardson Defensive Rebound.",23,60
11:45,2569,"""Jj"" Jam Richardson missed Three Point Jumper.",23,60
11:45,2724,Markis McDuffie Defensive Rebound.,23,60
11:35,2724,Austin Reaves missed Three Point Jumper.,23,60
11:35,2724,Markis McDuffie Offensive Rebound.,23,60
11:13,2724,Markis McDuffie made Two Point Tip Shot.,23,62
11:13,2569,South Carolina St  Timeout,23,62
11:10,2569,Greg Mortimer made Three Point Jumper.,26,62
10:38,2724,C.J. Keyser missed Jumper.,26,62
10:38,2724,Austin Reaves Offensive Rebound.,26,62
10:34,2724,Eric Hamilton missed Jumper.,26,62
10:34,2569,Ian Kinard Defensive Rebound.,26,62
10:19,2569,"""Jj"" Jam Richardson Turnover.",26,62
10:18,2724,Austin Reaves Steal.,26,62
10:13,2724,Austin Reaves made Dunk.,26,64
9:58,2724,Foul on Daishon Smith.,26,64
9:48,2569,Greg Mortimer Turnover.,26,64
9:30,2724,Austin Reaves made Three Point Jumper. Assisted by Daishon Smith.,26,67
9:06,2569,Ed Stephens missed Three Point Jumper.,26,67
9:06,2724,Markis McDuffie Defensive Rebound.,26,67
8:59,2724,Markis McDuffie Turnover.,26,67
8:35,2724,Foul on Rashard Kelly.,26,67
8:29,2569,"""Ej"" Eric Eaves missed Layup.",26,67
8:29,2569,Tashombe Riley Offensive Rebound.,26,67
8:23,2569,Tashombe Riley made Dunk.,28,67
8:19,2724,Landry Shamet Turnover.,28,67
8:02,2724,Foul on Landry Shamet.,28,67
7:51,2724,Foul on Rashard Kelly.,28,67
7:51,2569,South Carolina St  Timeout,28,67
7:48,2724,Foul on John Robert Simon.,28,67
7:44,2569,"""Ej"" Eric Eaves missed Layup.",28,67
7:44,2724,Zach Brown Block.,28,67
7:42,2724,Wichita St Offensive Rebound.,28,67
7:41,2569,Tashombe Riley missed Jumper.,28,67
7:41,2724,Rashard Kelly Defensive Rebound.,28,67
7:41,2724,Darral Willis Jr. missed Layup.,28,67
7:41,2569,Ian Kinard Defensive Rebound.,28,67
7:41,2569,"Tashombe Riley made Layup. Assisted by ""Ej"" Eric Eaves.",30,67
7:03,2724,John Robert Simon made Layup.,30,69
6:27,2569,Ed Stephens missed Layup.,30,69
6:27,2724,Rashard Kelly Defensive Rebound.,30,69
6:20,2569,Foul on Ian Kinard.,30,69
6:20,2724,Darral Willis Jr. missed Free Throw.,30,69
6:20,2724,C.J. Keyser Offensive Rebound.,30,69
6:12,2724,Eric Hamilton missed Three Point Jumper.,30,69
6:12,2724,Landry Shamet Offensive Rebound.,30,69
6:05,2724,C.J. Keyser made Layup.,30,71
5:58,2724,Foul on C.J. Keyser.,30,71
5:58,2569,"""Ej"" Eric Eaves missed Free Throw.",30,71
5:58,2724,Eric Hamilton Defensive Rebound.,30,71
5:33,2724,Eric Hamilton missed Jumper.,30,71
5:33,2724,Eric Hamilton Offensive Rebound.,30,71
5:30,2569,Foul on Tashombe Riley.,30,71
5:30,2724,Eric Hamilton made Free Throw.,30,72
5:30,2724,Eric Hamilton missed Free Throw.,30,72
5:30,2569,South Carolina St Defensive Rebound.,30,72
5:29,2724,Foul on Darral Willis Jr..,30,72
5:29,2569,Ozante Fields made Free Throw.,31,72
5:29,2569,Ozante Fields made Free Throw.,32,72
5:27,2569,"Foul on ""Ej"" Eric Eaves.",32,72
5:27,2724,John Robert Simon missed Free Throw.,32,72
5:27,2724,Wichita St Deadball Team Rebound.,32,72
5:27,2724,John Robert Simon made Free Throw.,32,73
5:24,2724,Zach Brown missed Jumper.,32,73
5:24,2724,Eric Hamilton Defensive Rebound.,32,73
5:15,2724,Darral Willis Jr. missed Layup.,32,73
5:15,2724,Darral Willis Jr. Offensive Rebound.,32,73
5:12,2724,Eric Hamilton missed Jumper.,32,73
5:12,2569,Ozante Fields Defensive Rebound.,32,73
5:02,2569,Greg Mortimer missed Layup.,32,73
5:02,2724,Eric Hamilton Block.,32,73
5:00,2569,Ed Stephens Offensive Rebound.,32,73
4:54,2569,Greg Mortimer missed Layup.,32,73
4:54,2724,Austin Reaves Block.,32,73
4:52,2724,Austin Reaves Defensive Rebound.,32,73
4:49,2724,C.J. Keyser made Layup. Assisted by Austin Reaves.,32,75
4:41,2569,Greg Mortimer Turnover.,32,75
4:40,2724,John Robert Simon Steal.,32,75
4:32,2724,C.J. Keyser missed Three Point Jumper.,32,75
4:32,2569,Tashombe Riley Defensive Rebound.,32,75
4:11,2569,Greg Mortimer made Three Point Jumper. Assisted by Ed Stephens.,35,75
4:03,2569,South Carolina St  Timeout,35,75
3:49,2724,C.J. Keyser missed Three Point Jumper.,35,75
3:49,2724,Brett Barney Offensive Rebound.,35,75
3:43,2724,Brett Barney made Layup.,35,77
3:25,2569,Ed Stephens missed Three Point Jumper.,35,77
3:25,2724,Rauno Nurger Defensive Rebound.,35,77
3:24,2569,Foul on David Bottenberg.,35,77
3:24,2724,Wichita St  Timeout,35,77
3:24,2724,Rauno Nurger made Free Throw.,35,78
3:24,2724,Rauno Nurger made Free Throw.,35,79
3:08,2569,"""Ej"" Eric Eaves Turnover.",35,79
3:06,2724,Zach Bush Steal.,35,79
3:01,2724,Rauno Nurger made Three Point Jumper. Assisted by Kaelen Malone.,35,82
2:25,2569,Bobby Williams missed Three Point Jumper.,35,82
2:25,2724,Rauno Nurger Defensive Rebound.,35,82
2:18,2724,Brett Barney made Layup. Assisted by C.J. Keyser.,35,84
2:02,2569,"""Ej"" Eric Eaves made Jumper.",37,84
1:47,2724,Zach Bush missed Three Point Jumper.,37,84
1:47,2569,Bobby Williams Defensive Rebound.,37,84
1:39,2569,Damani Applewhite missed Three Point Jumper.,37,84
1:39,2724,Zach Bush Defensive Rebound.,37,84
1:22,2724,Zach Bush missed Three Point Jumper.,37,84
1:22,2724,Kaelen Malone Offensive Rebound.,37,84
1:15,2724,Kaelen Malone missed Jumper.,37,84
1:15,2569,South Carolina St Defensive Rebound.,37,84
0:57,2569,"""Jj"" Jam Richardson made Jumper.",39,84
0:45,2569,Foul on David Bottenberg.,39,84
0:45,2724,Eric Hamilton missed Free Throw.,39,84
0:45,2724,Wichita St Deadball Team Rebound.,39,84
0:45,2724,Eric Hamilton made Free Throw.,39,85
0:30,2569,Bobby Williams missed Layup.,39,85
0:30,2724,Eric Hamilton Defensive Rebound.,39,85
0:00,2724,End of Game,39,85
