Idaho State,167,New Mexico,304
15:07,167,Tim Williams made Free Throw.,46,46
15:07,167,Tim Williams missed Free Throw.,46,46
15:07,304,Ethan Telfair Defensive Rebound.,46,46
14:43,304,Geno Luzcando Turnover.,46,46
14:42,167,Sam Logwood Steal.,46,46
14:39,167,Sam Logwood made Layup.,46,48
14:17,167,Foul on Jordan Hunter.,46,48
14:08,304,Ethan Telfair made Three Point Jumper.,49,48
13:54,167,Elijah Brown Turnover.,49,48
13:44,304,Geno Luzcando Turnover.,49,48
13:23,167,Elijah Brown made Jumper. Assisted by Sam Logwood.,49,50
13:14,304,Ethan Telfair missed Layup.,49,50
13:14,167,Tim Williams Defensive Rebound.,49,50
13:04,304,Foul on Stephen Lennox.,49,50
13:04,167,Tim Williams made Free Throw.,49,51
13:04,167,Tim Williams made Free Throw.,49,52
12:48,167,Foul on Jalen Harris.,49,52
12:36,167,Foul on Jalen Harris.,49,52
12:29,304,Ethan Telfair missed Three Point Jumper.,49,52
12:29,167,Elijah Brown Defensive Rebound.,49,52
12:23,167,Elijah Brown made Layup.,49,54
12:23,304,Foul on Geno Luzcando.,49,54
12:23,167,Elijah Brown missed Free Throw.,49,54
12:23,304,Novak Topalovic Defensive Rebound.,49,54
12:10,167,Foul on Connor MacDougall.,49,54
11:43,304,Ethan Telfair made Jumper.,51,54
11:29,167,Damien Jefferson made Jumper.,51,56
11:18,304,Ethan Telfair made Layup.,53,56
11:06,167,Elijah Brown Turnover.,53,56
11:05,304,Ethan Telfair Steal.,53,56
10:58,304,Balint Mocsan missed Three Point Jumper.,53,56
10:58,167,Tim Williams Defensive Rebound.,53,56
10:50,304,Foul on Novak Topalovic.,53,56
10:50,167,New Mexico  Timeout,53,56
10:50,167,Elijah Brown made Free Throw.,53,57
10:50,167,Elijah Brown made Free Throw.,53,58
10:25,304,Novak Topalovic made Dunk. Assisted by Ethan Telfair.,55,58
10:09,167,Connor MacDougall Turnover.,55,58
10:08,304,Geno Luzcando Steal.,55,58
10:05,304,Geno Luzcando made Layup.,57,58
9:40,167,Tim Williams made Jumper. Assisted by Damien Jefferson.,57,60
9:26,304,Ethan Telfair Turnover.,57,60
9:03,167,Damien Jefferson missed Three Point Jumper.,57,60
9:03,167,Connor MacDougall Offensive Rebound.,57,60
9:00,167,Connor MacDougall made Layup.,57,62
8:41,304,Stephen Lennox missed Three Point Jumper.,57,62
8:41,167,Jordan Hunter Defensive Rebound.,57,62
8:36,167,Sam Logwood made Layup. Assisted by Jordan Hunter.,57,64
8:36,304,Foul on Balint Mocsan.,57,64
8:35,167,Sam Logwood made Free Throw.,57,65
8:20,304,Novak Topalovic made Dunk. Assisted by Ethan Telfair.,59,65
7:57,167,Sam Logwood Turnover.,59,65
7:57,304,Idaho State  Timeout,59,65
7:41,304,Technical Foul on Clark Wilkinson.,59,65
7:41,304,Foul on Clark Wilkinson.,59,65
7:41,167,Jordan Hunter missed Free Throw.,59,65
7:41,167,New Mexico Deadball Team Rebound.,59,65
7:41,167,Jordan Hunter made Free Throw.,59,66
7:41,304,Clark Wilkinson Turnover.,59,66
7:20,167,Sam Logwood made Three Point Jumper. Assisted by Jordan Hunter.,59,69
6:56,167,Foul on Connor MacDougall.,59,69
6:52,304,Ethan Telfair missed Three Point Jumper.,59,69
6:52,304,Robert Jones III Offensive Rebound.,59,69
6:48,304,Stephen Lennox Turnover.,59,69
6:34,167,Tim Williams made Jumper. Assisted by Sam Logwood.,59,71
6:22,304,Novak Topalovic missed Layup.,59,71
6:22,167,Connor MacDougall Block.,59,71
6:21,304,Ethan Telfair Offensive Rebound.,59,71
6:19,167,Foul on Connor MacDougall.,59,71
6:19,304,Ethan Telfair missed Free Throw.,59,71
6:19,167,Tim Williams Defensive Rebound.,59,71
6:19,304,Ethan Telfair missed Jumper.,59,71
6:19,304,Ethan Telfair Offensive Rebound.,59,71
5:59,167,Jordan Hunter missed Three Point Jumper.,59,71
5:59,167,Connor MacDougall Offensive Rebound.,59,71
5:53,167,Sam Logwood Turnover.,59,71
5:37,304,Geno Luzcando made Layup. Assisted by Ethan Telfair.,61,71
5:20,167,Connor MacDougall missed Jumper.,61,71
5:20,304,Ethan Telfair Defensive Rebound.,61,71
5:08,304,Balint Mocsan made Three Point Jumper. Assisted by Ethan Telfair.,64,71
5:07,167,New Mexico  Timeout,64,71
4:56,304,Foul on Ethan Telfair.,64,71
4:56,167,Xavier Adams made Free Throw.,64,72
4:56,167,Xavier Adams missed Free Throw.,64,72
4:56,167,Tim Williams Offensive Rebound.,64,72
4:44,167,Tim Williams missed Layup.,64,72
4:44,304,Novak Topalovic Defensive Rebound.,64,72
4:37,304,Ethan Telfair Turnover.,64,72
4:35,167,Jordan Hunter Steal.,64,72
4:19,167,Tim Williams made Layup. Assisted by Elijah Brown.,64,74
3:57,304,Robert Jones III made Three Point Jumper. Assisted by Ethan Telfair.,67,74
3:40,167,Elijah Brown missed Three Point Jumper.,67,74
3:40,304,Novak Topalovic Defensive Rebound.,67,74
3:29,304,Foul on Ethan Telfair.,67,74
3:29,304,Ethan Telfair Turnover.,67,74
3:29,167,New Mexico  Timeout,67,74
3:18,167,Tim Williams missed Jumper.,67,74
3:18,167,Xavier Adams Offensive Rebound.,67,74
3:15,167,Xavier Adams missed Layup.,67,74
3:15,167,Tim Williams Offensive Rebound.,67,74
3:13,167,Tim Williams missed Two Point Tip Shot.,67,74
3:13,167,Xavier Adams Offensive Rebound.,67,74
3:03,167,Xavier Adams made Layup.,67,76
2:32,304,Geno Luzcando missed Three Point Jumper.,67,76
2:32,167,Tim Williams Defensive Rebound.,67,76
2:27,167,Xavier Adams missed Jumper.,67,76
2:27,304,Ethan Telfair Defensive Rebound.,67,76
2:21,304,Ethan Telfair missed Layup.,67,76
2:21,167,Jordan Hunter Defensive Rebound.,67,76
2:14,167,Sam Logwood made Dunk. Assisted by Jordan Hunter.,67,78
2:05,304,Geno Luzcando Turnover.,67,78
2:04,167,Tim Williams Steal.,67,78
2:02,167,Tim Williams Turnover.,67,78
2:01,304,Robert Jones III Steal.,67,78
1:45,304,Ethan Telfair made Jumper.,69,78
1:14,167,Xavier Adams Turnover.,69,78
1:13,304,Ethan Telfair Steal.,69,78
1:09,304,Geno Luzcando missed Layup.,69,78
1:09,167,Jordan Hunter Defensive Rebound.,69,78
1:04,167,Tim Williams made Dunk. Assisted by Jordan Hunter.,69,80
0:47,304,Idaho State  Timeout,69,80
0:33,167,Foul on Elijah Brown.,69,80
0:33,304,Ethan Telfair made Free Throw.,70,80
0:33,304,Ethan Telfair missed Free Throw.,70,80
0:33,167,Tim Williams Defensive Rebound.,70,80
0:19,304,Foul on Balint Mocsan.,70,80
0:19,167,Jordan Hunter missed Free Throw.,70,80
0:19,167,New Mexico Deadball Team Rebound.,70,80
0:19,167,Jordan Hunter made Free Throw.,70,81
0:08,304,Ethan Telfair missed Layup.,70,81
0:08,304,Novak Topalovic Offensive Rebound.,70,81
0:06,304,Novak Topalovic missed Layup.,70,81
0:06,167,Xavier Adams Defensive Rebound.,70,81
0:00,167,End of Game,70,81
