Eastern Illinois,71,Bradley,2197
9:58,71,Darrell Brown missed Three Point Jumper.,38,48
9:58,71,Ryan Stipanovich Offensive Rebound.,38,48
9:41,71,Elijah Childs made Layup.,38,50
9:25,2197,Montell Goodwin missed Three Point Jumper.,38,50
9:25,71,JoJo McGlaston Defensive Rebound.,38,50
9:18,71,JoJo McGlaston Turnover.,38,50
9:01,2197,D'Angelo Jackson Turnover.,38,50
9:00,71,JoJo McGlaston Steal.,38,50
8:50,71,Elijah Childs missed Jumper.,38,50
8:50,2197,Jajuan Starks Block.,38,50
8:49,71,Bradley Offensive Rebound.,38,50
8:47,71,Donte Thomas Turnover.,38,50
8:47,71,Foul on Donte Thomas.,38,50
8:27,2197,D'Angelo Jackson made Layup.,40,50
8:13,71,Darrell Brown Turnover.,40,50
8:06,2197,Montell Goodwin missed Three Point Jumper.,40,50
8:06,2197,Ray Crossland Offensive Rebound.,40,50
8:02,2197,Ray Crossland made Jumper.,42,50
7:51,71,Elijah Childs made Three Point Jumper. Assisted by Dwayne Lautier-Ogunleye.,42,53
7:33,2197,Jajuan Starks missed Jumper.,42,53
7:33,71,Dwayne Lautier-Ogunleye Defensive Rebound.,42,53
7:25,71,Dwayne Lautier-Ogunleye missed Three Point Jumper.,42,53
7:25,2197,Montell Goodwin Defensive Rebound.,42,53
7:11,71,Foul on Dwayne Lautier-Ogunleye.,42,53
7:09,2197,Muusa Dama made Free Throw.,43,53
7:09,2197,Muusa Dama made Free Throw.,44,53
7:00,71,Koch Bar Turnover.,44,53
7:00,71,Foul on Koch Bar.,44,53
6:50,2197,Muusa Dama Turnover.,44,53
6:50,2197,Foul on Muusa Dama.,44,53
6:44,2197,Foul on Ray Crossland.,44,53
6:44,71,Jayden Hodgson missed Free Throw.,44,53
6:44,71,Elijah Childs Offensive Rebound.,44,53
6:31,71,Darrell Brown Turnover.,44,53
6:06,2197,Montell Goodwin Turnover.,44,53
6:04,71,Dwayne Lautier-Ogunleye Steal.,44,53
6:01,71,Dwayne Lautier-Ogunleye Turnover.,44,53
6:00,2197,Ray Crossland Steal.,44,53
5:44,2197,Ray Crossland missed Jumper.,44,53
5:44,71,Nate Kennell Defensive Rebound.,44,53
5:42,2197,Foul on Jajuan Starks.,44,53
5:42,71,Nate Kennell made Free Throw.,44,54
5:42,71,Nate Kennell made Free Throw.,44,55
5:28,2197,D'Angelo Jackson Turnover.,44,55
5:28,71,Nate Kennell Steal.,44,55
5:28,71,Bradley  Timeout,44,55
5:11,71,Dwayne Lautier-Ogunleye missed Layup.,44,55
5:11,71,Elijah Childs Offensive Rebound.,44,55
5:09,71,Elijah Childs missed Jumper.,44,55
5:09,2197,Muusa Dama Defensive Rebound.,44,55
5:03,71,Foul on Elijah Childs.,44,55
5:03,2197,D'Angelo Jackson made Free Throw.,45,55
5:03,2197,D'Angelo Jackson missed Free Throw.,45,55
5:03,71,Dwayne Lautier-Ogunleye Defensive Rebound.,45,55
4:41,71,Elijah Childs made Layup. Assisted by Dwayne Lautier-Ogunleye.,45,57
4:31,2197,Eastern Illinois  Timeout,45,57
4:25,2197,Terrell Lewis missed Three Point Jumper.,45,57
4:25,71,Elijah Childs Defensive Rebound.,45,57
3:56,71,Elijah Childs Turnover.,45,57
3:56,71,Official TV Timeout,45,57
3:41,2197,Muusa Dama made Layup.,47,57
3:41,71,Foul on Elijah Childs.,47,57
3:41,2197,Muusa Dama made Free Throw.,48,57
3:26,71,Jayden Hodgson made Jumper.,48,59
3:01,2197,Ray Crossland missed Three Point Jumper.,48,59
3:01,2197,Muusa Dama Offensive Rebound.,48,59
2:54,2197,Terrell Lewis made Three Point Jumper. Assisted by Jajuan Starks.,51,59
2:38,2197,Foul on Ray Crossland.,51,59
2:38,71,Darrell Brown made Free Throw.,51,60
2:38,71,Darrell Brown made Free Throw.,51,61
2:30,2197,Montell Goodwin made Jumper.,53,61
1:54,71,Darrell Brown missed Jumper.,53,61
1:54,71,Donte Thomas Offensive Rebound.,53,61
1:49,71,Darrell Brown missed Three Point Jumper.,53,61
1:49,2197,Montell Goodwin Defensive Rebound.,53,61
1:37,2197,Terrell Lewis missed Three Point Jumper.,53,61
1:37,2197,Ray Crossland Offensive Rebound.,53,61
1:35,71,Foul on Nate Kennell.,53,61
1:35,2197,Ray Crossland missed Free Throw.,53,61
1:35,2197,Eastern Illinois Deadball Team Rebound.,53,61
1:35,2197,Ray Crossland made Free Throw.,54,61
1:10,71,Elijah Childs missed Three Point Jumper.,54,61
1:10,71,Elijah Childs Offensive Rebound.,54,61
