Georgia,2239,CS Fullerton,61
6:25,2239,Foul on Jamal Smith.,43,43
6:25,61,Yante Maten missed Free Throw.,43,43
6:25,61,Georgia Deadball Team Rebound.,43,43
6:25,61,Yante Maten made Free Throw.,44,43
6:03,2239,Jamal Smith missed Jumper.,44,43
6:00,2239,CSU Fullerton Offensive Rebound.,44,43
5:52,2239,Kyle Allman missed Layup.,44,43
5:52,61,Juwan Parker Defensive Rebound.,44,43
5:33,61,William Jackson II missed Jumper.,44,43
5:33,61,Yante Maten Offensive Rebound.,44,43
5:31,2239,Foul on Jackson Rowe.,44,43
5:31,61,Yante Maten made Free Throw.,45,43
5:31,61,Yante Maten made Free Throw.,46,43
5:12,61,Foul on Yante Maten.,46,43
5:12,2239,Kyle Allman made Free Throw.,46,44
5:12,2239,Kyle Allman made Free Throw.,46,45
4:46,61,Juwan Parker missed Jumper.,46,45
4:46,2239,Austen Awosika Defensive Rebound.,46,45
4:39,2239,Austen Awosika missed Layup.,46,45
4:39,61,William Jackson II Block.,46,45
4:38,2239,CSU Fullerton Offensive Rebound.,46,45
4:20,2239,Kyle Allman missed Jumper.,46,45
4:20,61,Juwan Parker Defensive Rebound.,46,45
4:18,2239,Foul on Jackson Rowe.,46,45
4:18,61,Juwan Parker missed Free Throw.,46,45
4:18,61,Georgia Deadball Team Rebound.,46,45
4:18,61,Juwan Parker made Free Throw.,47,45
3:46,2239,Khalil Ahmad missed Three Point Jumper.,47,45
3:46,61,Georgia Deadball Team Rebound.,47,45
3:46,2239,Official TV Timeout,47,45
3:46,2239,Official TV Timeout,47,45
3:18,61,Yante Maten made Jumper.,49,45
2:47,2239,Kyle Allman made Three Point Jumper. Assisted by Khalil Ahmad.,49,48
2:18,61,Yante Maten made Jumper. Assisted by Rayshaun Hammonds.,51,48
2:17,2239,Foul on Khalil Ahmad.,51,48
2:17,61,Yante Maten made Free Throw.,52,48
2:17,61,Georgia  Timeout,52,48
2:06,61,Foul on Nicolas Claxton.,52,48
2:06,2239,Jackson Rowe missed Free Throw.,52,48
2:06,2239,CSU Fullerton Deadball Team Rebound.,52,48
2:06,2239,Jackson Rowe made Free Throw.,52,49
1:40,61,Yante Maten made Three Point Jumper. Assisted by William Jackson II.,55,49
1:20,61,Foul on Nicolas Claxton.,55,49
1:20,2239,Jackson Rowe missed Free Throw.,55,49
1:20,2239,CSU Fullerton Deadball Team Rebound.,55,49
1:20,2239,Jackson Rowe made Free Throw.,55,50
1:20,2239,CSU Fullerton  Timeout,55,50
1:15,2239,Foul on Kyle Allman.,55,50
1:15,61,Juwan Parker made Free Throw.,56,50
1:15,61,Juwan Parker made Free Throw.,57,50
1:01,2239,Jamal Smith Turnover.,57,50
1:00,2239,Foul on Dwight Ramos.,57,50
