Coastal Carolina,333,Alabama,324
11:32,333,Foul on Braxton Key.,40,50
11:18,324,Elijah Wilson Turnover.,40,50
11:17,333,Dazon Ingram Steal.,40,50
10:57,333,Shannon Hale missed Three Point Jumper.,40,50
10:57,324,Jaylen Shaw Defensive Rebound.,40,50
10:45,324,Elijah Wilson missed Three Point Jumper.,40,50
10:45,324,Colton Ray-St Cyr Offensive Rebound.,40,50
10:33,324,Jaylen Shaw missed Layup.,40,50
10:33,324,Coastal Carolina Offensive Rebound.,40,50
10:28,324,Joseph Williams-Powell made Jumper.,42,50
10:14,324,Foul on Joseph Williams-Powell.,42,50
10:14,333,Shannon Hale made Free Throw.,42,51
10:14,333,Shannon Hale made Free Throw.,42,52
9:45,324,Elijah Wilson missed Three Point Jumper.,42,52
9:45,333,Donta Hall Defensive Rebound.,42,52
9:27,333,Braxton Key Turnover.,42,52
9:26,324,Elijah Wilson Steal.,42,52
8:59,324,Jaylen Shaw made Jumper.,44,52
8:47,333,Shannon Hale Turnover.,44,52
8:19,324,Jaylen Shaw missed Layup.,44,52
8:19,324,Joseph Williams-Powell Offensive Rebound.,44,52
8:15,324,Joseph Williams-Powell made Two Point Tip Shot.,46,52
8:00,333,Ar'Mond Davis missed Three Point Jumper.,46,52
8:00,324,Elijah Wilson Defensive Rebound.,46,52
7:39,333,Foul on Ar'Mond Davis.,46,52
7:39,333,Official TV Timeout,46,52
7:24,324,Amidou Bamba made Jumper.,48,52
6:56,333,Jimmie Taylor missed Jumper.,48,52
6:56,324,Elijah Wilson Defensive Rebound.,48,52
6:31,324,Colton Ray-St Cyr Turnover.,48,52
6:30,333,Jimmie Taylor Steal.,48,52
6:16,333,Corban Collins missed Three Point Jumper.,48,52
6:16,333,Bola Olaniyan Offensive Rebound.,48,52
6:09,333,Alabama  Timeout,48,52
5:53,333,Corban Collins made Three Point Jumper. Assisted by Braxton Key.,48,55
5:22,324,Elijah Wilson missed Three Point Jumper.,48,55
5:22,333,Braxton Key Defensive Rebound.,48,55
5:09,333,Braxton Key made Layup. Assisted by Dazon Ingram.,48,57
4:50,324,Elijah Wilson missed Jumper.,48,57
4:50,333,Bola Olaniyan Defensive Rebound.,48,57
4:43,333,Dazon Ingram made Three Point Jumper. Assisted by Corban Collins.,48,60
4:27,324,Demario Beck made Three Point Jumper. Assisted by Colton Ray-St Cyr.,51,60
3:56,333,Riley Norris made Three Point Jumper. Assisted by Dazon Ingram.,51,63
3:43,324,Coastal Carolina  Timeout,51,63
3:18,324,Elijah Wilson Turnover.,51,63
3:17,333,Braxton Key Steal.,51,63
3:15,333,Braxton Key made Layup.,51,65
2:59,324,Jaylen Shaw missed Jumper.,51,65
2:59,333,Corban Collins Defensive Rebound.,51,65
2:50,324,Foul on Colton Ray-St Cyr.,51,65
2:50,333,Bola Olaniyan made Free Throw.,51,66
2:50,333,Bola Olaniyan missed Free Throw.,51,66
2:50,324,Amidou Bamba Defensive Rebound.,51,66
2:33,324,Jaylen Shaw missed Layup.,51,66
2:33,333,Riley Norris Block.,51,66
2:31,333,Braxton Key Defensive Rebound.,51,66
2:05,324,Foul on Amidou Bamba.,51,66
2:05,333,Riley Norris made Free Throw.,51,67
2:05,333,Riley Norris made Free Throw.,51,68
1:49,324,Elijah Wilson missed Jumper.,51,68
1:49,333,Corban Collins Defensive Rebound.,51,68
1:24,333,Riley Norris missed Jumper.,51,68
1:24,324,Jaylan Robertson Defensive Rebound.,51,68
1:20,333,Foul on Braxton Key.,51,68
1:20,324,Jaylan Robertson missed Free Throw.,51,68
1:20,333,Alabama Defensive Rebound.,51,68
0:55,333,Bola Olaniyan made Layup. Assisted by Braxton Key.,51,70
0:46,324,Colton Ray-St Cyr made Layup.,53,70
0:28,333,Avery Johnson Jr. Turnover.,53,70
0:22,324,Jaylan Robertson missed Jumper.,53,70
0:22,324,Colton Ray-St Cyr Offensive Rebound.,53,70
0:16,324,Colton Ray-St Cyr missed Three Point Jumper.,53,70
0:16,333,Ar'Mond Davis Defensive Rebound.,53,70
0:00,333,End of Game,53,70
