Utah State,300,UC Irvine,328
2:31,328,Foul on Ngor Barnaba.,70,50
2:31,300,Brad Greene missed Free Throw.,70,50
2:31,300,UC Irvine Deadball Team Rebound.,70,50
2:31,300,Brad Greene made Free Throw.,70,51
2:16,328,Shane Rector Turnover.,70,51
2:00,300,Tommy Rutherford made Jumper. Assisted by Darrian Traylor.,70,53
1:31,328,Norbert Janicek made Jumper.,72,53
1:14,300,John Edgar Jr. missed Three Point Jumper.,72,53
1:14,328,Julion Pearre Defensive Rebound.,72,53
0:56,328,Julion Pearre missed Three Point Jumper.,72,53
0:56,300,Max Hazzard Defensive Rebound.,72,53
0:51,300,Max Hazzard missed Jumper.,72,53
0:51,328,Koby McEwen Block.,72,53
0:49,328,Sam Merrill Defensive Rebound.,72,53
0:30,300,Foul on Tommy Rutherford.,72,53
0:30,328,Koby McEwen missed Free Throw.,72,53
0:30,328,Utah State Deadball Team Rebound.,72,53
0:30,328,Koby McEwen missed Free Throw.,72,53
0:30,300,Brad Greene Defensive Rebound.,72,53
0:10,300,Eyassu Worku made Three Point Jumper. Assisted by John Edgar Jr..,72,56
0:00,300,End of Game,72,56
