Incarnate Word,2447,Nicholls,2916
3:43,2447,Nicholls Deadball Team Rebound.,50,68
3:43,2447,Official TV Timeout,50,68
3:22,2447,Kevin Johnson made Layup. Assisted by Tevon Saddler.,50,70
3:11,2916,Sam Burmeister Turnover.,50,70
3:10,2447,Kevin Johnson Steal.,50,70
3:07,2447,Kevin Johnson missed Dunk.,50,70
3:07,2916,Shawn Johnson Defensive Rebound.,50,70
3:03,2916,Shawn Johnson Turnover.,50,70
3:02,2447,Kevin Johnson Steal.,50,70
2:39,2447,Tevon Saddler missed Three Point Jumper.,50,70
2:39,2447,Ryghe Lyons Offensive Rebound.,50,70
2:16,2447,Tevon Saddler Turnover.,50,70
2:15,2916,Jalin Hart Steal.,50,70
2:14,2916,Jalin Hart made Layup.,52,70
1:58,2916,Foul on Konstantin Kulikov.,52,70
1:58,2447,Tevon Saddler made Free Throw.,52,71
1:58,2447,Tevon Saddler made Free Throw.,52,72
1:38,2916,Shawn Johnson made Three Point Jumper. Assisted by Konstantin Kulikov.,55,72
1:10,2447,Kimani Jackson made Jumper. Assisted by Tevon Saddler.,55,74
0:54,2916,Sam Burmeister made Three Point Jumper. Assisted by Shawn Johnson.,58,74
0:31,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Tevon Saddler.,58,77
0:17,2916,Jalin Hart missed Three Point Jumper.,58,77
0:17,2916,Christian Peevy Offensive Rebound.,58,77
0:12,2916,Christian Peevy made Dunk.,60,77
0:00,2447,End of Game,60,77
