Northwestern,2086,Butler,77
4:18,2086,Kelan Martin made Free Throw.,63,61
3:54,2086,Foul on Andrew Chrabascz.,63,61
3:54,2086,Official TV Timeout,63,61
3:53,77,Bryant McIntosh Turnover.,63,61
3:53,2086,Andrew Chrabascz Steal.,63,61
3:47,2086,Kelan Martin missed Three Point Jumper.,63,61
3:47,77,Sanjay Lumpkin Defensive Rebound.,63,61
3:26,77,Scottie Lindsey Turnover.,63,61
3:07,77,Foul on Dererk Pardon.,63,61
3:07,2086,Kelan Martin made Free Throw.,63,62
3:07,2086,Kelan Martin made Free Throw.,63,63
2:55,77,Bryant McIntosh missed Layup.,63,63
2:55,2086,Kamar Baldwin Block.,63,63
2:55,77,Northwestern Offensive Rebound.,63,63
2:52,77,Vic Law missed Three Point Jumper.,63,63
2:52,2086,Sean McDermott Defensive Rebound.,63,63
2:35,2086,Andrew Chrabascz made Jumper.,63,65
2:04,2086,Foul on Tyler Wideman.,63,65
2:02,2086,Foul on Tyler Wideman.,63,65
2:02,77,Bryant McIntosh made Free Throw.,64,65
2:02,77,Bryant McIntosh made Free Throw.,65,65
1:51,77,Foul on Dererk Pardon.,65,65
1:51,2086,Tyler Wideman made Free Throw.,65,66
1:51,2086,Tyler Wideman made Free Throw.,65,67
1:43,77,Sanjay Lumpkin made Layup. Assisted by Scottie Lindsey.,67,67
1:21,2086,Foul on Kelan Martin.,67,67
1:21,2086,Kelan Martin Turnover.,67,67
1:05,77,Sanjay Lumpkin missed Jumper.,67,67
1:05,2086,Andrew Chrabascz Block.,67,67
1:05,77,Gavin Skelly Offensive Rebound.,67,67
1:03,2086,Foul on Kamar Baldwin.,67,67
1:03,77,Gavin Skelly made Free Throw.,68,67
1:03,77,Gavin Skelly missed Free Throw.,68,67
1:03,2086,Kelan Martin Defensive Rebound.,68,67
0:57,2086,Butler  Timeout,68,67
0:53,77,Foul on Vic Law.,68,67
0:53,2086,Andrew Chrabascz missed Free Throw.,68,67
0:53,2086,Butler Deadball Team Rebound.,68,67
0:53,2086,Andrew Chrabascz made Free Throw.,68,68
0:33,77,Bryant McIntosh Turnover.,68,68
0:33,2086,Kamar Baldwin Steal.,68,68
0:13,2086,Butler  Timeout,68,68
0:05,2086,Kamar Baldwin made Jumper.,68,70
0:00,2086,End of Game,68,70
