Colgate,171,Columbia,2142
1:56,2142,Jordan Swopshire made Three Point Jumper. Assisted by Nathan Harries.,63,65
1:41,171,Mike Smith missed Layup.,63,65
1:41,2142,Jordan Swopshire Defensive Rebound.,63,65
1:28,2142,Will Rayman missed Jumper.,63,65
1:28,171,Quinton Adlesh Defensive Rebound.,63,65
1:07,2142,Foul on Francisco Amiel.,63,65
1:07,171,Nate Hickman made Free Throw.,63,66
1:07,171,Nate Hickman made Free Throw.,63,67
0:54,171,Foul on Lukas Meisner.,63,67
0:54,2142,Jordan Swopshire made Free Throw.,64,67
0:54,2142,Jordan Swopshire missed Free Throw.,64,67
0:54,171,Luke Petrasek Defensive Rebound.,64,67
0:26,171,Nate Hickman missed Jumper.,64,67
0:26,171,Nate Hickman Offensive Rebound.,64,67
0:22,171,Nate Hickman missed Layup.,64,67
0:22,2142,Jordan Swopshire Defensive Rebound.,64,67
0:14,2142,Will Rayman missed Three Point Jumper.,64,67
0:14,171,Mike Smith Defensive Rebound.,64,67
0:14,171,Mike Smith Turnover.,64,67
0:05,2142,Sean O'Brien made Three Point Jumper. Assisted by Jordan Swopshire.,67,67
0:00,171,End of 2nd half,67,67
4:40,171,Nate Hickman made Jumper.,67,69
4:17,171,Foul on Rodney Hunter.,67,69
4:17,2142,Nathan Harries made Free Throw.,68,69
4:17,2142,Nathan Harries made Free Throw.,69,69
3:56,171,Luke Petrasek made Jumper.,69,71
3:56,2142,Foul on Jordan Swopshire.,69,71
3:56,171,Luke Petrasek made Free Throw.,69,72
3:43,2142,Foul on Will Rayman.,69,72
3:43,2142,Will Rayman Turnover.,69,72
3:18,171,Mike Smith Turnover.,69,72
3:06,171,Foul on CJ Davis.,69,72
3:06,2142,Nathan Harries missed Free Throw.,69,72
3:06,2142,Colgate Deadball Team Rebound.,69,72
3:06,2142,Nathan Harries missed Free Throw.,69,72
3:06,171,Luke Petrasek Defensive Rebound.,69,72
2:42,2142,Foul on Tom Rivard.,69,72
2:42,171,Luke Petrasek made Free Throw.,69,73
2:42,171,Luke Petrasek made Free Throw.,69,74
2:37,2142,Sean O'Brien made Layup.,71,74
2:14,171,Mike Smith missed Layup.,71,74
