Marshall,356,Illinois,276
7:44,356,Illinois  Timeout,55,74
7:17,356,Te'Jon Lucas missed Jumper.,55,74
7:17,276,Ajdin Penava Defensive Rebound.,55,74
7:12,276,C.J. Burks Turnover.,55,74
6:54,356,Michael Finke made Three Point Jumper. Assisted by Te'Jon Lucas.,55,77
6:36,276,C.J. Burks missed Jumper.,55,77
6:36,356,Mark Smith Defensive Rebound.,55,77
6:28,356,Mark Smith missed Jumper.,55,77
6:28,276,Marshall Defensive Rebound.,55,77
6:11,276,Dani Koljanin made Three Point Jumper. Assisted by Ajdin Penava.,58,77
5:55,356,Illinois  Turnover.,58,77
5:47,276,Jarrod West made Three Point Jumper. Assisted by Jon Elmore.,61,77
5:34,356,Aaron Jordan made Three Point Jumper. Assisted by Te'Jon Lucas.,61,80
5:13,276,Dani Koljanin Turnover.,61,80
5:13,356,Da'Monte Williams Steal.,61,80
5:11,356,Leron Black made Layup. Assisted by Te'Jon Lucas.,61,82
5:02,276,Jon Elmore missed Three Point Jumper.,61,82
5:02,276,Marshall Deadball Team Rebound.,61,82
5:01,356,Foul on Leron Black.,61,82
4:46,276,Jon Elmore missed Three Point Jumper.,61,82
4:46,356,Illinois Deadball Team Rebound.,61,82
4:43,276,Foul on Darius George.,61,82
4:43,356,Aaron Jordan made Free Throw.,61,83
4:43,356,Aaron Jordan missed Free Throw.,61,83
4:43,276,Dani Koljanin Defensive Rebound.,61,83
4:35,356,Foul on Mark Alstork.,61,83
4:35,276,Jon Elmore made Free Throw.,62,83
4:35,276,Jon Elmore made Free Throw.,63,83
4:16,356,Mark Smith Turnover.,63,83
4:09,276,Jarrod West missed Three Point Jumper.,63,83
4:09,356,Kipper Nichols Defensive Rebound.,63,83
4:07,276,Foul on Jarrod West.,63,83
4:07,356,Kipper Nichols missed Free Throw.,63,83
4:07,276,Dani Koljanin Defensive Rebound.,63,83
3:59,276,Darius George made Layup. Assisted by Dani Koljanin.,65,83
3:37,356,Leron Black missed Jumper.,65,83
3:37,276,Phil Bledsoe Defensive Rebound.,65,83
3:26,276,Phil Bledsoe made Jumper. Assisted by Jarrod West.,67,83
3:18,356,Illinois  Timeout,67,83
3:09,356,Foul on Te'Jon Lucas.,67,83
3:09,356,Te'Jon Lucas Turnover.,67,83
2:59,276,Jon Elmore Turnover.,67,83
2:54,356,Da'Monte Williams Steal.,67,83
2:53,356,Te'Jon Lucas made Layup.,67,85
2:33,356,Foul on Da'Monte Williams.,67,85
2:33,276,Jarrod West made Free Throw.,68,85
2:33,276,Jarrod West missed Free Throw.,68,85
2:33,356,Kipper Nichols Defensive Rebound.,68,85
2:29,356,Kipper Nichols made Free Throw.,68,87
2:29,356,Kipper Nichols made Free Throw.,68,86
2:29,276,Foul on Phil Bledsoe.,68,86
2:22,276,Jon Elmore Turnover.,68,87
1:59,356,Mark Smith missed Jumper.,68,87
1:59,276,Jon Elmore Defensive Rebound.,68,87
1:50,276,Phil Bledsoe missed Jumper.,68,87
1:46,356,Da'Monte Williams Defensive Rebound.,68,87
1:46,356,Da'Monte Williams missed Free Throw.,68,87
1:46,356,Illinois Deadball Team Rebound.,68,87
1:46,356,Da'Monte Williams made Free Throw.,68,88
1:37,276,Jarrod West made Layup.,70,88
1:07,356,Matic Vesel missed Layup.,70,88
1:07,356,Drew Cayce Offensive Rebound.,70,88
1:02,356,Illinois  Timeout,70,88
0:56,276,Foul on Jarrod West.,70,88
0:56,356,Trent Frazier missed Free Throw.,70,88
0:56,356,Illinois Deadball Team Rebound.,70,88
0:56,356,Trent Frazier made Free Throw.,70,89
0:48,356,Foul on Cameron Liss.,70,89
0:48,276,Jon Elmore made Free Throw.,71,89
0:48,276,Jon Elmore made Free Throw.,72,89
0:24,356,Trent Frazier made Layup.,72,91
0:07,356,Foul on Drew Cayce.,72,91
0:07,276,Jarrod West made Free Throw.,73,91
0:07,276,Jarrod West made Free Throw.,74,91
0:00,356,End of Game,74,91
