Elon,282,Indiana State,2210
14:28,282,Brandon Murphy Offensive Rebound.,46,34
14:24,282,Brandon Murphy missed Two Point Tip Shot.,46,34
14:24,2210,Brian Dawkins Defensive Rebound.,46,34
14:06,2210,Brian Dawkins missed Layup.,46,34
14:06,282,Emondre Rickman Defensive Rebound.,46,34
13:56,282,Emondre Rickman Turnover.,46,34
13:56,282,Foul on Emondre Rickman.,46,34
13:33,2210,Tyler Seibring missed Jumper.,46,34
13:33,282,Emondre Rickman Defensive Rebound.,46,34
13:26,282,Jordan Barnes made Layup.,46,36
13:09,282,Foul on Emondre Rickman.,46,36
13:02,2210,Steven Santa Ana missed Three Point Jumper.,46,36
13:02,282,Qiydar Davis Defensive Rebound.,46,36
12:58,282,Brenton Scott made Three Point Jumper. Assisted by Jordan Barnes.,46,39
12:25,2210,Karolis Kundrotas missed Jumper.,46,39
12:25,282,Qiydar Davis Block.,46,39
12:23,282,Jordan Barnes Defensive Rebound.,46,39
12:19,282,Matt Deady missed Layup.,46,39
12:19,2210,Simon Wright Defensive Rebound.,46,39
12:12,2210,Nathan Priddy Turnover.,46,39
12:10,282,Matt Deady Steal.,46,39
12:09,282,Matt Deady made Layup.,46,41
12:09,2210,Foul on Nathan Priddy.,46,41
12:09,2210,Elon  Timeout,46,41
12:09,282,Official TV Timeout,46,41
12:09,282,Matt Deady made Free Throw.,46,42
12:02,2210,Simon Wright Turnover.,46,42
11:58,282,Tyreke Key Steal.,46,42
11:45,282,Jordan Barnes made Three Point Jumper. Assisted by Matt Deady.,46,45
11:10,2210,Elon  Turnover.,46,45
11:09,282,Official TV Timeout,46,45
11:01,282,Tyreke Key missed Layup.,46,45
11:01,2210,Dmitri Thompson Defensive Rebound.,46,45
10:35,2210,Brian Dawkins made Jumper.,48,45
10:18,282,Qiydar Davis missed Jumper.,48,45
10:18,2210,Dmitri Thompson Defensive Rebound.,48,45
10:07,2210,Sheldon Eberhardt missed Jumper.,48,45
10:07,282,Bronson Kessinger Block.,48,45
10:05,282,Jordan Barnes Defensive Rebound.,48,45
9:57,282,Qiydar Davis missed Jumper.,48,45
9:57,282,Qiydar Davis Offensive Rebound.,48,45
9:54,282,Qiydar Davis made Layup.,48,47
9:28,2210,Brian Dawkins missed Layup.,48,47
9:28,282,Tyreke Key Defensive Rebound.,48,47
9:21,282,Jordan Barnes missed Three Point Jumper.,48,47
9:21,2210,Sheldon Eberhardt Defensive Rebound.,48,47
9:19,282,Foul on Matt Deady.,48,47
9:12,282,Foul on Tyreke Key.,48,47
9:12,2210,Dainan Swoope made Free Throw.,49,47
9:12,2210,Dainan Swoope made Free Throw.,50,47
8:39,282,Clayton Hughes made Jumper.,50,49
8:25,2210,Dainan Swoope missed Three Point Jumper.,50,49
8:25,282,Devin Thomas Defensive Rebound.,50,49
8:03,282,Brandon Murphy made Jumper. Assisted by Devin Thomas.,50,51
7:52,2210,Tyler Seibring Turnover.,50,51
7:50,282,Brenton Scott Steal.,50,51
7:45,282,Brenton Scott missed Jumper.,50,51
7:45,282,Devin Thomas Offensive Rebound.,50,51
7:43,282,Devin Thomas made Layup.,50,53
7:42,282,Official TV Timeout,50,53
7:42,2210,Foul on Sheldon Eberhardt.,50,53
7:42,282,Official TV Timeout,50,53
7:42,282,Devin Thomas missed Free Throw.,50,53
7:42,2210,Dmitri Thompson Defensive Rebound.,50,53
7:29,2210,Dmitri Thompson made Three Point Jumper. Assisted by Dainan Swoope.,53,53
7:01,282,Brenton Scott made Three Point Jumper. Assisted by Devin Thomas.,53,56
6:52,2210,Dmitri Thompson missed Three Point Jumper.,53,56
6:52,2210,Steven Santa Ana Offensive Rebound.,53,56
6:27,2210,Dainan Swoope missed Three Point Jumper.,53,56
6:27,2210,Tyler Seibring Offensive Rebound.,53,56
6:21,2210,Steven Santa Ana made Layup.,55,56
6:05,282,Brenton Scott missed Three Point Jumper.,55,56
6:05,2210,Steven Santa Ana Defensive Rebound.,55,56
5:54,2210,Tyler Seibring made Three Point Jumper. Assisted by Dainan Swoope.,58,56
5:22,282,Brandon Murphy missed Layup.,58,56
5:22,282,Brandon Murphy Offensive Rebound.,58,56
5:20,2210,Foul on Karolis Kundrotas.,58,56
5:20,282,Tyreke Key made Free Throw.,58,57
5:20,282,Tyreke Key missed Free Throw.,58,57
5:20,2210,Tyler Seibring Defensive Rebound.,58,57
5:01,2210,Tyler Seibring made Three Point Jumper. Assisted by Brian Dawkins.,61,57
4:39,282,Tyreke Key missed Layup.,61,57
4:39,2210,Steven Santa Ana Block.,61,57
4:37,2210,Steven Santa Ana Defensive Rebound.,61,57
4:15,2210,Tyler Seibring missed Jumper.,61,57
4:15,282,Qiydar Davis Block.,61,57
4:14,282,Matt Deady Defensive Rebound.,61,57
3:52,2210,Foul on Dainan Swoope.,61,57
3:52,282,Official TV Timeout,61,57
3:52,282,Brenton Scott made Free Throw.,61,58
3:52,282,Brenton Scott made Free Throw.,61,59
3:26,2210,Tyler Seibring missed Jumper.,61,59
3:26,282,Qiydar Davis Defensive Rebound.,61,59
3:12,2210,Foul on Brian Dawkins.,61,59
3:12,282,Brandon Murphy missed Free Throw.,61,59
3:12,2210,Tyler Seibring Defensive Rebound.,61,59
2:49,2210,Tyler Seibring made Three Point Jumper. Assisted by Sheldon Eberhardt.,64,59
2:32,282,Qiydar Davis missed Layup.,64,59
2:32,2210,Tyler Seibring Defensive Rebound.,64,59
2:04,2210,Dmitri Thompson made Jumper.,66,59
1:57,282,Indiana State  Timeout,66,59
1:55,282,Jordan Barnes made Jumper.,66,61
1:34,2210,Sheldon Eberhardt made Layup. Assisted by Dmitri Thompson.,68,61
1:25,282,Jordan Barnes missed Jumper.,68,61
1:25,2210,Tyler Seibring Defensive Rebound.,68,61
1:00,2210,Dmitri Thompson made Dunk.,70,61
0:52,282,Brenton Scott missed Three Point Jumper.,70,61
0:52,2210,Sheldon Eberhardt Defensive Rebound.,70,61
0:48,282,Foul on Jordan Barnes.,70,61
0:48,2210,Sheldon Eberhardt missed Free Throw.,70,61
0:48,282,Brandon Murphy Defensive Rebound.,70,61
0:42,282,Brenton Scott missed Layup.,70,61
0:42,2210,Dmitri Thompson Block.,70,61
0:41,282,Qiydar Davis Offensive Rebound.,70,61
0:39,282,Qiydar Davis made Layup.,70,63
0:39,282,Indiana State  Timeout,70,63
0:27,282,Foul on Brandon Murphy.,70,63
0:27,2210,Brian Dawkins missed Free Throw.,70,63
0:27,282,Qiydar Davis Defensive Rebound.,70,63
0:20,2210,Foul on Sheldon Eberhardt.,70,63
0:20,282,Qiydar Davis made Free Throw.,70,64
0:20,282,Qiydar Davis made Free Throw.,70,65
0:16,282,Foul on Tyreke Key.,70,65
0:16,2210,Dmitri Thompson made Free Throw.,71,65
0:16,2210,Dmitri Thompson made Free Throw.,72,65
0:11,282,Brenton Scott made Three Point Jumper. Assisted by Jordan Barnes.,72,68
0:10,282,Indiana State  Timeout,72,68
0:06,2210,Elon  Timeout,72,68
0:05,282,Foul on Brenton Scott.,72,68
0:05,2210,Dainan Swoope missed Free Throw.,72,68
0:05,2210,Elon Deadball Team Rebound.,72,68
0:05,2210,Dainan Swoope made Free Throw.,73,68
0:04,282,Jordan Barnes missed Three Point Jumper.,73,68
0:04,2210,Sheldon Eberhardt Defensive Rebound.,73,68
0:00,282,End of Game,73,68
