Jackson State,2433,UL Monroe,2296
14:50,2296,Jeremiah Jefferson missed Three Point Jumper.,35,45
14:50,2296,Chace Franklin Offensive Rebound.,35,45
14:46,2296,Chace Franklin missed Two Point Tip Shot.,35,45
14:46,2296,Darius Austin Offensive Rebound.,35,45
14:41,2296,Julian Daughtry missed Three Point Jumper.,35,45
14:41,2433,Travis Munnings Defensive Rebound.,35,45
14:18,2433,Sam McDaniel Turnover.,35,45
14:17,2296,Darius Austin Steal.,35,45
14:07,2296,Darius Austin made Three Point Jumper. Assisted by Chace Franklin.,38,45
13:51,2433,Sam McDaniel missed Three Point Jumper.,38,45
13:51,2296,Paris Collins Defensive Rebound.,38,45
13:24,2296,Darius Austin missed Layup.,38,45
13:24,2433,Travis Munnings Defensive Rebound.,38,45
13:17,2433,Foul on Travis Munnings.,38,45
13:17,2433,Travis Munnings Turnover.,38,45
13:05,2296,Chace Franklin missed Layup.,38,45
13:05,2433,Travis Munnings Defensive Rebound.,38,45
12:58,2433,Sam McDaniel missed Three Point Jumper.,38,45
12:58,2296,Chace Franklin Defensive Rebound.,38,45
12:42,2296,Darius Austin made Three Point Jumper. Assisted by Chace Franklin.,41,45
12:33,2433,Michael Ertel missed Three Point Jumper.,41,45
12:33,2296,Darius Austin Block.,41,45
12:31,2296,Maurice Rivers Defensive Rebound.,41,45
12:03,2296,Darius Austin missed Three Point Jumper.,41,45
12:03,2433,UL Monroe Deadball Team Rebound.,41,45
12:02,2296,Foul on Paris Collins.,41,45
11:41,2296,Foul on Paris Collins.,41,45
11:41,2433,Official TV Timeout,41,45
11:33,2433,Sam McDaniel Turnover.,41,45
11:18,2296,Darius Austin Turnover.,41,45
11:17,2433,Sam McDaniel Steal.,41,45
11:15,2433,Jordon Harris made Layup. Assisted by Sam McDaniel.,41,47
10:48,2296,Chace Franklin missed Layup.,41,47
10:48,2296,Chace Franklin Offensive Rebound.,41,47
10:38,2433,Foul on Sam Alabakis.,41,47
10:38,2296,Maurice Rivers made Free Throw.,42,47
10:38,2296,Maurice Rivers missed Free Throw.,42,47
10:35,2433,Jordon Harris Defensive Rebound.,42,47
10:13,2433,Sam Alabakis missed Layup.,42,47
10:13,2296,Maurice Rivers Block.,42,47
10:11,2296,Maurice Rivers Defensive Rebound.,42,47
9:59,2296,Maurice Rivers made Jumper. Assisted by Darius Austin.,44,47
9:38,2433,Marvin Jean-Pierre Turnover.,44,47
9:37,2296,Darius Austin Steal.,44,47
9:12,2296,Chace Franklin missed Three Point Jumper.,44,47
