UC Santa Barbara,2539,San Francisco,2540
0:57,2539,Souley Boum made Three Point Jumper. Assisted by Chase Foster.,72,69
0:55,2539,San Francisco  Timeout,72,69
0:32,2540,Max Heidegger missed Three Point Jumper.,72,69
0:31,2540,Jalen Canty Offensive Rebound.,72,69
0:30,2539,Foul on Matt McCarthy.,72,69
0:30,2540,Technical Foul on UC Santa Barbara.,72,69
0:30,2539,Technical Foul on San Francisco.,72,69
0:30,2540,Max Heidegger made Free Throw.,73,69
0:30,2540,Max Heidegger made Free Throw.,74,69
0:30,2540,Jalen Canty missed Free Throw.,74,69
0:30,2540,UC Santa Barbara Deadball Team Rebound.,74,69
0:30,2540,Jalen Canty made Free Throw.,75,69
0:26,2540,Foul on Max Heidegger.,75,69
0:26,2539,Souley Boum made Free Throw.,75,70
0:26,2539,Souley Boum made Free Throw.,75,71
0:25,2539,Foul on Souley Boum.,75,71
0:25,2540,Max Heidegger missed Free Throw.,75,71
0:25,2540,UC Santa Barbara Deadball Team Rebound.,75,71
0:25,2540,Max Heidegger made Free Throw.,76,71
0:22,2539,Jordan Ratinho missed Three Point Jumper.,76,71
0:22,2539,Nate Renfro Offensive Rebound.,76,71
0:19,2540,Foul on Gabe Vincent.,76,71
0:19,2539,Nate Renfro missed Free Throw.,76,71
0:19,2539,San Francisco Deadball Team Rebound.,76,71
0:19,2539,Nate Renfro made Free Throw.,76,72
0:18,2540,Marcus Jackson Turnover.,76,72
0:17,2539,Matt McCarthy missed Three Point Jumper.,76,72
0:17,2539,Souley Boum Offensive Rebound.,76,72
0:12,2539,Souley Boum missed Jumper.,76,72
0:12,2540,Jalen Canty Defensive Rebound.,76,72
0:10,2539,Foul on Matt McCarthy.,76,72
0:10,2540,Jalen Canty made Free Throw.,77,72
0:10,2540,Jalen Canty missed Free Throw.,77,72
0:10,2539,Chase Foster Defensive Rebound.,77,72
0:08,2539,Jordan Ratinho missed Three Point Jumper.,77,72
0:08,2540,Marcus Jackson Defensive Rebound.,77,72
0:02,2539,Foul on Souley Boum.,77,72
0:02,2540,Marcus Jackson made Free Throw.,78,72
0:02,2540,Marcus Jackson made Free Throw.,79,72
0:00,2539,Official TV Timeout,79,72
0:00,2539,End of Game,79,72
