Southeast Missouri State,2428,North Carolina Central,2546
6:52,2546,Isaiah Gable made Three Point Jumper. Assisted by Ledarrius Brewer.,72,63
6:38,2428,Reginald Gardner Jr made Three Point Jumper. Assisted by Jordan Perkins.,72,66
6:15,2546,Ray Kowalski missed Jumper.,72,66
6:15,2428,Pablo Rivas Defensive Rebound.,72,66
6:04,2428,Reginald Gardner Jr missed Three Point Jumper.,72,66
6:04,2428,Pablo Rivas Offensive Rebound.,72,66
5:47,2428,Jordan Perkins Turnover.,72,66
5:28,2546,Denzel Mahoney made Layup.,74,66
5:12,2428,Pablo Rivas made Three Point Jumper. Assisted by Jordan Perkins.,74,69
4:43,2546,Ledarrius Brewer made Three Point Jumper. Assisted by Justin Carpenter.,77,69
4:22,2428,Pablo Rivas missed Three Point Jumper.,77,69
4:22,2546,Daniel Simmons Defensive Rebound.,77,69
4:12,2546,Southeast Missouri State  Timeout,77,69
4:12,2428,Official TV Timeout,77,69
3:55,2546,Daniel Simmons missed Jumper.,77,69
3:55,2428,Dominique Reid Defensive Rebound.,77,69
3:44,2428,Jordan Perkins missed Layup.,77,69
3:44,2428,Pablo Rivas Offensive Rebound.,77,69
3:27,2546,Foul on Justin Carpenter.,77,69
3:27,2428,Foul on Dominique Reid.,77,69
3:17,2428,Jordan Perkins missed Layup.,77,69
3:17,2546,Denzel Mahoney Defensive Rebound.,77,69
3:08,2546,Denzel Mahoney made Layup.,79,69
2:54,2428,Jordan Perkins missed Three Point Jumper.,79,69
2:54,2546,Justin Carpenter Defensive Rebound.,79,69
2:37,2546,Daniel Simmons missed Jumper.,79,69
2:37,2428,Pablo Rivas Defensive Rebound.,79,69
2:26,2428,C.J. Wiggins missed Jumper.,79,69
2:26,2546,Justin Carpenter Defensive Rebound.,79,69
2:06,2546,Ledarrius Brewer missed Layup.,79,69
2:06,2428,Pablo Rivas Defensive Rebound.,79,69
1:59,2428,Reginald Gardner Jr made Layup. Assisted by Jordan Perkins.,79,71
1:57,2428,North Carolina Central  Timeout,79,71
1:48,2428,Foul on Dominique Reid.,79,71
1:48,2546,Denzel Mahoney made Free Throw.,80,71
1:48,2546,Denzel Mahoney missed Free Throw.,80,71
1:48,2428,Pablo Rivas Defensive Rebound.,80,71
1:36,2428,Pablo Rivas missed Jumper.,80,71
1:36,2546,Daniel Simmons Defensive Rebound.,80,71
1:23,2546,Daniel Simmons Turnover.,80,71
1:22,2428,Pablo Rivas Steal.,80,71
1:18,2428,Pablo Rivas made Layup.,80,73
1:05,2546,Ledarrius Brewer made Layup.,82,73
0:54,2428,Raasean Davis Turnover.,82,73
0:54,2546,Denzel Mahoney Steal.,82,73
0:51,2428,Foul on C.J. Wiggins.,82,73
0:51,2546,Denzel Mahoney made Free Throw.,83,73
0:51,2546,Denzel Mahoney made Free Throw.,84,73
0:40,2428,Pablo Rivas made Dunk. Assisted by Dominique Reid.,84,75
0:40,2428,North Carolina Central  Timeout,84,75
0:38,2428,Foul on Jordan Perkins.,84,75
0:38,2546,Denzel Mahoney missed Free Throw.,84,75
0:38,2428,Pablo Rivas Defensive Rebound.,84,75
0:32,2428,Alston Jones made Layup. Assisted by Jordan Perkins.,84,77
0:30,2428,Foul on Pablo Rivas.,84,77
0:30,2546,Daniel Simmons missed Free Throw.,84,77
0:30,2428,Pablo Rivas Defensive Rebound.,84,77
0:29,2546,Foul on Milos Vranes.,84,77
