Wofford,261,Vermont,2747
19:23,261,Anthony Lamb Defensive Rebound.,31,32
19:17,2747,Foul on Ryan Sawvell.,31,32
19:07,261,Anthony Lamb missed Three Point Jumper.,31,32
19:07,2747,Eric Garcia Defensive Rebound.,31,32
18:55,261,Foul on Anthony Lamb.,31,32
18:55,2747,Cameron Jackson made Free Throw.,32,32
18:55,2747,Cameron Jackson made Free Throw.,33,32
18:47,261,Kurt Steidl missed Three Point Jumper.,33,32
18:47,261,Anthony Lamb Offensive Rebound.,33,32
18:28,261,Trae Bell-Haynes missed Jumper.,33,32
18:28,261,Vermont Offensive Rebound.,33,32
18:25,2747,Foul on Jaylen Allen.,33,32
18:23,2747,Foul on Derrick Brooks.,33,32
18:23,261,Kurt Steidl made Free Throw.,33,33
18:23,261,Kurt Steidl made Free Throw.,33,34
18:10,2747,Fletcher Magee made Layup.,35,34
18:10,261,Foul on Anthony Lamb.,35,34
18:10,2747,Fletcher Magee made Free Throw.,36,34
18:00,2747,Foul on Derrick Brooks.,36,34
18:00,261,Technical Foul on Vermont.,36,34
18:00,2747,Fletcher Magee made Free Throw.,37,34
18:00,2747,Fletcher Magee made Free Throw.,38,34
17:44,261,Trae Bell-Haynes Turnover.,38,34
17:29,2747,Cameron Jackson made Layup.,40,34
17:17,261,Trae Bell-Haynes made Layup.,40,36
17:04,2747,Eric Garcia missed Three Point Jumper.,40,36
17:04,261,Drew Urquhart Defensive Rebound.,40,36
16:51,2747,Foul on Justin Tucker.,40,36
16:47,261,Drew Urquhart missed Layup.,40,36
16:47,2747,Fletcher Magee Defensive Rebound.,40,36
16:26,2747,Fletcher Magee missed Layup.,40,36
16:26,261,Payton Henson Defensive Rebound.,40,36
16:17,261,Ernie Duncan made Three Point Jumper. Assisted by Trae Bell-Haynes.,40,39
15:51,2747,Eric Garcia Turnover.,40,39
15:51,261,Official TV Timeout,40,39
15:34,261,Trae Bell-Haynes made Jumper. Assisted by Payton Henson.,40,41
15:32,2747,Ryan Sawvell Turnover.,40,41
15:17,2747,Foul on Matthew Pegram.,40,41
14:46,261,Drew Urquhart missed Layup.,40,41
14:46,2747,Matthew Pegram Block.,40,41
14:44,2747,Donovan Theme-Love Defensive Rebound.,40,41
14:20,2747,Matthew Pegram missed Jumper.,40,41
14:20,261,Drew Urquhart Defensive Rebound.,40,41
14:06,2747,Foul on Matthew Pegram.,40,41
14:06,261,Technical Foul on Drew Urquhart.,40,41
14:06,2747,Technical Foul on Matthew Pegram.,40,41
14:06,261,Trae Bell-Haynes missed Free Throw.,40,41
14:06,2747,Ryan Sawvell Defensive Rebound.,40,41
13:59,2747,Ryan Sawvell missed Jumper.,40,41
13:59,261,Kurt Steidl Defensive Rebound.,40,41
13:52,261,Payton Henson missed Three Point Jumper.,40,41
13:52,2747,Derrick Brooks Defensive Rebound.,40,41
13:43,261,Foul on Trae Bell-Haynes.,40,41
13:43,2747,Ryan Sawvell missed Free Throw.,40,41
13:43,2747,Wofford Deadball Team Rebound.,40,41
13:43,2747,Ryan Sawvell made Free Throw.,41,41
13:37,2747,Foul on Cameron Jackson.,41,41
13:23,261,Darren Payen made Free Throw.,41,42
13:23,261,Darren Payen made Free Throw.,41,43
12:55,2747,Donovan Theme-Love Turnover.,41,43
12:39,2747,Foul on Ryan Sawvell.,41,43
12:39,261,Dre Wills made Free Throw.,41,44
12:39,261,Dre Wills made Free Throw.,41,45
12:24,2747,Cameron Jackson Turnover.,41,45
12:01,261,Cam Ward made Three Point Jumper. Assisted by Payton Henson.,41,48
11:51,2747,Wofford  Timeout,41,48
11:43,2747,Fletcher Magee missed Three Point Jumper.,41,48
11:43,261,Vermont Defensive Rebound.,41,48
11:38,261,Official TV Timeout,41,48
11:27,261,Kurt Steidl missed Three Point Jumper.,41,48
11:27,2747,Eric Garcia Defensive Rebound.,41,48
11:01,2747,Cameron Jackson made Layup.,43,48
11:01,261,Foul on Darren Payen.,43,48
11:01,2747,Cameron Jackson made Free Throw.,44,48
10:34,261,Trae Bell-Haynes Turnover.,44,48
10:31,2747,Jaylen Allen Steal.,44,48
10:28,2747,Cameron Jackson made Layup. Assisted by Jaylen Allen.,46,48
10:01,261,Kurt Steidl Turnover.,46,48
10:01,261,Vermont  Timeout,46,48
9:37,2747,Jaylen Allen missed Layup.,46,48
9:37,261,Payton Henson Defensive Rebound.,46,48
9:22,2747,Foul on Justin Tucker.,46,48
9:22,261,Payton Henson made Free Throw.,46,49
9:22,261,Payton Henson made Free Throw.,46,50
